feature,iraf_score,spearman_rho,p_value,source
ROM_hip,iraf_total,-0.0303030303030303,0.9337729580941466,Pose
fas1_delta_trunk_angle,iraf_utgångsposition,0.0243162217472025,0.9468397049085095,Pose
fas2_phase_duration,iraf_utgångsposition,-0.0182926829268292,0.9599981434003172,Pose
delta_knee_angle,iraf_total,0.0181818181818181,0.9602404181286242,Pose
stance_width,iraf_total,-0.0181818181818181,0.9602404181286242,Pose
mean_right_knee_angle,iraf_total,-0.0181818181818181,0.9602404181286242,Pose
fas1_ROM_hip,iraf_total,0.0181818181818181,0.9602404181286242,Pose
hip_backward_displacement,iraf_total,0.0181818181818181,0.9602404181286242,Pose
delta_knee_angle,iraf_utgångsposition,0.0121581108736012,0.9734080635074244,Pose
mean_trunk_angular_velocity,iraf_rörelseutförande,-0.006213097969072,0.9864093728341148,Pose
fas1_pelvis_lateral,iraf_utgångsposition,-0.8267515394048879,0.0031797140860104,MoLab
fas1_pelvis_lateral,iraf_rörelseutförande,-0.7890634420721481,0.0066558374359382,MoLab
fas1_pelvis_lateral,iraf_total,-0.7818181818181817,0.0075470077810678,MoLab
peak_pelvis_gyro,iraf_rörelseutförande,0.7517848542577158,0.0121539133217963,MoLab
fas2_pelvis_lateral,iraf_total,-0.6606060606060605,0.0375883775714093,MoLab
peak_pelvis_gyro,iraf_total,0.6484848484848483,0.0425401276844894,MoLab
mean_L_hip_flexion,iraf_rörelsestart,0.5698028822981897,0.085504397547833,MoLab
peak_pelvis_gyro,iraf_rörelsestart,0.5698028822981897,0.085504397547833,MoLab
fas2_pelvis_lateral,iraf_rörelseutförande,-0.565391915185555,0.0885094578137707,MoLab
fas2_pelvis_lateral,iraf_utgångsposition,-0.5471149893120582,0.1016780321289929,MoLab
fas2_rms_pelvis_acc,iraf_rörelseutförande,0.5156871314329786,0.1270888904206619,MoLab
mean_pelvis_gyro,iraf_rörelseutförande,0.5156871314329786,0.1270888904206619,MoLab
fas1_knee_angle_diff,iraf_utgångsposition,-0.5045616012544536,0.1369419664160644,MoLab
mean_L_ankle_flexion,iraf_rörelsestart,0.493829164658431,0.1468784228020159,MoLab
fas2_ROM_knee,iraf_rörelsestart,0.493829164658431,0.1468784228020159,MoLab
fas2_rms_pelvis_acc,iraf_utgångsposition,0.480245379507251,0.1600670096468278,MoLab
fas1_peak_shank_gyro,iraf_rörelseutförande,0.4784085436185464,0.1619031517795258,MoLab
fas2_rms_pelvis_acc,iraf_total,0.4666666666666666,0.1739385971650665,MoLab
mean_pelvis_lateral,iraf_utgångsposition,-0.4437710468864471,0.1988934422361146,MoLab
mean_pelvis_lateral,iraf_total,-0.4424242424242424,0.2004226867119421,MoLab
mean_pelvis_lateral,iraf_rörelseutförande,-0.4287037598659702,0.2163898452913052,MoLab
mean_L_knee_flexion,iraf_rörelsestart,0.4178554470186724,0.2295141074727143,MoLab
mean_R_ankle_flexion,iraf_rörelsestart,0.4178554470186724,0.2295141074727143,MoLab
fas1_pelvis_lateral,iraf_rörelsestart,-0.4178554470186724,0.2295141074727143,MoLab
fas2_pelvis_lateral,iraf_rörelsestart,-0.4178554470186724,0.2295141074727143,MoLab
peak_pelvis_gyro,iraf_utgångsposition,0.4072967142656432,0.2427102702994639,MoLab
fas2_ROM_knee,iraf_total,0.406060606060606,0.2442822940866264,MoLab
fas1_rms_pelvis_acc,iraf_rörelseutförande,0.4038513679896821,0.2471060416654026,MoLab
rms_pelvis_acc,iraf_rörelseutförande,0.4038513679896821,0.2471060416654026,MoLab
mean_pelvis_gyro,iraf_total,0.3696969696969697,0.2930500752928223,MoLab
mean_L_hip_flexion,iraf_total,0.3696969696969697,0.2930500752928223,MoLab
fas1_knee_angle_diff,iraf_rörelseutförande,-0.3665727801752499,0.2974652193057807,MoLab
mean_pelvis_tilt,iraf_rörelsestart,0.3418817293789138,0.3335870017521028,MoLab
delta_knee_asymmetry,iraf_rörelsestart,0.3418817293789138,0.3335870017521028,MoLab
mean_R_hip_flexion,iraf_rörelsestart,0.3418817293789138,0.3335870017521028,MoLab
fas2_ROM_knee,iraf_utgångsposition,0.3343480490240355,0.3450363279922107,MoLab
mean_R_knee_flexion,iraf_utgångsposition,-0.3282689935872349,0.3544183270183251,MoLab
mean_L_hip_flexion,iraf_rörelseutförande,0.3168679964226736,0.3723546392472135,MoLab
fas1_peak_shank_gyro,iraf_total,0.2969696969696969,0.404701671270157,MoLab
fas1_knee_angle_diff,iraf_total,-0.2848484848484848,0.4250381548921454,MoLab
mean_R_hip_flexion,iraf_rörelseutförande,0.2795894086082415,0.4340066161459318,MoLab
fas1_peak_shank_gyro,iraf_utgångsposition,0.2735574946560291,0.4443991414688369,MoLab
mean_R_knee_flexion,iraf_rörelsestart,0.2659080117391552,0.4577392042902286,MoLab
fas2_rms_pelvis_acc,iraf_rörelsestart,0.2659080117391552,0.4577392042902286,MoLab
fas1_peak_thigh_gyro,iraf_rörelsestart,-0.2659080117391552,0.4577392042902286,MoLab
fas2_ROM_hip,iraf_rörelsestart,0.2659080117391552,0.4577392042902286,MoLab
mean_L_ankle_flexion,iraf_total,0.2606060606060606,0.4670890543863402,MoLab
ROM_hip,iraf_utgångsposition,0.2553203283456271,0.4764934533513361,MoLab
fas1_ROM_hip,iraf_utgångsposition,0.2553203283456271,0.4764934533513361,MoLab
mean_R_ankle_flexion,iraf_utgångsposition,-0.2492412729088265,0.4874104156153496,MoLab
delta_pelvis_tilt,iraf_rörelseutförande,-0.2174584289175211,0.5461731613903026,MoLab
fas1_ROM_hip,iraf_rörelseutförande,0.2174584289175211,0.5461731613903026,MoLab
ROM_hip,iraf_rörelseutförande,0.2174584289175211,0.5461731613903026,MoLab
mean_pelvis_gyro,iraf_utgångsposition,0.2127669402880226,0.5550759959985582,MoLab
fas1_ROM_knee,iraf_rörelseutförande,-0.205032232979377,0.5698756620265363,MoLab
fas2_ROM_hip,iraf_total,0.1999999999999999,0.5795840000000002,MoLab
fas1_rms_pelvis_acc,iraf_total,0.1999999999999999,0.5795840000000002,MoLab
rms_pelvis_acc,iraf_total,0.1999999999999999,0.5795840000000002,MoLab
mean_L_knee_flexion,iraf_rörelseutförande,0.192606037041233,0.5939594270667484,MoLab
fas2_ROM_knee,iraf_rörelseutförande,0.192606037041233,0.5939594270667484,MoLab
ROM_knee,iraf_rörelseutförande,-0.192606037041233,0.5939594270667484,MoLab
fas1_knee_angle_diff,iraf_rörelsestart,0.1899342940993965,0.5991855935510639,MoLab
delta_pelvis_tilt,iraf_rörelsestart,-0.1899342940993965,0.5991855935510639,MoLab
rms_pelvis_acc,iraf_rörelsestart,0.1899342940993965,0.5991855935510639,MoLab
fas1_peak_shank_gyro,iraf_rörelsestart,0.1899342940993965,0.5991855935510639,MoLab
fas1_rms_pelvis_acc,iraf_rörelsestart,0.1899342940993965,0.5991855935510639,MoLab
mean_pelvis_gyro,iraf_rörelsestart,0.1899342940993965,0.5991855935510639,MoLab
ROM_hip,iraf_total,0.1878787878787878,0.6032176100292089,MoLab
fas1_ROM_hip,iraf_total,0.1878787878787878,0.6032176100292089,MoLab
mean_pelvis_tilt,iraf_total,0.1757575757575757,0.6271883447764846,MoLab
delta_knee_asymmetry,iraf_rörelseutförande,0.1677536451649448,0.643192461605714,MoLab
mean_L_hip_flexion,iraf_utgångsposition,0.1519763859200161,0.6751243317896832,MoLab
mean_R_hip_flexion,iraf_total,0.1515151515151515,0.6760651759978539,MoLab
mean_L_knee_flexion,iraf_total,0.1393939393939393,0.7009318849100584,MoLab
fas1_peak_thigh_gyro,iraf_rörelseutförande,0.1304750573505126,0.7193952011576737,MoLab
mean_pelvis_lateral,iraf_rörelsestart,-0.1139605764596379,0.7539236059777022,MoLab
fas2_peak_pelvis_gyro,iraf_rörelseutförande,-0.1056226654742245,0.7715108344920395,MoLab
mean_R_ankle_flexion,iraf_rörelseutförande,-0.1056226654742245,0.7715108344920395,MoLab
delta_knee_asymmetry,iraf_utgångsposition,-0.1033439424256109,0.7763340602409097,MoLab
fas1_ROM_knee,iraf_total,-0.103030303030303,0.7769984634438898,MoLab
mean_L_knee_flexion,iraf_utgångsposition,-0.0972648869888103,0.7892345325825416,MoLab
fas2_ROM_hip,iraf_utgångsposition,0.0911858315520096,0.8021812915092663,MoLab
ROM_knee,iraf_total,-0.0909090909090908,0.8027717312071619,MoLab
fas2_ROM_hip,iraf_rörelseutförande,0.0807702735979364,0.8244631856221349,MoLab
fas1_peak_thigh_gyro,iraf_total,-0.0787878787878787,0.8287173946974606,MoLab
