movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,074,0.8854
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,076,0.4326
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,091,0.9292
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,093,0.94
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),028,0.0
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),030,0.0
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),045,0.125
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),047,0.1669
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),059,0.3566
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),061,0.5281
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),074,0.9376
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),076,0.2169
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),091,0.4048
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),093,0.7069
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,028,0.0
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,030,0.0
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,045,0.5006
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,047,0.0833
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,059,0.171
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,061,1.0
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,074,1.0
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,076,0.1202
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,091,0.1901
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,093,0.4095
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,028,0.0
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,030,0.0
