movement,phase,aspect_id,video_id,aspect_score,aspect_name
2a_1,f3,3,076,0.4631,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,3,093,0.0854,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum)
2a_1,f3,4,028,0.4108,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,045,0.898,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,059,1.0,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,074,0.0,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,091,0.7406,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,030,1.0,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,047,0.2333,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,061,0.0,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,076,0.2367,Huvudet följer i linje med bålens längsaxel
2a_1,f3,4,093,0.7198,Huvudet följer i linje med bålens längsaxel
2a_1,f3,5,028,0.609,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,045,0.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,059,0.6426,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,074,1.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,091,0.1526,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,030,1.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,047,0.8382,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,061,0.7115,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,076,0.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,5,093,0.6595,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,6,028,0.5103,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,045,0.2785,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,059,1.0,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,074,0.0,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,091,0.516,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,030,0.7245,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,047,0.5884,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,061,0.4966,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,076,0.8768,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,6,093,0.0,Bålen förflyttas ytterligare framåt med tillräcklig hastighet
2a_1,f3,8,028,0.2627,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,045,0.2248,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,059,0.0572,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,074,1.0,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,091,0.6038,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,030,0.4677,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,047,0.5055,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,061,0.0,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,076,0.5402,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,8,093,0.9597,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna)
2a_1,f3,9,028,0.3089,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,045,0.0,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,059,0.3992,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,074,1.0,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,091,0.3869,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,030,0.9946,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,047,0.9221,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,061,0.0,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,076,0.8748,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,9,093,0.5889,Sträcker knä- och höftleder till neutralläge för stående
2a_1,f3,10,028,0.6689,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,10,045,0.0,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,10,059,1.0,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,10,074,0.0201,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,10,091,0.0147,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,10,030,0.8322,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,10,047,0.8713,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,10,061,0.6832,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,10,076,1.0,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,10,093,0.0,Bålen vinklas upp till neutral stående utgångsposition
2a_1,f3,11,028,0.4108,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,11,045,0.898,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,11,059,1.0,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,11,074,0.0,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,11,091,0.7406,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,11,030,1.0,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,11,047,0.2333,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,11,061,0.0,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,11,076,0.2367,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,11,093,0.7198,Nacke och skuldror följer hela bålens rörelse.
2a_1,f3,12,028,0.609,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,12,045,0.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,12,059,0.6426,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,12,074,1.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,12,091,0.1526,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,12,030,1.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,12,047,0.8382,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,12,061,0.7115,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,12,076,0.0,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_1,f3,12,093,0.6595,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling
2a_2,f1,1,028,0.7587,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,1,045,0.2111,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,1,059,0.0,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,1,074,1.0,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,1,091,0.6414,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,1,030,0.7037,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,1,047,1.0,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,1,061,0.1241,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,1,076,0.0,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,1,093,0.389,"Står med fötterna parallellt, riktade rakt fram"
2a_2,f1,2,028,0.6617,Står med fötterna rakt under höftlederna
2a_2,f1,2,045,0.3774,Står med fötterna rakt under höftlederna
2a_2,f1,2,059,0.0,Står med fötterna rakt under höftlederna
2a_2,f1,2,074,1.0,Står med fötterna rakt under höftlederna
2a_2,f1,2,091,0.7588,Står med fötterna rakt under höftlederna
2a_2,f1,2,030,0.7118,Står med fötterna rakt under höftlederna
2a_2,f1,2,047,1.0,Står med fötterna rakt under höftlederna
2a_2,f1,2,061,0.1996,Står med fötterna rakt under höftlederna
2a_2,f1,2,076,0.0586,Står med fötterna rakt under höftlederna
2a_2,f1,2,093,0.1945,Står med fötterna rakt under höftlederna
2a_2,f1,4,028,0.871,Knäskålarna riktade mot mellersta tån
2a_2,f1,4,045,0.3081,Knäskålarna riktade mot mellersta tån
2a_2,f1,4,059,0.7476,Knäskålarna riktade mot mellersta tån
2a_2,f1,4,074,0.5,Knäskålarna riktade mot mellersta tån
2a_2,f1,4,091,0.4375,Knäskålarna riktade mot mellersta tån
2a_2,f1,4,030,0.0,Knäskålarna riktade mot mellersta tån
2a_2,f1,4,047,0.4089,Knäskålarna riktade mot mellersta tån
2a_2,f1,4,061,0.6525,Knäskålarna riktade mot mellersta tån
2a_2,f1,4,076,0.6716,Knäskålarna riktade mot mellersta tån
2a_2,f1,4,093,0.3725,Knäskålarna riktade mot mellersta tån
2a_2,f1,5,028,0.6106,Knäna neutralt semiflekterade
2a_2,f1,5,045,0.7544,Knäna neutralt semiflekterade
2a_2,f1,5,059,0.5651,Knäna neutralt semiflekterade
2a_2,f1,5,074,0.5077,Knäna neutralt semiflekterade
2a_2,f1,5,091,0.0851,Knäna neutralt semiflekterade
2a_2,f1,5,030,0.26,Knäna neutralt semiflekterade
2a_2,f1,5,047,0.5579,Knäna neutralt semiflekterade
2a_2,f1,5,061,1.0,Knäna neutralt semiflekterade
2a_2,f1,5,076,0.2969,Knäna neutralt semiflekterade
2a_2,f1,5,093,0.0903,Knäna neutralt semiflekterade
2a_2,f1,6,028,0.0,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,6,045,0.9369,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,6,059,0.5528,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,6,074,0.4943,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,6,091,0.4496,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,6,030,0.5114,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,6,047,0.6101,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,6,061,0.7772,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,6,076,0.3464,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,6,093,0.0,Bäckenet neutralt framåttippat i sagittalplan
2a_2,f1,9,028,0.5,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,9,045,0.872,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,9,059,0.5006,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,9,074,0.1048,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,9,091,0.7647,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,9,030,0.7837,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,9,047,0.6322,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,9,061,0.2772,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,9,076,0.3854,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,9,093,0.5,Thorakalrygg i neutral kyfos i sagittalplan
2a_2,f1,11,028,1.0,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,11,045,0.744,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,11,059,0.8956,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,11,074,0.0,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,11,091,0.9525,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,11,030,0.5673,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,11,047,0.424,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,11,061,0.0,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,11,076,0.7176,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,11,093,1.0,Huvudet symmetrisk position rakt ovanför bålen
2a_2,f1,12,028,1.0,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,12,045,0.744,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,12,059,0.8956,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,12,074,0.0,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,12,091,0.9525,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,12,030,0.5673,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,12,047,0.424,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,12,061,0.0,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,12,076,0.7176,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,12,093,1.0,Cervikalrygg i neutral lordos i sagittalplan
2a_2,f1,13,028,0.0,Axlarna symmetriska och i samma nivå
2a_2,f1,13,045,0.4852,Axlarna symmetriska och i samma nivå
2a_2,f1,13,059,1.0,Axlarna symmetriska och i samma nivå
2a_2,f1,13,074,0.8887,Axlarna symmetriska och i samma nivå
2a_2,f1,13,091,0.1168,Axlarna symmetriska och i samma nivå
2a_2,f1,13,030,1.0,Axlarna symmetriska och i samma nivå
2a_2,f1,13,047,0.0,Axlarna symmetriska och i samma nivå
2a_2,f1,13,061,0.9518,Axlarna symmetriska och i samma nivå
2a_2,f1,13,076,0.7461,Axlarna symmetriska och i samma nivå
2a_2,f1,13,093,0.5323,Axlarna symmetriska och i samma nivå
2a_2,f1,14,028,0.3151,Överarmarna längs med bålen
2a_2,f1,14,045,0.0,Överarmarna längs med bålen
2a_2,f1,14,059,0.1399,Överarmarna längs med bålen
2a_2,f1,14,074,0.2932,Överarmarna längs med bålen
2a_2,f1,14,091,1.0,Överarmarna längs med bålen
2a_2,f1,14,030,0.087,Överarmarna längs med bålen
2a_2,f1,14,047,0.8179,Överarmarna längs med bålen
2a_2,f1,14,061,0.7772,Överarmarna längs med bålen
2a_2,f1,14,076,0.0,Överarmarna längs med bålen
2a_2,f1,14,093,1.0,Överarmarna längs med bålen
2a_2,f1,15,028,0.0,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f1,15,045,0.9369,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f1,15,059,0.5528,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f1,15,074,0.4943,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f1,15,091,0.4496,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f1,15,030,0.5114,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f1,15,047,0.6101,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f1,15,061,0.7772,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f1,15,076,0.3464,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f1,15,093,0.0,Bålen placerad rakt över bäckenet i sagittalplan
2a_2,f3,2,028,0.2726,Bålen fortsätter fällas framåt och höftböjningen fortskrider
2a_2,f3,2,045,0.1873,Bålen fortsätter fällas framåt och höftböjningen fortskrider
2a_2,f3,2,059,0.6531,Bålen fortsätter fällas framåt och höftböjningen fortskrider
2a_2,f3,2,074,0.6293,Bålen fortsätter fällas framåt och höftböjningen fortskrider
2a_2,f3,2,091,0.1127,Bålen fortsätter fällas framåt och höftböjningen fortskrider
2a_2,f3,2,030,0.6345,Bålen fortsätter fällas framåt och höftböjningen fortskrider
2a_2,f3,2,047,0.9789,Bålen fortsätter fällas framåt och höftböjningen fortskrider
