Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
468,"0,168","-0,048","-0,271","0,043","0,076","0,042","0,003","0,130","0,430","-0,056","0,139","-0,075","0,368","-0,018","0,103","0,121","-0,146","-0,102","-0,201","-0,087","0,050"
469,"0,168","0,009","-0,291","-0,079","-0,044","0,065","0,057","0,042","0,323","-0,202","-0,037","-0,089","0,195","-0,034","0,207","0,237","0,104","-0,141","-0,091","0,160","0,143"
470,"0,168","0,012","-0,098","-0,079","0,016","0,055","-0,015","0,000","0,149","-0,253","-0,052","-0,156","0,123","0,182","0,190","0,276","0,051","-0,085","-0,174","0,266","0,118"
471,"0,168","0,033","-0,041","0,106","0,025","0,111","-0,011","-0,045","0,222","-0,242","0,004","-0,178","0,250","0,016","0,162","0,487","0,097","0,080","-0,221","0,201","0,148"
472,"0,046","0,053","0,017","0,104","0,016","0,051","0,104","-0,075","0,097","0,011","-0,074","-0,244","0,244","-0,062","0,068","0,316","0,124","0,023","-0,133","0,192","0,269"
473,"0,046","0,246","0,013","0,226","0,015","0,048","0,090","-0,132","-0,140","-0,159","-0,073","-0,334","-0,010","-0,104","-0,040","0,496","0,057","0,035","0,056","0,160","0,251"
474,"0,290","0,134","0,247","0,228","0,145","0,088","0,143","-0,043","-0,290","-0,088","0,156","-0,219","0,172","0,029","-0,003","0,135","0,048","0,140","-0,057","-0,011","0,198"
475,"0,107","0,385","0,223","0,289","0,265","0,067","0,143","-0,162","-0,262","-0,230","0,060","-0,199","0,108","-0,263","-0,154","0,076","0,074","-0,061","0,116","-0,083","0,066"
476,"0,107","0,307","0,186","0,286","0,246","-0,053","0,068","-0,100","-0,524","-0,196","0,409","-0,139","-0,022","-0,260","-0,227","-0,017","0,119","0,046","0,053","-0,014","0,117"
477,"0,046","0,270","0,264","0,162","0,056","-0,081","0,129","-0,159","-0,513","-0,066","0,449","-0,138","0,105","-0,302","-0,200","-0,077","0,002","-0,025","0,139","-0,197","0,103"
