Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
701,"0,996","0,061","-0,055","-0,022","0,930","-0,357","0,007","0,083","0,993","-0,090","-0,029","0,071","0,995","0,080","0,063","-0,009","0,994","-0,076","0,042","-0,073","0,843","-0,538","-0,003","0,004","0,921","-0,365","0,087","-0,108"
702,"0,996","0,060","-0,055","-0,022","0,923","-0,375","0,007","0,082","0,994","-0,082","-0,032","0,068","0,995","0,080","0,063","-0,009","0,994","-0,068","0,042","-0,072","0,849","-0,528","-0,005","0,003","0,914","-0,381","0,092","-0,107"
703,"0,997","0,059","-0,055","-0,021","0,916","-0,394","0,006","0,081","0,995","-0,074","-0,035","0,064","0,995","0,079","0,062","-0,009","0,995","-0,060","0,042","-0,071","0,856","-0,517","-0,005","0,003","0,906","-0,398","0,097","-0,106"
704,"0,997","0,057","-0,054","-0,020","0,907","-0,413","0,004","0,081","0,995","-0,065","-0,038","0,061","0,995","0,078","0,061","-0,009","0,995","-0,050","0,043","-0,070","0,863","-0,506","-0,006","0,003","0,898","-0,415","0,103","-0,105"
705,"0,997","0,055","-0,052","-0,020","0,898","-0,432","0,002","0,082","0,996","-0,055","-0,042","0,055","0,995","0,077","0,058","-0,008","0,996","-0,040","0,043","-0,068","0,870","-0,494","-0,007","0,003","0,890","-0,431","0,110","-0,105"
706,"0,997","0,053","-0,051","-0,019","0,889","-0,451","0,001","0,082","0,997","-0,045","-0,047","0,049","0,996","0,075","0,056","-0,008","0,996","-0,029","0,043","-0,066","0,877","-0,481","-0,007","0,003","0,880","-0,447","0,119","-0,105"
707,"0,997","0,051","-0,049","-0,018","0,879","-0,470","0,000","0,080","0,997","-0,035","-0,052","0,042","0,996","0,073","0,052","-0,008","0,997","-0,017","0,044","-0,062","0,884","-0,468","-0,008","0,004","0,871","-0,463","0,128","-0,105"
708,"0,998","0,048","-0,046","-0,017","0,869","-0,488","0,002","0,078","0,997","-0,025","-0,057","0,034","0,996","0,070","0,048","-0,008","0,997","-0,006","0,046","-0,056","0,891","-0,454","-0,008","0,004","0,860","-0,481","0,135","-0,104"
709,"0,998","0,044","-0,042","-0,016","0,859","-0,506","0,005","0,074","0,998","-0,015","-0,062","0,024","0,997","0,066","0,043","-0,008","0,998","0,006","0,049","-0,049","0,898","-0,440","-0,007","0,005","0,848","-0,500","0,140","-0,102"
710,"0,998","0,039","-0,037","-0,014","0,848","-0,525","0,010","0,070","0,998","-0,006","-0,069","0,013","0,997","0,061","0,037","-0,008","0,998","0,018","0,053","-0,039","0,904","-0,427","-0,007","0,005","0,836","-0,520","0,142","-0,100"
