Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
52,"1,000","0,000","-0,001","-0,002","1,000","0,003","-0,001","-0,002","1,000","-0,001","0,001","-0,002","1,000","0,000","0,000","-0,002","1,000","-0,001","0,000","-0,002","1,000","0,000","0,002","-0,002","1,000","0,000","0,002","-0,002"
53,"1,000","-0,003","0,000","-0,002","1,000","0,002","0,002","-0,002","1,000","0,002","-0,001","-0,002","1,000","0,000","0,003","-0,002","1,000","0,001","0,002","-0,002","1,000","0,000","-0,001","-0,002","1,000","0,002","0,004","-0,002"
54,"1,000","0,000","0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","0,004","0,000","-0,002","1,000","0,001","0,000","-0,002","1,000","0,003","0,000","-0,002","1,000","0,001","0,002","-0,002","1,000","0,002","0,001","-0,002"
55,"1,000","0,002","-0,001","-0,002","1,000","0,004","-0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","-0,001","0,000","-0,002","1,000","0,000","0,000","-0,002","1,000","0,000","-0,001","-0,002","1,000","0,000","-0,001","-0,002"
56,"1,000","-0,001","-0,001","-0,002","1,000","0,001","0,001","-0,002","1,000","0,001","0,003","-0,002","1,000","0,000","0,003","-0,002","1,000","0,003","-0,002","-0,002","1,000","0,003","0,000","-0,002","1,000","0,003","-0,001","-0,002"
57,"1,000","0,001","0,001","-0,002","1,000","-0,002","-0,001","-0,002","1,000","-0,001","0,001","-0,002","1,000","0,002","0,000","-0,002","1,000","0,000","-0,003","-0,002","1,000","0,000","-0,001","-0,002","1,000","0,002","-0,004","-0,002"
58,"1,000","-0,001","-0,001","-0,002","1,000","0,001","0,001","-0,002","1,000","0,002","0,001","-0,002","1,000","-0,001","-0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","-0,003","-0,002","-0,002","1,000","0,003","-0,002","-0,002"
59,"1,000","-0,002","0,001","-0,002","1,000","-0,002","0,001","-0,002","1,000","-0,001","0,000","-0,002","1,000","0,002","0,000","-0,002","1,000","-0,002","0,001","-0,002","1,000","-0,001","0,000","-0,002","1,000","0,000","-0,003","-0,002"
60,"1,000","0,001","0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","-0,002","0,002","-0,002","1,000","-0,001","-0,002","-0,002","1,000","0,001","0,001","-0,002","1,000","0,001","-0,002","-0,002","1,000","-0,002","-0,002","-0,002"
61,"1,000","-0,002","0,000","-0,002","1,000","-0,002","-0,001","-0,002","1,000","-0,002","-0,001","-0,002","1,000","-0,002","0,001","-0,002","1,000","-0,001","0,000","-0,002","1,000","-0,002","-0,001","-0,002","1,000","-0,003","0,001","-0,002"
62,"1,000","0,001","-0,002","-0,002","1,000","-0,002","0,002","-0,002","1,000","-0,005","-0,002","-0,002","1,000","0,000","-0,001","-0,002","1,000","0,001","0,001","-0,002","1,000","0,001","0,000","-0,002","1,000","-0,001","-0,001","-0,002"
63,"1,000","-0,002","-0,003","-0,002","1,000","-0,002","-0,001","-0,002","1,000","-0,002","-0,001","-0,002","1,000","-0,002","0,001","-0,002","1,000","0,000","-0,001","-0,002","1,000","-0,001","-0,003","-0,002","1,000","0,002","-0,001","-0,002"
