Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
2706,"1,000","0,015","-0,013","-0,008","1,000","0,004","0,005","0,007","0,993","0,108","-0,049","0,004","1,000","0,017","-0,007","0,007","0,995","0,095","-0,003","0,005","0,986","0,166","-0,009","-0,025","0,999","-0,011","-0,045","0,012"
2707,"1,000","0,015","-0,014","-0,008","1,000","0,004","0,005","0,006","0,993","0,108","-0,049","0,004","1,000","0,018","-0,007","0,008","0,995","0,095","-0,003","0,007","0,985","0,169","-0,009","-0,025","0,999","-0,011","-0,046","0,013"
2708,"1,000","0,016","-0,014","-0,008","1,000","0,005","0,006","0,006","0,993","0,109","-0,049","0,004","1,000","0,018","-0,007","0,008","0,995","0,096","-0,003","0,008","0,985","0,172","-0,008","-0,025","0,999","-0,011","-0,047","0,014"
2709,"1,000","0,017","-0,014","-0,008","1,000","0,005","0,007","0,005","0,993","0,109","-0,050","0,004","1,000","0,018","-0,007","0,008","0,995","0,096","-0,003","0,009","0,984","0,175","-0,008","-0,025","0,999","-0,011","-0,048","0,015"
2710,"1,000","0,017","-0,014","-0,008","1,000","0,005","0,009","0,004","0,993","0,109","-0,050","0,004","1,000","0,019","-0,007","0,009","0,995","0,096","-0,003","0,010","0,984","0,177","-0,007","-0,025","0,999","-0,010","-0,049","0,016"
2711,"1,000","0,017","-0,014","-0,008","1,000","0,005","0,010","0,004","0,993","0,109","-0,050","0,005","1,000","0,018","-0,008","0,009","0,995","0,097","-0,003","0,011","0,983","0,179","-0,007","-0,024","0,999","-0,010","-0,050","0,017"
2712,"1,000","0,017","-0,014","-0,008","1,000","0,005","0,011","0,004","0,993","0,109","-0,051","0,005","1,000","0,018","-0,009","0,009","0,995","0,097","-0,003","0,011","0,983","0,181","-0,007","-0,023","0,999","-0,009","-0,050","0,018"
2713,"1,000","0,017","-0,014","-0,008","1,000","0,006","0,012","0,004","0,993","0,109","-0,051","0,005","1,000","0,018","-0,010","0,009","0,995","0,097","-0,003","0,011","0,983","0,183","-0,007","-0,023","0,999","-0,009","-0,050","0,019"
2714,"1,000","0,017","-0,014","-0,007","1,000","0,006","0,013","0,004","0,993","0,109","-0,051","0,005","1,000","0,017","-0,011","0,009","0,995","0,098","-0,004","0,010","0,983","0,185","-0,006","-0,022","0,999","-0,008","-0,050","0,020"
2715,"1,000","0,017","-0,015","-0,007","1,000","0,006","0,013","0,004","0,993","0,109","-0,051","0,005","1,000","0,017","-0,012","0,009","0,995","0,099","-0,005","0,010","0,982","0,186","-0,006","-0,022","0,999","-0,008","-0,050","0,020"
2716,"1,000","0,016","-0,015","-0,007","1,000","0,006","0,013","0,003","0,993","0,108","-0,051","0,005","1,000","0,016","-0,012","0,009","0,995","0,099","-0,006","0,009","0,982","0,187","-0,005","-0,021","0,999","-0,007","-0,049","0,021"
2717,"1,000","0,016","-0,015","-0,007","1,000","0,007","0,013","0,003","0,993","0,108","-0,051","0,004","1,000","0,016","-0,012","0,008","0,995","0,100","-0,006","0,009","0,982","0,189","-0,005","-0,021","0,999","-0,007","-0,049","0,021"
