Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z
643,"0,999","0,039","-0,030","-0,008","0,782","-0,621","0,038","0,038","0,990","0,089","-0,105","-0,040","0,999","0,031","-0,004","0,006","0,995","0,092","0,038","0,016","0,995","-0,101","-0,023","-0,008","0,780","-0,619","0,076","-0,050"
644,"0,999","0,039","-0,030","-0,008","0,775","-0,630","0,044","0,031","0,989","0,093","-0,107","-0,041","0,999","0,031","-0,003","0,007","0,994","0,096","0,040","0,018","0,995","-0,096","-0,024","-0,009","0,772","-0,629","0,074","-0,046"
645,"0,999","0,040","-0,030","-0,008","0,768","-0,639","0,049","0,024","0,989","0,097","-0,108","-0,041","0,999","0,032","-0,003","0,007","0,994","0,100","0,041","0,021","0,995","-0,091","-0,025","-0,009","0,765","-0,639","0,072","-0,042"
646,"0,999","0,041","-0,030","-0,009","0,761","-0,646","0,053","0,017","0,988","0,099","-0,110","-0,041","0,999","0,032","-0,003","0,007","0,993","0,104","0,042","0,023","0,996","-0,086","-0,025","-0,010","0,757","-0,649","0,071","-0,037"
647,"0,999","0,041","-0,029","-0,009","0,755","-0,653","0,057","0,011","0,988","0,102","-0,111","-0,042","0,999","0,032","-0,002","0,008","0,993","0,107","0,042","0,024","0,996","-0,082","-0,025","-0,011","0,750","-0,657","0,069","-0,034"
648,"0,999","0,042","-0,028","-0,009","0,750","-0,659","0,062","0,004","0,987","0,103","-0,111","-0,043","0,999","0,033","-0,002","0,008","0,993","0,110","0,042","0,024","0,997","-0,078","-0,025","-0,012","0,744","-0,664","0,067","-0,030"
649,"0,999","0,042","-0,028","-0,009","0,745","-0,664","0,065","-0,001","0,987","0,105","-0,111","-0,043","0,999","0,033","-0,002","0,008","0,993","0,112","0,043","0,024","0,997","-0,075","-0,026","-0,013","0,738","-0,671","0,065","-0,025"
650,"0,999","0,043","-0,028","-0,009","0,740","-0,669","0,069","-0,005","0,987","0,106","-0,112","-0,043","0,999","0,034","-0,001","0,009","0,992","0,114","0,043","0,026","0,997","-0,071","-0,027","-0,015","0,733","-0,677","0,062","-0,021"
651,"0,999","0,043","-0,028","-0,009","0,735","-0,674","0,072","-0,007","0,987","0,107","-0,112","-0,042","0,999","0,034","0,000","0,009","0,992","0,115","0,044","0,027","0,997","-0,067","-0,027","-0,016","0,729","-0,682","0,060","-0,017"
652,"0,999","0,043","-0,029","-0,009","0,731","-0,678","0,073","-0,008","0,987","0,107","-0,112","-0,043","0,999","0,035","0,000","0,009","0,992","0,116","0,044","0,029","0,997","-0,063","-0,027","-0,018","0,725","-0,687","0,057","-0,016"
653,"0,999","0,043","-0,029","-0,009","0,728","-0,682","0,074","-0,009","0,987","0,108","-0,112","-0,042","0,999","0,035","0,001","0,009","0,992","0,117","0,044","0,029","0,998","-0,060","-0,028","-0,019","0,721","-0,691","0,055","-0,014"
654,"0,999","0,043","-0,029","-0,010","0,725","-0,685","0,074","-0,009","0,987","0,108","-0,111","-0,040","0,999","0,035","0,002","0,010","0,992","0,118","0,044","0,030","0,998","-0,057","-0,028","-0,021","0,717","-0,695","0,054","-0,013"
655,"0,999","0,044","-0,028","-0,010","0,722","-0,687","0,074","-0,009","0,987","0,109","-0,111","-0,038","0,999","0,035","0,001","0,010","0,992","0,119","0,043","0,029","0,998","-0,054","-0,028","-0,022","0,714","-0,698","0,054","-0,013"
656,"0,999","0,044","-0,029","-0,010","0,720","-0,690","0,074","-0,008","0,987","0,110","-0,110","-0,035","0,999","0,035","0,001","0,010","0,992","0,119","0,042","0,028","0,998","-0,050","-0,029","-0,022","0,711","-0,701","0,055","-0,014"
657,"0,999","0,044","-0,029","-0,010","0,719","-0,691","0,073","-0,007","0,987","0,110","-0,110","-0,033","0,999","0,035","0,002","0,010","0,992","0,119","0,041","0,026","0,998","-0,047","-0,029","-0,023","0,710","-0,702","0,057","-0,017"
658,"0,998","0,045","-0,029","-0,011","0,718","-0,693","0,072","-0,005","0,987","0,110","-0,110","-0,032","0,999","0,036","0,003","0,010","0,992","0,119","0,041","0,024","0,998","-0,044","-0,029","-0,025","0,709","-0,702","0,059","-0,019"
659,"0,998","0,045","-0,029","-0,011","0,717","-0,694","0,071","-0,005","0,987","0,110","-0,110","-0,031","0,999","0,036","0,003","0,010","0,992","0,119","0,040","0,022","0,998","-0,040","-0,030","-0,026","0,709","-0,702","0,062","-0,021"
660,"0,998","0,046","-0,030","-0,012","0,716","-0,694","0,071","-0,005","0,987","0,110","-0,110","-0,030","0,999","0,036","0,004","0,010","0,992","0,118","0,040","0,022","0,998","-0,037","-0,030","-0,028","0,709","-0,702","0,063","-0,023"
