Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
45,"0,511","-0,397","0,001","-0,190","-0,431","-0,001","0,634","0,251","0,001","-0,039","0,470","0,001","0,041","-0,181","0,000","-0,201","-0,457","0,110","-0,309","0,399","0,002"
46,"0,616","-0,406","0,001","-0,199","-0,354","-0,001","0,638","0,250","0,001","0,076","0,469","0,000","0,040","-0,261","0,000","-0,214","-0,378","0,110","-0,323","0,399","0,001"
47,"0,512","-0,397","0,001","-0,204","-0,352","-0,001","0,634","0,251","0,001","0,075","0,586","0,000","0,040","-0,376","0,000","-0,214","-0,378","0,110","-0,323","0,399","0,001"
48,"0,557","-0,406","0,001","-0,230","-0,316","-0,001","0,619","0,245","0,001","0,116","0,666","0,000","0,075","-0,261","0,000","-0,285","-0,345","0,110","-0,359","0,366","0,001"
49,"0,557","-0,406","0,001","-0,159","-0,315","0,000","0,619","0,245","0,001","0,271","0,469","0,000","0,268","-0,206","-0,001","-0,214","-0,344","0,110","-0,290","0,312","0,001"
50,"0,425","-0,360","0,001","-0,150","-0,276","0,000","0,564","0,201","0,001","0,142","0,664","0,000","0,100","-0,206","0,000","-0,282","-0,303","0,110","-0,358","0,271","0,001"
51,"0,385","-0,455","-0,047","0,204","-0,574","0,027","0,590","0,064","0,026","-0,494","0,919","0,006","0,100","-0,177","-0,009","-0,279","-0,644","0,100","-0,024","0,505","-0,003"
52,"0,759","-0,465","-0,091","0,269","-0,020","0,043","1,027","-0,468","0,044","-0,406","0,949","0,023","0,052","-0,864","-0,036","-0,463","-0,342","0,095","-0,221","0,546","0,001"
53,"0,220","-0,046","-0,119","0,675","-0,145","0,058","0,879","-0,332","0,061","0,044","0,994","0,043","0,649","-0,661","-0,074","-0,193","-0,149","0,089","0,405","0,389","0,003"
54,"0,865","0,132","-0,137","0,117","-0,266","0,063","1,001","-0,095","0,073","0,045","1,124","0,054","-0,014","-0,699","-0,085","-0,528","-0,019","0,086","-0,256","0,204","0,002"
55,"0,766","-0,017","-0,128","0,459","-0,008","0,059","1,260","-0,184","0,072","0,066","1,205","0,047","0,067","-0,412","-0,077","-0,210","-0,103","0,081","-0,196","0,065","-0,004"
56,"0,811","-0,599","-0,105","-0,198","-0,081","0,048","1,130","0,039","0,068","-0,073","0,552","0,035","-0,048","0,255","-0,068","-0,541","-0,233","0,076","-0,645","-0,127","-0,003"
57,"1,184","-0,356","-0,070","-0,171","-0,140","0,036","1,184","0,346","0,059","0,001","0,407","0,020","-0,051","0,111","-0,058","-0,244","-0,087","0,074","-0,688","-0,202","-0,002"
58,"1,179","-0,321","-0,039","-0,599","-0,421","0,022","1,191","0,243","0,043","0,679","0,450","0,011","0,082","-0,268","-0,055","-0,340","-0,423","0,069","-0,985","0,415","-0,001"
59,"0,723","-0,822","-0,014","-0,996","-0,036","0,013","0,649","0,471","0,034","0,171","0,745","0,010","0,013","-0,487","-0,047","-0,399","-0,082","0,067","-0,776","0,295","-0,013"
60,"0,713","-0,507","0,017","-1,407","-0,307","0,004","-0,003","0,256","0,014","0,160","0,649","0,005","0,025","-0,529","-0,043","-0,472","-0,421","0,059","-0,502","0,654","-0,018"
61,"0,809","-1,089","0,027","-1,433","-0,007","0,006","0,164","0,415","0,014","0,019","0,471","0,014","-0,005","-0,850","-0,053","-0,797","-0,278","0,055","-0,539","0,714","-0,020"
62,"0,369","-0,566","0,027","-0,794","0,060","0,003","0,243","0,229","0,022","-0,407","0,108","0,033","-0,101","-0,177","-0,073","-0,487","-0,154","0,049","-0,251","0,250","-0,023"
63,"0,535","-0,281","0,033","-0,560","-0,567","0,008","0,130","0,267","0,020","0,084","0,408","0,042","0,429","-0,453","-0,078","-0,322","-0,447","0,039","0,101","0,833","-0,040"
64,"0,302","-0,382","0,038","0,081","-0,451","0,025","0,228","0,060","0,011","0,005","0,516","0,041","0,144","-0,644","-0,065","-0,026","-0,295","0,030","0,412","1,023","-0,060"
65,"-0,004","-0,671","0,029","0,102","-0,285","0,041","0,611","0,372","0,014","0,085","0,234","0,028","0,195","-0,417","-0,040","-0,358","-0,161","0,021","-0,217","0,718","-0,075"
66,"0,010","-0,861","0,005","0,016","-0,057","0,056","0,565","0,270","0,029","0,592","0,703","0,015","0,269","-0,373","-0,038","-0,719","-0,153","0,012","-0,747","0,418","-0,073"
67,"0,081","-0,510","-0,025","-0,185","-0,269","0,079","0,573","0,050","0,045","0,885","0,550","0,000","0,310","-0,353","-0,044","-0,604","-0,471","-0,002","-0,882","0,527","-0,060"
68,"0,623","-0,086","-0,046","-0,652","0,055","0,089","0,523","-0,152","0,061","0,324","0,521","0,004","-0,294","-0,435","-0,059","-0,739","-0,152","-0,007","-1,336","0,104","-0,054"
69,"1,176","-0,280","-0,061","-0,370","0,343","0,089","1,214","-0,172","0,080","0,328","0,365","0,014","-0,287","-0,261","-0,074","-0,815","0,183","-0,010","-1,742","-0,313","-0,063"
70,"0,927","-0,581","-0,071","-0,791","0,248","0,091","1,154","0,460","0,106","0,282","0,431","0,019","-0,433","0,253","-0,078","-1,078","0,390","-0,013","-1,872","-0,836","-0,075"
71,"0,871","-0,534","-0,083","-0,764","0,249","0,088","1,110","0,417","0,123","0,344","0,451","0,021","-0,404","0,217","-0,095","-1,035","0,367","-0,017","-1,826","-0,777","-0,066"
72,"0,849","-0,520","-0,099","-0,720","0,253","0,085","1,076","0,401","0,141","0,291","0,447","0,013","-0,437","0,170","-0,088","-0,992","0,340","-0,020","-1,782","-0,719","-0,068"
73,"0,830","-0,512","-0,120","-0,668","0,251","0,086","1,062","0,396","0,161","0,333","0,498","0,016","-0,386","0,163","-0,091","-0,957","0,307","-0,022","-1,716","-0,693","-0,068"
74,"0,771","-0,476","-0,145","-0,611","0,232","0,090","1,055","0,376","0,178","0,320","0,545","0,021","-0,393","0,140","-0,097","-0,928","0,273","-0,021","-1,654","-0,656","-0,063"
75,"0,774","-0,453","-0,162","-0,556","0,222","0,090","1,057","0,334","0,190","0,305","0,529","0,020","-0,403","0,144","-0,096","-0,902","0,242","-0,018","-1,594","-0,627","-0,057"
76,"0,735","-0,404","-0,174","-0,500","0,213","0,089","1,063","0,304","0,197","0,223","0,517","0,024","-0,408","0,148","-0,091","-0,882","0,212","-0,013","-1,537","-0,595","-0,057"
77,"0,685","-0,420","-0,178","-0,501","0,203","0,085","1,002","0,294","0,198","0,154","0,519","0,021","-0,406","0,156","-0,074","-0,851","0,201","-0,006","-1,470","-0,574","-0,059"
78,"0,644","-0,363","-0,170","-0,444","0,163","0,085","1,018","0,285","0,184","0,153","0,521","0,017","-0,404","0,143","-0,068","-0,821","0,185","0,002","-1,409","-0,536","-0,051"
79,"0,594","-0,349","-0,165","-0,441","0,171","0,088","0,962","0,278","0,169","0,146","0,473","0,006","-0,393","0,148","-0,056","-0,791","0,174","0,012","-1,345","-0,508","-0,041"
80,"0,638","-0,366","-0,163","-0,387","0,215","0,093","1,021","0,238","0,153","0,143","0,472","0,001","-0,385","0,167","-0,047","-0,762","0,191","0,022","-1,280","-0,529","-0,032"
81,"0,676","-0,344","-0,158","-0,406","0,175","0,100","1,021","0,259","0,137","0,156","0,454","0,011","-0,305","0,144","-0,050","-0,749","0,157","0,031","-1,229","-0,481","-0,028"
82,"0,641","-0,336","-0,148","-0,412","0,114","0,100","1,019","0,258","0,125","0,145","0,460","0,021","-0,258","0,085","-0,051","-0,767","0,128","0,039","-1,215","-0,428","-0,029"
83,"0,617","-0,326","-0,119","-0,430","0,053","0,094","1,020","0,258","0,099","0,192","0,500","0,033","-0,206","0,057","-0,043","-0,789","0,100","0,047","-1,219","-0,375","-0,041"
84,"0,657","-0,332","-0,087","-0,478","-0,006","0,072","1,000","0,318","0,086","0,133","0,510","0,044","-0,276","0,092","-0,023","-0,805","0,071","0,056","-1,274","-0,366","-0,063"
85,"0,598","-0,333","-0,052","-0,503","-0,074","0,052","0,942","0,332","0,071","0,136","0,485","0,045","-0,255","0,074","-0,005","-0,805","0,035","0,063","-1,284","-0,303","-0,078"
86,"0,549","-0,370","-0,029","-0,536","-0,139","0,040","0,880","0,367","0,055","0,139","0,519","0,043","-0,286","0,027","0,000","-0,809","0,001","0,070","-1,286","-0,235","-0,077"
87,"0,585","-0,430","-0,021","-0,533","-0,130","0,039","0,872","0,363","0,041","0,157","0,574","0,043","-0,293","-0,037","-0,003","-0,788","-0,026","0,080","-1,256","-0,176","-0,066"
88,"0,594","-0,407","-0,015","-0,509","-0,100","0,049","0,840","0,298","0,018","0,159","0,517","0,060","-0,266","-0,032","-0,024","-0,758","-0,038","0,089","-1,191","-0,144","-0,057"
89,"0,575","-0,352","-0,004","-0,488","-0,089","0,059","0,809","0,240","-0,009","0,166","0,512","0,072","-0,187","-0,017","-0,032","-0,737","-0,066","0,096","-1,125","-0,115","-0,057"
90,"0,574","-0,355","0,007","-0,451","-0,087","0,066","0,804","0,183","-0,029","0,157","0,543","0,077","-0,178","-0,015","-0,023","-0,714","-0,095","0,102","-1,065","-0,092","-0,065"
91,"0,570","-0,327","0,020","-0,391","-0,124","0,060","0,800","0,194","-0,039","0,178","0,545","0,075","-0,179","-0,014","-0,005","-0,681","-0,119","0,107","-1,052","-0,104","-0,076"
