Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
180,"0,196","-0,074","0,098","-0,229","-0,042","-0,087","0,096","0,231","-0,116","0,046","-0,260","-0,034","-0,241","0,176","-0,030","-0,098","0,067","0,240","-0,274","-0,199","0,049"
181,"0,140","-0,090","0,092","-0,260","0,011","-0,088","0,074","0,219","-0,110","0,073","-0,271","-0,037","-0,240","0,171","-0,021","-0,130","0,077","0,240","-0,314","-0,166","0,044"
182,"0,088","-0,091","0,087","-0,278","0,029","-0,091","0,059","0,209","-0,103","0,018","-0,236","-0,039","-0,268","0,103","-0,013","-0,159","0,059","0,240","-0,354","-0,109","0,041"
183,"0,146","-0,054","0,084","-0,293","0,064","-0,092","0,107","0,168","-0,100","-0,004","-0,272","-0,039","-0,268","0,099","-0,007","-0,194","0,067","0,240","-0,403","-0,079","0,038"
184,"0,089","-0,047","0,084","-0,325","0,095","-0,093","0,082","0,153","-0,102","-0,019","-0,275","-0,039","-0,284","0,101","-0,003","-0,231","0,069","0,241","-0,457","-0,050","0,037"
185,"0,089","-0,066","0,087","-0,325","0,112","-0,092","0,082","0,154","-0,108","0,004","-0,300","-0,038","-0,272","0,114","-0,003","-0,265","0,086","0,242","-0,467","-0,048","0,038"
186,"0,144","-0,018","0,093","-0,330","0,111","-0,091","0,142","0,127","-0,118","-0,009","-0,334","-0,037","-0,225","0,170","-0,007","-0,302","0,084","0,242","-0,476","-0,076","0,042"
187,"0,138","-0,024","0,098","-0,329","0,105","-0,089","0,140","0,140","-0,125","-0,018","-0,323","-0,036","-0,222","0,219","-0,013","-0,321","0,116","0,243","-0,466","-0,137","0,047"
188,"0,179","-0,075","0,102","-0,350","0,091","-0,087","0,159","0,210","-0,131","-0,011","-0,300","-0,039","-0,219","0,225","-0,017","-0,350","0,142","0,244","-0,463","-0,187","0,052"
189,"0,227","-0,090","0,101","-0,310","0,070","-0,085","0,184","0,274","-0,131","-0,006","-0,245","-0,041","-0,229","0,233","-0,022","-0,319","0,156","0,244","-0,423","-0,239","0,056"
190,"0,273","-0,045","0,099","-0,312","0,056","-0,083","0,170","0,245","-0,128","0,005","-0,243","-0,041","-0,233","0,230","-0,024","-0,288","0,144","0,242","-0,398","-0,260","0,056"
191,"0,214","-0,010","0,090","-0,308","0,026","-0,080","0,113","0,246","-0,120","0,035","-0,243","-0,041","-0,193","0,222","-0,025","-0,256","0,133","0,240","-0,343","-0,273","0,053"
192,"0,244","-0,056","0,081","-0,367","0,051","-0,076","0,118","0,234","-0,111","0,041","-0,172","-0,042","-0,204","0,213","-0,023","-0,288","0,134","0,238","-0,393","-0,300","0,049"
193,"0,231","-0,033","0,072","-0,325","0,021","-0,074","0,146","0,241","-0,100","0,077","-0,204","-0,041","-0,199","0,200","-0,022","-0,250","0,138","0,236","-0,388","-0,293","0,046"
194,"0,180","0,005","0,065","-0,324","0,051","-0,074","0,093","0,203","-0,093","0,130","-0,172","-0,041","-0,210","0,168","-0,019","-0,215","0,157","0,237","-0,386","-0,305","0,044"
195,"0,215","0,062","0,062","-0,322","0,053","-0,076","0,079","0,187","-0,088","0,145","-0,111","-0,040","-0,224","0,145","-0,015","-0,180","0,171","0,237","-0,386","-0,323","0,043"
196,"0,266","0,108","0,062","-0,304","0,030","-0,078","0,083","0,195","-0,088","0,144","-0,102","-0,041","-0,221","0,158","-0,012","-0,142","0,178","0,238","-0,380","-0,343","0,042"
197,"0,269","0,101","0,067","-0,300","0,026","-0,079","0,086","0,202","-0,093","0,138","-0,164","-0,037","-0,237","0,214","-0,012","-0,107","0,186","0,239","-0,372","-0,373","0,043"
198,"0,250","0,063","0,075","-0,300","0,013","-0,080","0,068","0,225","-0,103","0,082","-0,202","-0,036","-0,293","0,253","-0,010","-0,075","0,165","0,240","-0,369","-0,369","0,043"
199,"0,255","0,034","0,083","-0,315","0,005","-0,078","0,080","0,206","-0,113","0,114","-0,245","-0,037","-0,267","0,298","-0,005","-0,070","0,130","0,240","-0,371","-0,368","0,041"
200,"0,316","0,053","0,093","-0,352","0,059","-0,078","0,082","0,162","-0,123","0,115","-0,214","-0,036","-0,267","0,297","-0,003","-0,081","0,160","0,239","-0,413","-0,408","0,037"
201,"0,262","0,095","0,102","-0,328","0,076","-0,079","0,039","0,112","-0,133","0,123","-0,206","-0,033","-0,289","0,230","-0,003","-0,050","0,139","0,240","-0,385","-0,349","0,034"
202,"0,208","0,122","0,108","-0,323","0,039","-0,082","0,046","0,097","-0,136","0,119","-0,146","-0,034","-0,338","0,179","-0,003","-0,071","0,117","0,240","-0,435","-0,301","0,033"
203,"0,218","0,131","0,112","-0,322","0,007","-0,085","0,055","0,083","-0,139","0,100","-0,146","-0,034","-0,337","0,112","-0,002","-0,096","0,101","0,240","-0,445","-0,249","0,030"
