Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
88,"-0,341","0,073","-0,049","0,183","0,125","-0,060","-0,096","-0,231","0,035","0,290","0,344","0,242","-0,184","-0,074","-0,194","-0,358","-0,046","0,097","-0,295","-0,113","-0,023"
89,"-0,374","0,055","-0,044","0,213","0,190","-0,062","-0,078","-0,233","0,035","0,282","0,298","0,239","-0,187","-0,073","-0,196","-0,344","-0,016","0,093","-0,301","-0,118","-0,022"
90,"-0,375","0,012","-0,037","0,222","0,262","-0,062","-0,040","-0,251","0,029","0,269","0,313","0,235","-0,149","-0,056","-0,196","-0,348","0,018","0,091","-0,291","-0,186","-0,020"
91,"-0,361","0,023","-0,037","0,193","0,325","-0,052","-0,041","-0,262","0,022","0,195","0,330","0,237","-0,160","-0,039","-0,203","-0,354","0,050","0,088","-0,270","-0,246","-0,017"
92,"-0,401","0,057","-0,041","0,160","0,389","-0,042","-0,072","-0,329","0,020","0,176","0,315","0,237","-0,110","-0,004","-0,206","-0,362","0,083","0,085","-0,243","-0,286","-0,017"
93,"-0,436","0,062","-0,045","0,159","0,405","-0,033","-0,121","-0,364","0,018","0,192","0,253","0,227","-0,052","0,014","-0,195","-0,328","0,095","0,081","-0,169","-0,289","-0,021"
94,"-0,446","0,051","-0,042","0,134","0,446","-0,024","-0,189","-0,379","0,011","0,186","0,319","0,221","-0,008","-0,012","-0,185","-0,322","0,131","0,078","-0,125","-0,331","-0,029"
95,"-0,389","0,029","-0,039","0,122","0,411","-0,013","-0,152","-0,328","-0,001","0,196","0,335","0,220","-0,033","-0,001","-0,179","-0,350","0,125","0,076","-0,149","-0,362","-0,039"
96,"-0,403","0,030","-0,039","0,146","0,354","0,000","-0,157","-0,263","-0,009","0,135","0,363","0,226","-0,076","0,035","-0,174","-0,330","0,100","0,072","-0,134","-0,374","-0,053"
97,"-0,457","0,060","-0,045","0,111","0,332","0,011","-0,199","-0,228","-0,013","0,110","0,304","0,226","-0,104","0,100","-0,166","-0,360","0,112","0,070","-0,166","-0,427","-0,065"
98,"-0,410","0,088","-0,047","0,165","0,312","0,021","-0,149","-0,267","-0,019","0,124","0,239","0,220","-0,101","0,105","-0,155","-0,344","0,085","0,067","-0,138","-0,369","-0,071"
