Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z
56,"-0,174","0,853","0,230","1,306","-0,378","-1,276","-0,119","-0,315","-1,979","-0,257","-0,665","-0,086","0,005","-0,160","-1,264","1,311","0,088","-0,380","-0,156","-0,215","-0,390"
57,"-0,263","0,646","0,382","1,029","-0,549","-1,579","0,182","-0,539","-2,983","0,047","-0,300","-0,053","-0,112","-0,386","-1,471","1,369","0,168","-0,268","-0,217","-0,624","-0,394"
58,"-0,010","0,289","0,239","0,607","-0,716","-1,479","0,237","-0,587","-2,853","0,377","-0,287","0,146","-0,562","-0,128","-0,475","1,555","0,089","-0,376","-0,033","-0,274","0,182"
59,"0,455","-0,255","0,209","0,119","-0,535","-1,490","0,118","-0,594","-2,920","0,401","-0,153","0,135","-0,808","-0,105","-0,361","1,617","0,020","-0,425","0,333","-0,005","0,593"
60,"0,615","-0,376","0,430","0,008","0,008","-0,821","0,220","-0,617","-2,544","0,361","-0,211","0,018","-0,684","0,123","-0,465","1,435","0,009","-0,489","0,454","-0,027","-0,007"
61,"0,458","-0,579","0,062","-0,784","0,194","-0,802","0,315","-0,275","-0,977","-0,047","-0,031","-0,026","-0,588","0,166","0,710","1,255","-0,070","-0,603","0,942","-0,270","-0,364"
62,"0,552","-0,217","0,025","-1,023","-0,113","-1,321","0,396","-0,261","-0,237","-0,957","-0,197","-0,299","-0,177","0,367","1,425","1,135","-0,210","-0,707","1,064","-0,107","-0,308"
63,"0,379","-0,279","0,083","-0,727","0,136","-0,207","0,406","-0,219","-0,425","-0,787","-0,668","-0,252","-0,099","0,155","0,660","1,137","-0,169","-0,837","1,065","0,515","0,270"
64,"0,226","0,031","0,027","0,311","0,219","0,370","0,166","-0,105","-0,512","-0,742","-0,166","-0,133","-0,933","-0,142","-0,232","1,382","-0,178","-0,893","1,370","0,266","0,731"
65,"0,182","-0,192","0,038","0,963","0,480","0,732","0,027","0,097","0,872","-0,795","0,169","-0,218","-0,780","-0,411","-1,606","1,504","-0,057","-0,909","0,455","0,591","0,980"
66,"0,102","-0,012","-0,007","0,856","0,405","0,898","-0,182","0,316","2,434","-0,176","-0,424","-0,010","-0,667","-0,209","-1,208","1,809","-0,116","-0,894","1,369","0,007","-0,907"
67,"-0,259","0,281","-0,258","1,133","0,575","1,200","-0,263","0,595","2,770","-0,329","-0,019","-0,158","-0,598","-0,159","-1,589","1,080","-0,138","-1,029","1,551","-0,800","-2,278"
68,"-0,066","0,518","-0,066","1,299","0,320","0,428","-0,104","0,346","2,128","-0,579","0,083","-0,122","-0,327","0,074","-0,075","0,407","-0,121","-0,921","0,575","-0,969","-1,515"
69,"-0,163","0,121","-0,079","1,621","-0,208","-0,590","0,173","0,468","1,518","0,313","-0,479","0,040","-0,718","0,296","1,054","-0,084","-0,033","-0,759","0,210","-0,405","-0,501"
70,"-0,344","0,108","-0,055","1,128","-0,162","-0,620","0,443","0,360","1,053","0,366","-0,814","0,124","-0,098","0,143","0,601","-0,943","0,303","-0,583","-0,094","0,057","-0,252"
71,"-0,231","0,286","-0,040","0,561","-0,405","-0,739","0,440","0,366","1,113","0,354","-0,547","0,314","0,758","0,121","0,500","-1,434","0,330","-0,411","-0,644","-0,317","-1,155"
72,"-0,240","-0,023","-0,270","0,463","-0,268","-0,516","0,247","0,384","1,285","0,257","-0,713","0,111","0,725","-0,364","-0,711","-1,620","0,539","-0,263","-0,826","0,246","-0,005"
73,"-0,364","0,292","-0,108","-0,033","0,088","-0,003","0,329","0,458","2,018","0,120","-1,063","-0,051","1,007","-0,105","0,301","-1,380","0,568","-0,077","-0,399","0,246","-0,005"
74,"-0,497","0,299","-0,176","-0,343","0,210","0,569","0,193","0,300","2,272","0,157","-0,518","-0,110","1,310","0,158","0,380","-1,262","0,417","0,134","-0,033","0,057","-0,252"
75,"-0,383","0,596","-0,096","-0,110","0,360","0,430","0,105","0,177","1,666","-0,302","-0,246","-0,150","0,837","-0,091","-0,265","-0,595","0,266","0,356","-0,094","0,301","-0,168"
76,"-0,673","0,441","-0,038","0,675","0,213","0,334","-0,291","0,180","1,091","-0,672","-0,443","-0,307","0,891","0,087","0,012","-0,109","0,166","0,505","0,333","0,404","0,596"
77,"-0,420","0,562","0,080","0,249","-0,031","0,396","-0,318","0,057","0,489","-0,617","-0,092","-0,309","0,539","0,089","-0,618","0,252","0,206","0,753","0,455","0,346","1,032"
78,"-0,146","0,739","0,382","0,297","0,066","0,875","-0,264","-0,041","-0,481","-0,583","-0,361","-0,124","-0,499","-0,080","-0,545","0,129","0,094","0,830","0,332","-0,192","0,073"
79,"0,134","-0,092","0,195","0,147","0,050","1,219","-0,338","0,226","-0,266","-0,719","-0,033","-0,144","-0,668","-0,388","-1,173","0,247","0,304","0,985","0,211","-0,137","0,046"
80,"0,295","0,344","0,249","0,059","0,283","1,538","-0,291","0,130","-0,008","-0,791","-0,191","-0,200","-0,433","-0,306","-0,748","-0,058","0,243","0,988","0,271","-0,246","0,100"
81,"0,215","0,207","0,502","0,071","0,264","1,672","-0,169","0,009","0,011","-0,793","-0,074","-0,130","-0,774","0,189","0,825","-0,301","0,172","0,933","0,638","-0,087","0,565"
82,"0,094","0,079","0,452","-0,091","-0,006","0,681","-0,017","-0,167","-0,515","-0,689","0,175","0,093","-0,294","0,379","1,171","-0,359","0,273","0,792","0,699","0,046","0,975"
83,"0,431","-0,065","0,600","-1,177","-0,415","0,283","-0,284","-0,104","-2,317","-0,142","-0,693","0,175","0,069","0,344","1,311","-0,240","0,293","0,915","0,212","0,418","2,151"
84,"0,359","-0,054","0,523","-0,668","-0,639","-1,374","-0,142","-0,140","-2,674","0,056","-0,333","-0,103","0,259","0,405","0,992","-0,421","0,162","0,870","-0,763","0,657","3,053"
85,"0,258","-0,127","0,657","-0,715","-0,349","-1,273","0,111","-0,400","-2,817","0,231","0,065","0,404","-0,036","0,442","0,543","-0,480","0,143","0,749","-0,764","0,609","2,262"
86,"0,423","-0,374","0,369","-0,929","-0,112","-0,361","0,125","-0,314","-1,966","0,772","-0,082","0,450","-0,029","0,444","0,233","-0,237","0,093","0,823","-0,399","0,048","0,839"
87,"0,327","-0,094","0,256","-0,685","0,350","0,816","0,230","0,011","-0,581","0,675","-0,248","0,247","-0,334","0,324","0,249","0,065","0,053","0,959","-0,338","0,001","-0,089"
88,"0,077","-0,061","0,253","-0,693","0,662","1,940","0,338","0,097","-0,338","0,383","-0,213","0,393","-0,498","0,626","2,113","0,249","0,044","0,902","0,759","-0,028","-0,007"
