Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z
114,"0,323","0,084","-0,216","2,787","-0,179","0,009","-0,311","0,142","0,038","-0,517","-0,702","0,024","-0,437","-0,345","0,011","3,523","0,146","-0,082","2,905","0,791","0,162"
115,"0,319","0,092","-0,224","2,724","-0,215","0,013","-0,295","0,137","0,056","-0,505","-0,643","0,031","-0,422","-0,354","0,017","3,472","0,115","-0,095","2,879","0,784","0,147"
116,"0,354","0,118","-0,227","2,713","-0,226","0,015","-0,242","0,131","0,074","-0,549","-0,643","0,032","-0,423","-0,360","0,028","3,437","0,084","-0,110","2,860","0,776","0,129"
117,"0,406","0,127","-0,226","2,689","-0,206","0,017","-0,200","0,057","0,090","-0,551","-0,623","0,024","-0,381","-0,328","0,043","3,391","0,052","-0,126","2,834","0,773","0,114"
118,"0,434","0,148","-0,228","2,674","-0,182","0,017","-0,194","-0,031","0,109","-0,502","-0,646","0,013","-0,326","-0,292","0,060","3,369","0,019","-0,143","2,846","0,784","0,101"
119,"0,380","0,189","-0,223","2,619","-0,110","0,015","-0,203","-0,109","0,122","-0,510","-0,667","0,000","-0,262","-0,276","0,073","3,309","0,043","-0,160","2,825","0,761","0,095"
120,"0,397","0,193","-0,216","2,570","-0,114","0,010","-0,203","-0,173","0,130","-0,469","-0,704","-0,014","-0,258","-0,281","0,084","3,271","0,001","-0,170","2,753","0,805","0,096"
121,"0,352","0,168","-0,210","2,497","-0,134","0,004","-0,271","-0,193","0,133","-0,486","-0,653","-0,021","-0,283","-0,338","0,092","3,224","-0,038","-0,176","2,675","0,863","0,100"
122,"0,296","0,180","-0,203","2,465","-0,085","-0,001","-0,303","-0,182","0,132","-0,484","-0,633","-0,031","-0,272","-0,387","0,100","3,195","-0,008","-0,181","2,627","0,863","0,104"
123,"0,261","0,193","-0,197","2,411","-0,057","-0,004","-0,314","-0,160","0,129","-0,460","-0,565","-0,038","-0,260","-0,385","0,105","3,122","0,014","-0,183","2,557","0,803","0,110"
124,"0,244","0,129","-0,196","2,385","-0,046","-0,008","-0,278","-0,104","0,132","-0,423","-0,554","-0,041","-0,230","-0,392","0,108","3,059","0,044","-0,185","2,513","0,744","0,112"
125,"0,243","0,125","-0,201","2,364","-0,033","-0,010","-0,267","-0,052","0,139","-0,435","-0,554","-0,039","-0,229","-0,397","0,107","3,003","0,074","-0,187","2,470","0,683","0,109"
126,"0,233","0,135","-0,210","2,352","-0,015","-0,014","-0,266","-0,014","0,151","-0,406","-0,492","-0,032","-0,220","-0,408","0,105","2,959","0,103","-0,190","2,440","0,627","0,101"
127,"0,175","0,182","-0,216","2,333","0,000","-0,018","-0,264","-0,021","0,165","-0,456","-0,440","-0,026","-0,244","-0,407","0,102","2,908","0,126","-0,195","2,395","0,576","0,090"
128,"0,176","0,170","-0,220","2,311","0,018","-0,023","-0,270","-0,008","0,177","-0,393","-0,444","-0,018","-0,239","-0,374","0,100","2,855","0,146","-0,197","2,325","0,535","0,080"
129,"0,173","0,176","-0,221","2,274","0,013","-0,031","-0,275","-0,003","0,183","-0,420","-0,505","-0,013","-0,300","-0,373","0,102","2,786","0,143","-0,191","2,226","0,565","0,075"
130,"0,148","0,210","-0,211","2,245","-0,007","-0,040","-0,275","-0,011","0,176","-0,446","-0,524","-0,005","-0,307","-0,386","0,106","2,718","0,118","-0,180","2,141","0,627","0,075"
131,"0,107","0,247","-0,201","2,223","0,018","-0,054","-0,271","-0,028","0,166","-0,519","-0,561","-0,002","-0,364","-0,406","0,110","2,657","0,135","-0,165","2,072","0,646","0,083"
132,"0,052","0,203","-0,193","2,194","0,041","-0,070","-0,261","-0,031","0,158","-0,595","-0,523","0,001","-0,403","-0,434","0,116","2,588","0,143","-0,145","2,016","0,661","0,095"
133,"0,022","0,232","-0,182","2,170","0,073","-0,086","-0,253","-0,050","0,146","-0,608","-0,502","0,003","-0,364","-0,422","0,123","2,527","0,155","-0,125","1,979","0,648","0,106"
134,"-0,001","0,210","-0,180","2,147","0,123","-0,102","-0,222","-0,050","0,144","-0,690","-0,471","0,006","-0,386","-0,418","0,129","2,480","0,175","-0,106","1,958","0,614","0,113"
