Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
68,"0,136","0,051","0,009","-0,077","-0,085","-0,560","0,578","-0,106","-0,022","-0,032","0,002","0,014","0,294","0,048","0,030","0,112","-0,080","-0,060","0,501","-0,201","-0,005"
69,"0,148","0,072","0,011","-0,297","0,182","-0,560","0,480","0,305","-0,018","-0,543","-0,450","0,015","0,485","0,125","0,031","0,651","0,350","-0,071","-0,037","-0,080","-0,009"
70,"0,545","0,290","0,017","-0,323","-0,158","-0,563","0,395","0,165","-0,019","-0,241","0,009","0,016","-0,187","0,049","0,031","0,399","-0,062","-0,077","0,187","-0,181","-0,009"
71,"0,507","0,240","0,016","-0,294","-0,167","-0,566","0,397","0,173","-0,021","-0,216","0,050","0,015","-0,150","0,021","0,033","0,404","-0,021","-0,080","0,187","-0,203","-0,007"
72,"0,508","0,206","0,015","-0,266","-0,156","-0,568","0,443","0,199","-0,020","-0,156","0,055","0,012","-0,100","0,000","0,036","0,393","-0,032","-0,080","0,227","-0,224","-0,008"
73,"0,492","0,230","0,017","-0,258","-0,122","-0,570","0,512","0,204","-0,022","-0,130","-0,012","0,008","-0,038","-0,019","0,039","0,395","-0,037","-0,081","0,272","-0,192","-0,007"
74,"0,460","0,168","0,013","-0,228","-0,110","-0,573","0,478","0,210","-0,025","-0,113","0,007","0,007","-0,029","-0,008","0,043","0,348","-0,021","-0,080","0,289","-0,211","-0,004"
75,"0,456","0,103","0,008","-0,211","-0,136","-0,574","0,411","0,203","-0,027","-0,084","0,068","0,010","-0,033","-0,020","0,046","0,363","-0,014","-0,080","0,276","-0,234","-0,004"
76,"0,413","0,051","0,001","-0,210","-0,102","-0,576","0,386","0,188","-0,026","-0,110","0,054","0,013","-0,031","-0,051","0,047","0,383","0,003","-0,079","0,283","-0,169","-0,004"
77,"0,364","0,003","-0,009","-0,185","-0,122","-0,579","0,383","0,177","-0,030","-0,116","0,091","0,020","-0,011","-0,060","0,052","0,391","0,008","-0,080","0,280","-0,202","-0,004"
