Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
969,"1,000","-0,009","-0,017","-0,019","0,997","0,072","0,006","0,002","0,999","-0,009","0,013","0,029","0,999","-0,031","-0,006","0,022","0,999","0,041","0,018","-0,007","0,999","0,026","-0,018","0,007","1,000","-0,029","-0,004","-0,001"
970,"1,000","-0,010","-0,018","-0,019","0,997","0,072","0,006","0,003","0,999","-0,010","0,013","0,029","0,999","-0,031","-0,006","0,022","0,999","0,041","0,018","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,029","-0,004","-0,001"
971,"1,000","-0,010","-0,018","-0,018","0,997","0,071","0,006","0,003","0,999","-0,010","0,013","0,029","0,999","-0,031","-0,007","0,022","0,999","0,041","0,018","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,030","-0,003","-0,001"
972,"1,000","-0,010","-0,019","-0,018","0,997","0,071","0,005","0,003","0,999","-0,010","0,013","0,029","0,999","-0,031","-0,007","0,022","0,999","0,041","0,018","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,030","-0,003","-0,001"
973,"1,000","-0,010","-0,020","-0,019","0,998","0,070","0,005","0,004","0,999","-0,011","0,014","0,029","0,999","-0,031","-0,008","0,022","0,999","0,041","0,017","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,030","-0,003","-0,001"
974,"1,000","-0,010","-0,020","-0,019","0,998","0,070","0,005","0,004","0,999","-0,011","0,014","0,029","0,999","-0,031","-0,008","0,022","0,999","0,040","0,017","-0,007","0,999","0,027","-0,019","0,007","1,000","-0,031","-0,003","-0,001"
975,"1,000","-0,010","-0,020","-0,019","0,998","0,069","0,005","0,004","0,999","-0,011","0,013","0,029","0,999","-0,031","-0,009","0,023","0,999","0,040","0,017","-0,007","0,999","0,027","-0,019","0,007","1,000","-0,031","-0,003","-0,001"
976,"1,000","-0,010","-0,021","-0,018","0,998","0,069","0,004","0,004","0,999","-0,012","0,013","0,029","0,999","-0,030","-0,009","0,023","0,999","0,040","0,017","-0,007","0,999","0,027","-0,019","0,007","1,000","-0,031","-0,002","-0,001"
977,"1,000","-0,010","-0,021","-0,018","0,998","0,068","0,005","0,004","0,999","-0,011","0,013","0,029","0,999","-0,030","-0,009","0,023","0,999","0,040","0,016","-0,007","0,999","0,026","-0,019","0,007","1,000","-0,031","-0,002","-0,001"
978,"1,000","-0,010","-0,021","-0,018","0,998","0,068","0,005","0,004","0,999","-0,011","0,013","0,029","0,999","-0,030","-0,010","0,022","0,999","0,041","0,016","-0,007","0,999","0,026","-0,019","0,007","1,000","-0,030","-0,003","-0,001"
979,"1,000","-0,010","-0,021","-0,018","0,998","0,067","0,004","0,004","0,999","-0,011","0,012","0,028","0,999","-0,030","-0,010","0,022","0,999","0,041","0,015","-0,007","0,999","0,026","-0,019","0,007","1,000","-0,030","-0,003","-0,001"
980,"1,000","-0,010","-0,021","-0,018","0,998","0,066","0,005","0,005","0,999","-0,011","0,012","0,028","0,999","-0,030","-0,010","0,022","0,999","0,040","0,015","-0,007","0,999","0,025","-0,019","0,007","1,000","-0,030","-0,003","-0,001"
981,"1,000","-0,010","-0,022","-0,018","0,998","0,066","0,005","0,005","0,999","-0,011","0,012","0,028","0,999","-0,030","-0,010","0,022","0,999","0,040","0,015","-0,007","0,999","0,025","-0,019","0,007","1,000","-0,030","-0,004","0,000"
982,"1,000","-0,010","-0,022","-0,018","0,998","0,066","0,005","0,005","0,999","-0,011","0,012","0,028","0,999","-0,029","-0,010","0,022","0,999","0,040","0,016","-0,007","0,999","0,025","-0,018","0,007","1,000","-0,029","-0,004","0,000"
983,"1,000","-0,010","-0,022","-0,018","0,998","0,066","0,005","0,005","0,999","-0,011","0,012","0,028","0,999","-0,029","-0,010","0,022","0,999","0,040","0,015","-0,006","0,999","0,026","-0,018","0,007","1,000","-0,029","-0,004","0,000"
984,"1,000","-0,009","-0,022","-0,018","0,998","0,066","0,005","0,005","0,999","-0,010","0,011","0,029","0,999","-0,029","-0,010","0,022","0,999","0,041","0,015","-0,006","0,999","0,026","-0,018","0,007","1,000","-0,029","-0,004","0,000"
985,"1,000","-0,009","-0,022","-0,018","0,998","0,066","0,005","0,005","0,999","-0,010","0,011","0,029","0,999","-0,029","-0,010","0,022","0,999","0,040","0,015","-0,006","0,999","0,026","-0,018","0,007","1,000","-0,029","-0,005","0,000"
986,"1,000","-0,009","-0,021","-0,018","0,998","0,066","0,005","0,005","0,999","-0,010","0,011","0,029","0,999","-0,028","-0,010","0,022","0,999","0,040","0,015","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,028","-0,005","0,000"
987,"1,000","-0,009","-0,021","-0,018","0,998","0,066","0,004","0,005","0,999","-0,010","0,011","0,029","0,999","-0,028","-0,010","0,022","0,999","0,040","0,015","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,028","-0,005","0,000"
988,"1,000","-0,009","-0,021","-0,019","0,998","0,067","0,005","0,005","0,999","-0,010","0,011","0,028","0,999","-0,028","-0,010","0,021","0,999","0,040","0,015","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,028","-0,005","0,000"
989,"1,000","-0,009","-0,020","-0,019","0,998","0,067","0,005","0,005","0,999","-0,010","0,010","0,028","0,999","-0,028","-0,009","0,021","0,999","0,041","0,015","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,028","-0,005","0,000"
990,"1,000","-0,009","-0,020","-0,019","0,998","0,066","0,005","0,005","0,999","-0,010","0,010","0,028","0,999","-0,027","-0,009","0,021","0,999","0,041","0,015","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,027","-0,005","0,000"
991,"1,000","-0,009","-0,019","-0,019","0,998","0,066","0,005","0,005","0,999","-0,010","0,011","0,028","0,999","-0,027","-0,009","0,021","0,999","0,041","0,015","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,027","-0,005","0,000"
992,"1,000","-0,008","-0,019","-0,019","0,998","0,066","0,005","0,005","0,999","-0,009","0,011","0,028","0,999","-0,027","-0,009","0,021","0,999","0,041","0,015","-0,007","0,999","0,027","-0,018","0,007","1,000","-0,027","-0,004","0,000"
993,"1,000","-0,008","-0,019","-0,019","0,998","0,066","0,006","0,005","0,999","-0,009","0,011","0,028","0,999","-0,026","-0,009","0,021","0,999","0,041","0,015","-0,007","0,999","0,026","-0,017","0,007","1,000","-0,027","-0,004","0,000"
994,"1,000","-0,008","-0,019","-0,019","0,998","0,065","0,006","0,005","0,999","-0,009","0,011","0,028","0,999","-0,026","-0,008","0,021","0,999","0,041","0,015","-0,007","0,999","0,026","-0,017","0,007","1,000","-0,026","-0,004","0,000"
995,"1,000","-0,009","-0,018","-0,018","0,998","0,065","0,006","0,005","0,999","-0,009","0,011","0,028","0,999","-0,026","-0,008","0,021","0,999","0,040","0,015","-0,007","0,999","0,026","-0,017","0,007","1,000","-0,026","-0,004","0,000"
