Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
420,"0,083","0,041","0,002","0,440","0,260","0,231","0,190","-0,029","0,059","-0,034","0,024","0,279","0,174","-0,084","0,058","-0,069","-0,138","-0,012","-0,072","0,063","0,204"
421,"0,018","0,058","0,057","0,075","0,203","0,256","0,186","-0,160","0,022","0,017","0,142","0,495","-0,012","-0,126","0,025","0,100","-0,038","-0,127","-0,416","-0,101","-0,157"
422,"0,143","-0,017","0,023","-0,047","0,144","0,271","0,054","-0,182","-0,088","-0,048","0,118","0,575","-0,081","0,006","0,019","-0,114","0,038","0,011","-0,063","-0,214","-0,278"
423,"0,068","0,054","0,253","-0,056","-0,080","0,064","0,176","-0,123","-0,109","0,273","-0,004","0,239","-0,014","-0,042","0,045","-0,041","0,080","-0,005","-0,147","-0,177","0,116"
424,"0,122","0,031","0,390","0,063","-0,091","-0,001","0,175","-0,063","-0,121","0,102","-0,016","-0,041","0,043","-0,071","-0,013","0,122","0,096","-0,139","-0,057","-0,056","0,388"
425,"0,065","0,072","0,311","0,183","0,077","-0,098","0,059","-0,111","-0,040","0,334","-0,003","0,242","0,055","-0,175","0,051","0,070","-0,021","0,005","0,740","0,197","0,327"
426,"0,135","-0,040","0,157","0,063","0,089","-0,033","0,175","-0,063","-0,121","0,203","0,031","0,426","-0,072","-0,129","0,031","-0,033","0,046","-0,055","0,633","0,307","-0,178"
427,"0,079","0,059","0,060","0,126","0,099","0,024","0,033","-0,047","-0,361","0,088","0,024","0,285","0,040","0,013","0,007","0,004","-0,096","-0,028","0,327","0,122","-0,132"
428,"0,020","-0,076","0,034","0,061","0,138","-0,104","0,094","-0,048","-0,366","0,393","-0,110","0,304","-0,033","-0,003","-0,122","-0,055","-0,088","-0,043","0,318","-0,094","-0,170"
429,"0,034","-0,147","-0,199","0,300","0,114","-0,233","-0,017","-0,084","-0,225","1,250","-0,026","0,229","-0,035","0,197","-0,031","-0,012","-0,029","0,072","-0,174","-0,051","-0,204"
430,"0,093","-0,013","-0,173","0,478","0,032","-0,349","0,119","-0,051","-0,056","0,107","0,061","-0,153","0,038","0,097","0,027","0,048","-0,155","0,018","-0,117","-0,244","-0,192"
431,"0,028","0,005","-0,118","0,543","0,113","-0,242","-0,058","-0,098","0,030","0,064","-0,146","-0,529","-0,030","0,029","-0,071","0,078","-0,054","-0,045","-0,124","-0,157","-0,297"
432,"-0,019","-0,067","-0,354","0,241","0,246","-0,193","-0,109","0,105","0,120","0,242","-0,033","-0,444","0,231","-0,113","0,000","0,026","0,038","-0,041","0,084","0,128","-0,109"
433,"-0,093","0,004","-0,125","0,244","0,257","-0,133","-0,241","0,024","0,022","0,191","-0,151","-0,660","0,113","-0,087","0,064","-0,011","0,180","-0,068","0,048","0,171","0,143"
434,"0,014","0,018","0,133","0,429","0,146","-0,058","-0,088","-0,046","-0,351","0,361","-0,002","-0,385","0,047","-0,039","0,039","-0,047","-0,122","-0,093","-0,053","0,080","0,395"
435,"-0,037","-0,094","-0,028","0,429","0,266","-0,080","-0,138","-0,143","-0,204","0,346","-0,015","-0,030","0,111","-0,003","0,084","-0,033","0,046","-0,055","0,036","0,123","0,032"
436,"-0,043","0,058","0,053","0,490","0,146","-0,060","-0,114","0,034","0,072","-0,025","0,042","0,060","0,033","-0,052","-0,097","-0,055","-0,088","-0,043","0,125","0,165","-0,330"
437,"0,008","0,112","0,231","0,490","0,086","-0,049","-0,038","0,067","0,246","0,205","-0,052","0,402","-0,187","-0,188","0,075","-0,070","-0,021","0,057","0,237","0,002","-0,404"
438,"-0,121","0,088","0,359","0,302","0,125","-0,173","0,180","0,008","-0,072","-0,164","0,111","0,434","-0,075","-0,046","0,051","0,078","-0,054","-0,045","0,212","0,094","-0,041"
439,"-0,175","0,111","0,221","0,370","0,217","-0,006","0,109","-0,074","-0,175","0,329","-0,134","0,384","-0,023","0,093","0,033","0,246","-0,045","0,049","0,112","-0,054","0,235"
440,"-0,045","0,134","0,094","0,424","0,004","-0,156","0,165","-0,026","-0,251","0,521","-0,114","0,173","0,038","0,097","0,027","0,106","0,163","-0,039","0,117","0,027","0,266"
441,"0,015","0,076","0,115","0,183","-0,043","-0,076","0,124","-0,040","0,004","0,403","-0,038","0,055","0,040","0,013","0,007","0,092","0,113","-0,007","0,078","-0,256","-0,074"
442,"0,084","0,157","-0,034","0,124","-0,092","-0,003","0,007","0,092","0,051","1,073","-0,223","0,120","0,155","0,071","-0,038","0,069","0,097","0,074","0,021","-0,118","-0,061"
443,"0,133","0,036","0,198","0,124","0,028","-0,025","0,073","0,043","0,117","0,812","0,172","0,447","-0,031","-0,087","-0,142","0,092","0,113","-0,007","0,214","-0,018","0,008"
444,"0,190","0,054","0,259","0,122","-0,043","-0,074","0,185","0,019","-0,012","0,195","0,066","0,616","0,113","-0,087","0,064","0,077","0,063","0,024","0,404","0,250","0,004"
445,"0,319","0,078","0,132","0,124","-0,032","-0,014","0,094","-0,048","-0,366","0,089","-0,058","0,261","0,273","0,045","-0,102","-0,510","0,263","-0,054","0,192","0,322","0,330"
446,"0,261","0,001","0,088","0,129","0,230","0,063","0,155","-0,108","-0,359","-0,111","0,011","0,632","0,040","0,013","0,007","-0,105","-0,114","-0,108","0,169","0,168","0,132"
447,"0,022","0,040","-0,002","0,124","0,148","-0,046","0,120","-0,111","-0,045","0,484","0,245","0,949","0,047","-0,039","0,039","-0,054","-0,206","-0,112","-0,151","0,047","0,018"
448,"0,157","-0,030","-0,228","0,246","0,207","-0,062","0,013","0,044","0,122","0,452","0,163","0,295","0,031","0,032","-0,077","-0,025","0,012","-0,106","0,291","-0,328","-0,399"
449,"0,222","0,011","-0,300","0,248","0,158","0,009","0,144","0,065","0,231","0,610","-0,249","-0,446","0,105","0,048","0,052","0,019","-0,046","-0,060","0,181","-0,276","-0,276"
450,"0,212","0,064","-0,125","0,307","0,027","-0,032","0,074","-0,017","0,128","0,823","-0,466","-1,083","0,158","-0,013","-0,057","-0,055","0,029","0,026","0,106","-0,078","0,180"
451,"0,262","0,118","0,053","0,365","-0,044","-0,083","0,053","-0,002","-0,122","0,709","-0,366","-1,283","0,165","0,052","0,046","0,077","0,063","0,024","0,258","-0,015","0,471"
452,"0,202","0,118","0,049","0,070","0,061","0,158","0,095","-0,168","-0,343","0,325","-0,162","-0,926","0,162","0,019","-0,006","-0,091","0,054","-0,070","0,623","-0,080","0,461"
453,"-0,028","0,045","-0,197","0,253","0,120","0,140","0,064","-0,039","0,009","-0,001","0,019","-0,484","0,163","-0,181","-0,097","0,026","0,038","-0,041","0,245","-0,008","0,335"
454,"0,094","0,104","-0,208","0,190","0,169","0,071","0,195","0,042","0,107","0,148","0,351","0,246","0,107","-0,036","0,032","0,039","-0,003","0,137","0,339","0,115","0,004"
455,"0,072","0,094","0,177","0,190","0,049","0,093","0,306","0,018","-0,022","-0,295","0,282","0,612","0,037","-0,020","-0,045","-0,056","0,147","0,095","0,344","0,195","0,035"
456,"0,059","0,166","0,409","0,251","0,109","0,080","0,226","-0,146","-0,234","-0,320","0,251","1,186","0,050","-0,007","0,090","0,061","0,131","0,125","0,217","0,174","-0,009"
457,"0,052","0,201","0,526","0,187","0,039","0,033","0,165","-0,086","-0,240","-0,449","0,339","1,341","-0,008","-0,094","0,077","-0,113","-0,080","-0,058","0,029","0,154","-0,048"
458,"0,119","0,108","0,431","0,063","0,089","-0,033","0,231","-0,075","-0,185","-0,307","0,104","0,920","0,041","0,129","0,078","-0,032","-0,072","-0,125","0,139","0,102","-0,170"
459,"0,025","0,023","-0,060","0,056","-0,124","-0,181","0,230","0,045","-0,208","0,210","-0,111","0,296","-0,019","0,126","0,084","0,099","-0,129","0,083","0,299","-0,112","-0,361"
460,"-0,029","-0,013","-0,180","0,302","-0,115","-0,130","0,311","0,030","0,037","0,893","-0,064","0,023","0,028","0,116","-0,057","0,246","-0,045","0,049","0,253","-0,229","-0,171"
461,"0,160","-0,048","-0,286","0,302","-0,115","-0,130","0,372","0,029","0,032","0,957","0,286","-0,098","-0,074","0,071","0,122","-0,011","-0,147","0,003","0,218","-0,241","0,106"
462,"0,272","0,006","-0,104","0,117","-0,124","-0,183","0,306","0,018","-0,022","0,921","0,126","-0,639","0,034","0,064","-0,025","0,106","-0,045","0,101","0,133","-0,204","0,500"
463,"0,262","0,118","0,053","0,119","-0,054","-0,134","0,175","-0,063","-0,121","0,876","-0,187","-0,956","-0,023","0,093","0,033","0,159","-0,046","-0,112","0,252","-0,039","0,415"
464,"0,326","0,042","0,016","0,187","0,039","0,033","0,119","0,069","-0,079","0,144","-0,056","-0,993","0,098","0,100","0,020","-0,004","-0,063","0,022","0,500","0,035","0,423"
465,"0,280","0,087","-0,256","0,002","0,089","-0,031","0,059","-0,051","-0,051","-0,180","-0,148","-0,539","-0,014","-0,042","0,045","-0,003","-0,180","-0,047","0,618","0,200","0,338"
466,"0,396","0,182","-0,151","0,126","0,039","0,035","0,175","0,057","-0,143","-0,515","0,204","0,087","0,038","0,097","0,027","-0,025","0,012","-0,106","0,477","0,241","0,134"
467,"0,205","0,100","-0,009","0,246","0,027","-0,029","0,114","-0,003","-0,127","-0,295","0,282","0,612","0,031","0,032","-0,077","-0,055","0,029","0,026","0,236","0,057","-0,429"
468,"0,255","0,095","0,187","0,187","0,099","0,022","0,134","0,103","0,101","-0,178","0,342","0,724","-0,032","0,113","-0,051","0,100","-0,038","-0,127","0,345","0,061","-0,576"
469,"0,130","0,112","0,238","0,316","0,070","0,208","0,128","0,151","0,030","0,193","0,149","0,639","-0,080","0,122","0,091","0,062","0,013","0,055","0,219","-0,072","-0,571"
470,"0,070","0,170","0,217","0,248","0,038","0,031","0,180","0,008","-0,072","0,890","-0,088","0,106","-0,019","0,126","0,084","0,025","0,155","0,028","0,072","0,079","-0,220"
471,"0,070","0,229","0,199","0,368","-0,094","-0,012","0,119","0,009","-0,067","0,608","-0,166","-0,422","-0,090","0,025","-0,064","0,092","0,113","-0,007","0,106","-0,078","0,180"
472,"0,032","-0,013","-0,176","0,309","-0,082","0,050","0,119","0,069","-0,079","0,366","-0,061","-0,492","-0,077","0,038","0,071","0,077","0,063","0,024","0,184","0,050","0,316"
473,"0,037","0,086","-0,270","0,251","-0,071","0,112","0,240","0,127","-0,100","0,308","0,098","-0,583","0,047","-0,039","0,039","0,033","0,122","-0,022","0,003","-0,058","0,382"
474,"0,033","0,104","-0,212","0,185","-0,152","0,006","0,123","0,200","-0,041","0,560","0,011","-0,732","0,050","-0,007","0,090","0,231","0,113","-0,059","0,277","0,306","0,595"
475,"0,094","0,104","-0,208","0,307","-0,093","-0,010","0,078","0,114","0,165","0,739","0,178","-0,676","-0,024","-0,023","-0,039","0,186","0,080","0,104","0,471","0,351","0,689"
476,"0,203","0,234","0,014","0,494","-0,013","0,092","0,246","0,019","-0,017","0,054","0,161","-0,351","0,050","-0,007","0,090","0,150","0,105","0,007","0,454","0,277","0,522"
477,"0,141","0,117","0,046","0,555","0,047","0,079","0,002","0,081","-0,009","-0,203","0,118","-0,060","0,034","0,064","-0,025","0,180","0,205","-0,055","0,485","0,154","0,239"
478,"0,131","0,229","0,203","0,436","-0,061","0,165","0,185","0,019","-0,012","-0,357","0,228","0,639","-0,030","0,029","-0,071","0,084","0,147","0,043","0,517","0,030","-0,045"
479,"0,070","0,170","0,217","0,436","-0,001","0,154","0,180","0,008","-0,072","-0,009","0,248","1,063","-0,083","0,090","0,039","0,011","-0,013","-0,009","0,299","-0,112","-0,361"
480,"0,137","0,135","0,104","0,253","-0,060","0,172","0,185","0,079","-0,024","-0,001","0,349","0,868","-0,089","0,142","0,007","0,011","-0,013","-0,009","0,038","-0,123","-0,529"
481,"0,150","0,005","-0,111","0,192","-0,060","0,175","0,189","0,151","0,025","0,454","0,080","0,271","-0,019","0,126","0,084","0,120","0,005","0,070","-0,034","-0,170","-0,635"
482,"0,085","-0,035","-0,039","0,312","-0,011","0,099","0,185","0,079","-0,024","0,661","-0,267","-0,224","-0,025","0,177","0,053","0,047","-0,037","0,087","0,001","-0,024","-0,301"
483,"0,214","-0,012","-0,166","0,253","0,000","0,161","0,114","-0,003","-0,127","0,596","0,035","-0,185","-0,020","0,009","0,013","0,077","0,063","0,024","0,083","-0,176","-0,043"
484,"0,208","0,082","-0,067","0,314","-0,001","0,159","0,301","0,007","-0,082","0,229","0,115","-0,177","-0,020","0,009","0,013","0,047","-0,037","0,087","0,094","-0,071","0,044"
485,"0,188","0,189","0,282","0,258","0,021","0,281","0,073","0,103","0,106","0,357","0,110","-0,308","0,047","-0,039","0,039","-0,077","-0,105","0,039","0,253","0,265","0,348"
486,"0,182","0,283","0,381","0,319","0,141","0,257","0,074","-0,017","0,128","0,175","0,162","-0,346","0,168","-0,032","0,026","0,062","0,013","0,055","0,456","0,166","0,571"
487,"0,259","0,136","0,111","0,258","0,081","0,271","0,205","0,005","0,238","0,046","0,250","-0,191","0,110","-0,120","0,013","0,128","-0,029","0,020","0,390","0,087","0,546"
488,"0,266","0,100","-0,006","0,380","0,141","0,255","0,261","-0,007","0,173","-0,097","0,242","0,295","0,053","-0,091","0,070","0,011","-0,013","-0,009","0,314","-0,097","0,434"
489,"0,210","0,198","-0,103","0,562","0,019","0,270","0,134","-0,017","0,123","-0,098","0,189","0,324","-0,019","0,126","0,084","-0,041","0,080","-0,005","0,362","-0,091","0,292"
490,"0,061","0,340","0,356","0,436","-0,001","0,154","0,069","-0,028","0,069","0,031","0,101","0,170","0,101","0,016","0,000","0,062","0,013","0,055","0,287","-0,027","0,138"
491,"0,052","0,201","0,526","0,375","-0,001","0,157","0,069","-0,028","0,069","0,274","0,050","0,210","-0,077","0,038","0,071","0,011","-0,013","-0,009","0,231","0,111","0,151"
