Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1228,"-0,087","-0,932","0,597","-0,100","-0,104","1,009","-0,180","-0,030","0,984","0,071","0,394","0,902","-0,043","-0,036","0,940","-0,430","-0,932","0,129","-0,203","-0,103","1,008"
1229,"-0,086","-0,936","0,609","-0,086","-0,113","1,010","-0,171","0,046","0,968","0,082","0,402","0,907","-0,077","-0,060","0,919","-0,430","-0,929","0,143","-0,192","-0,093","1,000"
1230,"-0,080","-0,920","0,615","-0,073","-0,119","1,003","-0,317","-0,037","0,992","0,092","0,406","0,913","-0,082","-0,044","0,940","-0,427","-0,937","0,149","-0,197","-0,076","0,982"
1231,"-0,081","-0,924","0,622","-0,065","-0,128","0,998","-0,246","0,016","0,954","0,093","0,401","0,915","-0,050","-0,037","0,943","-0,423","-0,928","0,156","-0,229","-0,060","0,991"
1232,"-0,080","-0,920","0,632","-0,057","-0,131","0,990","-0,173","-0,009","0,970","0,092","0,407","0,918","-0,044","-0,040","0,938","-0,417","-0,930","0,159","-0,239","-0,020","1,020"
1233,"-0,078","-0,914","0,634","-0,059","-0,132","0,986","-0,118","-0,007","0,981","0,089","0,401","0,918","-0,032","-0,031","0,941","-0,415","-0,917","0,175","-0,186","-0,010","1,025"
1234,"-0,087","-0,908","0,633","-0,055","-0,142","0,979","-0,120","-0,001","0,993","0,087","0,398","0,924","-0,035","-0,033","0,938","-0,411","-0,911","0,178","-0,122","-0,013","1,005"
1235,"-0,090","-0,905","0,628","-0,063","-0,141","0,979","-0,113","-0,020","0,993","0,078","0,397","0,924","-0,002","-0,022","0,949","-0,407","-0,911","0,180","-0,081","-0,017","1,002"
1236,"-0,090","-0,895","0,625","-0,067","-0,138","0,974","-0,138","-0,042","0,992","0,052","0,392","0,919","-0,003","-0,016","0,952","-0,395","-0,900","0,172","-0,054","-0,011","1,005"
1237,"-0,094","-0,894","0,620","-0,061","-0,136","0,976","-0,104","-0,038","0,985","0,036","0,394","0,921","0,016","-0,019","0,940","-0,369","-0,894","0,160","-0,049","-0,027","1,000"
