Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
80,"0,065","0,088","-0,068","0,162","-0,057","0,050","0,105","0,060","0,126","0,228","0,018","-0,281","0,130","0,005","0,064","0,033","0,009","-0,063","0,653","0,109","0,474"
81,"0,127","0,050","-0,184","0,104","-0,045","0,113","0,188","0,092","0,297","0,289","0,208","-0,314","0,009","-0,003","0,078","0,018","-0,042","-0,032","0,463","0,090","0,447"
82,"0,189","-0,005","-0,358","0,156","-0,021","-0,081","0,174","-0,050","0,200","0,351","0,179","-0,366","-0,006","-0,016","-0,057","-0,026","0,017","-0,077","0,191","0,129","0,267"
83,"0,250","0,052","-0,376","0,152","0,027","-0,153","0,205","-0,035","-0,056","0,116","0,082","-0,804","-0,002","0,016","-0,005","0,040","0,092","-0,043","-0,001","-0,133","-0,121"
84,"0,187","0,087","-0,067","0,095","-0,020","-0,078","0,236","-0,080","-0,302","-0,133","0,145","-0,565","0,070","0,001","0,071","0,003","0,235","-0,069","-0,326","-0,009","-0,264"
85,"0,124","0,103","0,183","0,341","0,109","-0,054","0,243","-0,069","-0,242","0,285","0,135","-0,066","-0,006","-0,016","-0,057","0,047","0,176","-0,024","-0,231","0,149","-0,083"
86,"0,062","0,199","0,280","0,338","0,037","-0,102","0,264","0,144","-0,097","0,231","-0,205","-0,437","-0,006","-0,016","-0,057","0,082","0,150","0,073","-0,222","0,176","-0,029"
87,"0,122","0,101","0,376","0,460","0,156","-0,132","0,212","0,036","-0,008","0,229","-0,230","-0,354","0,059","0,020","-0,012","0,009","0,108","0,089","0,185","-0,004","-0,147"
88,"-0,180","0,220","0,144","0,521","0,095","-0,123","0,182","0,052","-0,257","-0,514","-0,016","0,280","-0,058","0,045","0,053","0,040","0,092","-0,043","0,528","-0,071","-0,310"
89,"0,002","0,180","0,222","0,457","0,024","-0,168","0,182","0,052","-0,257","-0,151","0,179","0,389","-0,123","0,009","0,009","-0,092","0,058","-0,042","0,346","-0,009","-0,309"
90,"0,003","0,183","0,029","0,213","-0,033","-0,144","0,091","0,038","0,007","0,337","0,043","0,402","-0,126","0,093","0,028","0,034","-0,108","-0,133","0,282","0,103","-0,353"
91,"0,065","0,029","-0,050","0,156","0,039","-0,093","0,090","0,158","-0,016","0,217","0,203","0,313","-0,190","0,057","-0,016","-0,069","0,076","-0,123","0,377","-0,039","-0,094"
