Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1961,"0,078","0,060","1,014","0,030","-0,042","1,009","0,115","0,063","1,017","0,022","-0,024","1,047","-0,026","-0,043","0,953","0,042","-0,034","0,956","0,093","0,103","1,036"
1962,"0,079","0,054","1,008","0,017","-0,045","1,010","0,131","0,071","1,033","0,045","-0,030","1,066","-0,039","-0,036","0,946","0,047","-0,042","0,958","0,096","0,118","1,050"
1963,"0,075","0,053","1,020","0,004","-0,043","1,015","0,123","0,072","1,038","0,063","-0,053","1,096","-0,025","-0,037","0,944","0,053","-0,040","0,956","0,115","0,127","1,058"
1964,"0,074","0,050","1,036","0,000","-0,044","1,014","0,127","0,068","1,022","0,045","-0,050","1,082","-0,033","-0,034","0,950","0,048","-0,035","0,957","0,135","0,148","1,047"
1965,"0,067","0,042","1,022","0,000","-0,045","1,009","0,124","0,068","1,022","0,011","-0,044","1,048","-0,039","-0,030","0,954","0,039","-0,042","0,956","0,150","0,142","1,043"
1966,"0,054","0,037","1,019","0,007","-0,045","1,005","0,118","0,067","1,016","-0,010","-0,044","1,041","-0,036","-0,032","0,948","0,041","-0,040","0,955","0,159","0,125","1,021"
1967,"0,045","0,030","1,021","0,008","-0,050","1,001","0,104","0,078","1,005","-0,024","-0,044","1,043","-0,041","-0,027","0,946","0,039","-0,039","0,957","0,149","0,111","1,012"
1968,"0,038","0,032","1,022","0,011","-0,050","1,000","0,084","0,083","1,000","-0,037","-0,048","1,047","-0,051","-0,028","0,945","0,032","-0,036","0,960","0,127","0,105","1,000"
1969,"0,029","0,028","1,033","0,016","-0,049","0,999","0,068","0,092","0,990","-0,043","-0,041","1,045","-0,047","-0,029","0,941","0,030","-0,038","0,955","0,102","0,102","0,985"
1970,"0,033","0,037","1,021","0,023","-0,047","0,999","0,058","0,097","0,988","-0,037","-0,043","1,052","-0,043","-0,036","0,936","0,040","-0,042","0,958","0,077","0,112","1,010"
1971,"0,035","0,029","1,022","0,020","-0,047","0,994","0,053","0,104","0,982","-0,023","-0,038","1,059","-0,038","-0,021","0,947","0,041","-0,036","0,959","0,053","0,108","1,026"
1972,"0,036","0,038","1,027","0,013","-0,057","0,993","0,052","0,103","0,988","-0,011","-0,030","1,062","-0,040","-0,028","0,937","0,035","-0,037","0,956","0,050","0,105","1,025"
1973,"0,033","0,028","1,031","0,006","-0,054","0,990","0,057","0,100","0,987","-0,022","-0,024","1,061","-0,038","-0,027","0,943","0,046","-0,044","0,950","0,047","0,092","1,020"
1974,"0,021","0,044","1,030","0,004","-0,055","0,992","0,051","0,094","0,986","-0,027","-0,028","1,062","-0,034","-0,023","0,940","0,038","-0,037","0,960","0,042","0,088","1,019"
1975,"0,022","0,040","1,020","-0,005","-0,048","0,994","0,043","0,079","0,992","-0,041","-0,033","1,051","-0,039","-0,018","0,946","0,043","-0,043","0,954","0,038","0,075","1,028"
1976,"0,008","0,037","1,016","-0,009","-0,045","0,995","0,038","0,075","1,000","-0,050","-0,028","1,034","-0,036","-0,026","0,943","0,029","-0,037","0,965","0,038","0,058","1,030"
1977,"0,011","0,031","1,016","-0,011","-0,045","1,003","0,037","0,061","1,006","-0,057","-0,020","1,028","-0,038","-0,018","0,947","0,020","-0,042","0,957","0,039","0,053","1,035"
1978,"0,006","0,037","1,017","-0,017","-0,043","1,007","0,049","0,059","1,001","-0,060","-0,025","1,045","-0,039","-0,017","0,941","0,048","-0,046","0,949","0,058","0,048","1,020"
1979,"0,012","0,041","1,026","-0,015","-0,037","1,000","0,042","0,049","1,002","-0,058","-0,029","1,062","-0,029","-0,016","0,945","0,037","-0,037","0,957","0,060","0,029","1,017"
1980,"0,002","0,033","1,019","-0,021","-0,041","1,000","0,040","0,045","1,003","-0,056","-0,028","1,064","-0,032","-0,011","0,950","0,038","-0,043","0,953","0,062","0,027","1,016"
1981,"0,004","0,041","1,023","-0,018","-0,032","1,000","0,044","0,049","1,006","-0,057","-0,026","1,063","-0,027","-0,016","0,949","0,031","-0,032","0,959","0,074","0,025","1,015"
1982,"-0,004","0,031","1,028","-0,021","-0,041","1,005","0,052","0,044","1,005","-0,057","-0,024","1,068","-0,022","-0,016","0,947","0,028","-0,034","0,961","0,085","0,023","1,003"
1983,"-0,015","0,028","1,030","-0,021","-0,038","1,003","0,044","0,048","1,003","-0,064","-0,022","1,061","-0,021","-0,009","0,947","0,036","-0,037","0,955","0,080","0,017","1,004"
1984,"-0,022","0,028","1,031","-0,021","-0,037","1,000","0,027","0,047","1,001","-0,074","-0,019","1,044","-0,026","-0,010","0,946","0,032","-0,038","0,959","0,059","0,030","1,012"
1985,"-0,032","0,023","1,020","-0,023","-0,034","1,001","0,013","0,054","1,000","-0,088","-0,014","1,042","-0,024","-0,012","0,943","0,028","-0,046","0,956","0,032","0,029","1,035"
1986,"-0,031","0,034","1,019","-0,023","-0,038","1,000","0,007","0,067","1,000","-0,093","-0,018","1,039","-0,028","-0,014","0,939","0,020","-0,042","0,959","0,015","0,025","1,035"
1987,"-0,031","0,015","1,022","-0,031","-0,032","1,002","0,001","0,071","0,997","-0,100","-0,024","1,038","-0,032","-0,012","0,947","0,036","-0,042","0,958","0,006","0,042","1,029"
1988,"-0,027","0,026","1,019","-0,036","-0,037","0,998","0,000","0,070","0,995","-0,089","-0,018","1,038","-0,027","-0,011","0,940","0,018","-0,041","0,961","0,006","0,043","1,031"
1989,"-0,030","0,033","1,018","-0,036","-0,038","0,998","-0,002","0,068","0,993","-0,074","-0,022","1,054","-0,030","-0,010","0,945","0,032","-0,044","0,959","0,014","0,049","1,030"
1990,"-0,022","0,035","1,014","-0,042","-0,037","0,997","-0,001","0,073","0,999","-0,061","-0,019","1,054","-0,030","-0,009","0,940","0,029","-0,042","0,957","0,029","0,046","1,021"
1991,"-0,021","0,039","1,022","-0,040","-0,031","0,995","-0,008","0,063","0,998","-0,054","-0,004","1,055","-0,030","-0,008","0,946","0,016","-0,048","0,954","0,041","0,038","1,018"
1992,"-0,025","0,026","1,024","-0,034","-0,032","0,992","-0,010","0,069","1,000","-0,058","0,000","1,049","-0,027","-0,005","0,948","0,034","-0,044","0,956","0,050","0,033","1,011"
1993,"-0,030","0,027","1,022","-0,026","-0,034","0,997","-0,008","0,058","1,002","-0,068","-0,003","1,043","-0,031","-0,003","0,945","0,041","-0,045","0,962","0,046","0,028","1,011"
1994,"-0,027","0,033","1,020","-0,026","-0,027","0,997","0,009","0,047","1,000","-0,073","-0,010","1,043","-0,026","-0,013","0,942","0,038","-0,046","0,950","0,041","0,023","1,008"
1995,"-0,031","0,032","1,028","-0,022","-0,028","1,002","0,001","0,043","1,002","-0,087","-0,003","1,049","-0,017","-0,009","0,943","0,029","-0,039","0,957","0,035","0,014","1,003"
1996,"-0,035","0,024","1,025","-0,021","-0,020","1,000","-0,007","0,039","1,008","-0,092","-0,005","1,056","-0,024","-0,010","0,943","0,039","-0,048","0,953","0,031","0,010","1,020"
1997,"-0,049","0,027","1,015","-0,017","-0,014","1,000","-0,021","0,035","1,014","-0,094","0,000","1,053","-0,020","-0,003","0,942","0,016","-0,038","0,958","0,024","0,001","1,027"
1998,"-0,065","0,031","1,018","-0,017","-0,015","1,008","-0,021","0,048","1,007","-0,101","-0,006","1,045","-0,028","-0,011","0,944","0,040","-0,044","0,955","0,019","0,003","1,021"
1999,"-0,060","0,025","1,012","-0,017","-0,017","1,005","-0,022","0,048","1,002","-0,117","-0,001","1,035","-0,028","-0,006","0,941","0,018","-0,045","0,953","0,003","0,001","1,029"
2000,"-0,059","0,026","1,024","-0,017","-0,020","1,002","-0,015","0,056","0,994","-0,117","-0,007","1,039","-0,027","-0,005","0,947","0,009","-0,045","0,952","-0,010","0,006","1,028"
2001,"-0,052","0,027","1,022","-0,018","-0,019","1,002","-0,023","0,056","0,996","-0,116","0,005","1,038","-0,029","-0,007","0,943","0,035","-0,040","0,964","-0,006","0,016","1,021"
2002,"-0,054","0,033","1,025","-0,016","-0,021","1,000","-0,028","0,064","0,998","-0,111","0,002","1,034","-0,031","-0,005","0,942","0,029","-0,039","0,957","-0,003","0,016","1,027"
2003,"-0,052","0,030","1,019","-0,018","-0,017","1,004","-0,026","0,053","0,998","-0,102","0,001","1,045","-0,030","-0,011","0,938","0,024","-0,044","0,963","0,014","0,026","1,021"
2004,"-0,054","0,028","1,019","-0,020","-0,019","1,001","-0,015","0,055","0,996","-0,083","0,000","1,050","-0,026","-0,009","0,942","0,030","-0,043","0,958","0,022","0,028","1,000"
2005,"-0,051","0,040","1,028","-0,017","-0,020","1,004","-0,012","0,041","1,000","-0,075","0,002","1,056","-0,020","-0,007","0,945","0,043","-0,039","0,964","0,025","0,019","0,994"
2006,"-0,050","0,029","1,017","-0,015","-0,016","1,003","-0,028","0,046","1,003","-0,071","0,000","1,069","-0,023","-0,009","0,938","0,035","-0,045","0,951","0,023","0,010","1,005"
