Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
224,"-0,040","0,163","0,023","0,354","-0,086","-0,244","-0,114","0,184","-0,017","0,189","-0,057","0,044","0,096","-0,043","0,004","0,105","-0,049","-0,033","0,208","-0,257","-0,006"
225,"-0,044","0,094","0,020","0,318","-0,077","-0,246","-0,043","0,184","-0,022","0,156","-0,031","0,047","0,159","-0,068","0,006","0,096","-0,050","-0,034","0,211","-0,235","-0,002"
226,"-0,058","0,092","0,016","0,345","-0,096","-0,248","-0,104","0,177","-0,025","0,181","0,022","0,049","0,091","-0,091","0,009","0,053","-0,063","-0,034","0,211","-0,237","0,001"
227,"-0,054","0,121","0,016","0,324","-0,069","-0,250","-0,059","0,124","-0,027","0,197","-0,023","0,050","0,139","-0,044","0,011","0,008","-0,106","-0,035","0,211","-0,180","0,002"
228,"-0,002","0,157","0,017","0,291","-0,062","-0,252","-0,054","0,081","-0,027","0,183","-0,061","0,052","0,141","-0,048","0,014","0,064","-0,137","-0,039","0,156","-0,151","0,000"
229,"-0,027","0,197","0,019","0,326","-0,063","-0,251","-0,002","0,112","-0,029","0,226","-0,095","0,052","0,158","-0,079","0,014","0,063","-0,131","-0,040","0,209","-0,183","0,000"
230,"-0,006","0,209","0,020","0,296","-0,048","-0,252","0,003","0,111","-0,034","0,190","-0,144","0,051","0,157","-0,080","0,014","0,122","-0,124","-0,039","0,151","-0,173","0,006"
231,"0,006","0,208","0,017","0,265","-0,057","-0,252","0,005","0,089","-0,042","0,172","-0,169","0,051","0,191","-0,102","0,017","0,085","-0,087","-0,037","0,092","-0,172","0,012"
232,"-0,005","0,182","0,018","0,300","-0,058","-0,251","0,034","0,060","-0,050","0,177","-0,170","0,049","0,159","-0,040","0,020","0,101","-0,093","-0,033","0,170","-0,176","0,016"
233,"-0,002","0,188","0,023","0,290","-0,090","-0,249","0,084","0,084","-0,055","0,201","-0,130","0,043","0,154","-0,102","0,023","0,046","-0,083","-0,030","0,199","-0,201","0,017"
234,"-0,059","0,172","0,030","0,324","-0,097","-0,250","0,058","0,044","-0,059","0,212","-0,100","0,036","0,123","-0,058","0,026","-0,005","-0,062","-0,031","0,244","-0,176","0,020"
235,"-0,067","0,167","0,039","0,288","-0,098","-0,251","0,093","0,036","-0,060","0,190","-0,065","0,030","0,133","-0,050","0,028","-0,052","-0,066","-0,033","0,218","-0,146","0,020"
236,"-0,093","0,107","0,040","0,310","-0,073","-0,250","0,094","0,031","-0,058","0,206","-0,056","0,030","0,136","-0,057","0,024","-0,040","-0,040","-0,034","0,273","-0,105","0,022"
237,"-0,037","0,072","0,040","0,343","-0,086","-0,249","0,110","0,041","-0,058","0,262","-0,014","0,032","0,156","-0,085","0,019","0,029","-0,031","-0,035","0,338","-0,097","0,026"
238,"-0,032","0,067","0,036","0,312","-0,104","-0,249","0,112","0,051","-0,063","0,202","0,009","0,036","0,154","-0,093","0,016","0,098","-0,024","-0,035","0,345","-0,128","0,035"
239,"-0,001","0,080","0,034","0,296","-0,074","-0,249","0,095","0,049","-0,071","0,190","-0,056","0,040","0,135","-0,097","0,016","0,124","-0,037","-0,036","0,327","-0,126","0,042"
240,"0,042","0,094","0,031","0,264","-0,089","-0,248","0,130","0,051","-0,078","0,171","-0,072","0,044","0,158","-0,104","0,018","0,178","-0,042","-0,037","0,309","-0,171","0,047"
241,"0,084","0,123","0,028","0,236","-0,072","-0,247","0,131","0,040","-0,082","0,154","-0,121","0,049","0,160","-0,107","0,021","0,195","-0,071","-0,037","0,249","-0,157","0,046"
242,"0,109","0,123","0,027","0,204","-0,082","-0,246","0,165","0,074","-0,080","0,136","-0,142","0,052","0,177","-0,078","0,024","0,223","-0,070","-0,036","0,216","-0,202","0,040"
243,"0,112","0,054","0,025","0,170","-0,078","-0,246","0,210","0,053","-0,073","0,100","-0,111","0,053","0,243","-0,086","0,025","0,203","-0,012","-0,035","0,194","-0,169","0,033"
