Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
1891,"-0,776","-1,348","-1,118","-0,330","-0,080","-0,640","1,085","0,941","0,492","0,754","0,082","-1,382","-0,136","1,683","0,945","0,071","-0,114","0,215","0,074","-0,644","-1,917"
1892,"-1,937","-1,610","-1,150","-0,204","0,111","-0,636","1,048","0,847","-0,112","0,802","-0,185","-1,867","0,564","0,768","0,772","-0,631","-1,379","0,278","-0,005","-0,718","-2,151"
1893,"-1,815","-1,051","0,723","-0,204","0,405","-0,716","0,969","0,830","-0,418","0,579","0,245","-1,045","1,309","0,399","0,084","-1,228","-2,107","0,724","0,060","-0,688","-2,104"
1894,"-3,341","-0,891","2,355","0,161","0,752","-0,833","0,863","0,883","-1,183","1,147","0,331","-0,077","0,876","0,670","-0,433","-1,930","-3,775","1,313","0,389","-0,692","-1,770"
1895,"-2,852","-0,296","3,630","0,226","0,885","-0,810","0,544","1,003","-1,447","1,041","0,569","0,579","0,140","1,653","-0,595","-2,339","-5,643","1,634","0,481","-0,761","-1,304"
1896,"-2,239","0,260","4,270","0,598","0,969","-0,730","0,540","0,811","-1,459","1,236","0,783","1,094","-0,668","2,377","-0,360","-2,716","-6,332","2,238","0,615","-0,616","-1,190"
1897,"-2,360","0,481","4,513","0,846","0,922","-0,670","0,384","0,862","-1,021","1,260","1,031","2,187","-1,089","2,117","0,209","-3,133","-7,723","2,359","0,882","-0,567","-0,884"
1898,"-2,051","1,370","5,875","0,800","0,987","-0,431","0,013","1,040","-0,097","1,043","1,253","3,455","-0,441","1,230","0,755","-3,189","-8,717","2,777","0,979","-0,260","-0,507"
1899,"-1,740","2,816","8,396","0,739","0,693","-0,348","-0,151","0,943","0,255","1,117","1,419","4,008","0,035","-0,254","0,535","-4,409","-9,741","2,510","0,867","-0,244","-0,363"
1900,"-1,799","3,934","11,428","0,325","0,571","-0,099","-0,303","0,891","0,783","1,136","1,861","4,740","0,218","-0,972","0,192","-5,140","-11,544","2,888","0,753","-0,073","-0,315"
1901,"-1,978","5,414","14,912","-0,341","0,362","0,064","-0,418","0,806","0,938","1,272","2,360","5,131","-0,233","-0,299","0,290","-6,298","-14,016","2,322","0,619","0,074","-0,538"
1902,"-2,037","6,222","17,279","-0,816","0,241","0,317","-0,543","0,556","0,948","0,933","2,932","6,155","-0,747","0,658","0,496","-7,246","-15,131","1,934","0,480","0,240","-0,845"
1903,"-1,670","6,565","17,867","-0,915","0,221","0,709","-0,737","0,336","0,828","0,239","3,840","7,549","-1,336","0,799","0,810","-7,584","-15,432","1,342","0,419","0,637","-1,014"
