Index,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
79,"0,045","-0,052","0,123","0,261","-0,051","0,013","0,029","0,078","-0,087","0,198","-0,025","0,149","-0,154","0,054","0,057","-0,218","-0,016","0,121","-0,015","0,333","0,013"
80,"0,047","-0,015","0,239","0,322","0,085","0,119","-0,028","0,033","-0,010","-0,090","-0,006","0,033","0,031","-0,024","0,033","-0,112","0,021","0,024","-0,055","0,115","-0,039"
81,"0,107","0,024","0,161","0,322","0,145","0,112","0,093","0,092","-0,031","-0,245","0,023","0,198","0,142","-0,051","-0,110","0,145","-0,013","0,024","0,025","0,085","0,023"
82,"0,226","-0,013","0,043","0,322","0,244","-0,085","0,222","0,118","0,080","-0,711","0,067","0,046","0,316","0,214","-0,103","0,202","-0,022","0,044","-0,117","-0,114","0,109"
83,"0,042","-0,089","0,007","0,078","0,191","-0,016","0,033","0,092","-0,028","-0,213","0,112","0,099","0,263","0,079","-0,067","0,345","-0,037","0,004","0,069","-0,068","0,131"
84,"0,100","-0,010","-0,148","0,139","0,077","0,059","0,033","0,033","-0,014","-0,137","0,239","0,125","0,263","0,079","-0,067","0,442","0,042","-0,050","-0,061","-0,029","0,138"
85,"-0,023","0,030","-0,222","0,079","-0,104","0,081","0,037","0,046","0,045","-0,077","0,337","-0,106","0,321","0,168","-0,064","0,406","0,095","-0,108","-0,229","0,012","-0,044"
86,"0,098","0,069","-0,301","0,139","0,017","0,066","0,048","-0,032","0,250","0,023","0,395","-0,248","0,213","0,108","0,071","0,394","0,010","-0,114","-0,102","0,049","-0,011"
87,"0,038","0,029","-0,223","0,261","0,077","0,059","0,044","0,133","0,150","0,094","0,443","-0,257","0,150","0,067","0,030","0,513","-0,191","0,014","0,037","0,028","0,040"
88,"0,101","0,124","-0,127","0,200","0,077","0,059","-0,014","0,147","0,213","-0,001","0,283","-0,206","0,092","-0,022","0,027","0,118","-0,001","-0,078","-0,002","-0,020","0,126"
