Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
204,"0,202","-0,240","0,018","-0,549","-0,096","-0,248","-0,052","-0,073","-0,035","-0,173","0,058","-0,106","-0,455","0,060","0,048","-0,212","0,259","0,059","-0,104","-0,051","0,048"
205,"0,196","-0,211","0,019","-0,551","-0,062","-0,247","-0,059","-0,140","-0,038","-0,149","0,006","-0,105","-0,460","0,130","0,046","-0,279","0,246","0,059","-0,111","0,016","0,052"
206,"0,143","-0,245","0,024","-0,540","-0,094","-0,246","-0,036","-0,147","-0,039","-0,157","0,065","-0,111","-0,412","0,080","0,045","-0,339","0,275","0,062","-0,099","0,019","0,054"
207,"0,111","-0,232","0,027","-0,504","-0,096","-0,245","-0,017","-0,140","-0,044","-0,123","0,033","-0,117","-0,414","0,083","0,046","-0,382","0,326","0,066","-0,068","-0,018","0,057"
208,"0,124","-0,297","0,030","-0,500","-0,129","-0,244","-0,020","-0,108","-0,049","-0,102","0,097","-0,123","-0,448","0,104","0,048","-0,386","0,325","0,071","-0,034","-0,070","0,060"
209,"0,087","-0,296","0,029","-0,529","-0,147","-0,244","0,003","-0,101","-0,050","-0,151","0,143","-0,127","-0,430","0,165","0,051","-0,371","0,283","0,076","-0,060","-0,122","0,058"
210,"0,159","-0,313","0,030","-0,563","-0,137","-0,243","0,004","-0,112","-0,051","-0,147","0,146","-0,127","-0,479","0,154","0,056","-0,305","0,269","0,076","-0,062","-0,119","0,053"
211,"0,151","-0,305","0,030","-0,531","-0,129","-0,242","-0,006","-0,111","-0,049","-0,132","0,165","-0,124","-0,509","0,117","0,058","-0,264","0,219","0,073","-0,045","-0,080","0,048"
212,"0,195","-0,312","0,028","-0,556","-0,156","-0,242","-0,008","-0,117","-0,045","-0,140","0,223","-0,118","-0,506","0,092","0,057","-0,268","0,210","0,070","-0,041","-0,087","0,044"
213,"0,227","-0,364","0,026","-0,540","-0,128","-0,242","-0,010","-0,121","-0,040","-0,122","0,229","-0,112","-0,562","0,057","0,054","-0,229","0,194","0,067","0,001","-0,038","0,042"
214,"0,236","-0,312","0,017","-0,511","-0,141","-0,242","-0,044","-0,098","-0,037","-0,069","0,221","-0,104","-0,579","0,054","0,051","-0,212","0,170","0,066","0,000","-0,040","0,042"
215,"0,233","-0,277","0,008","-0,516","-0,108","-0,243","-0,054","-0,062","-0,037","-0,049","0,172","-0,095","-0,586","0,072","0,049","-0,206","0,161","0,067","0,017","-0,037","0,044"
216,"0,233","-0,285","0,003","-0,513","-0,143","-0,243","-0,052","-0,079","-0,041","-0,021","0,194","-0,092","-0,551","0,112","0,049","-0,238","0,147","0,069","-0,014","-0,063","0,049"
217,"0,180","-0,240","0,002","-0,491","-0,168","-0,243","-0,118","-0,094","-0,044","-0,024","0,190","-0,090","-0,580","0,093","0,047","-0,267","0,163","0,069","-0,027","-0,087","0,052"
218,"0,152","-0,244","0,003","-0,526","-0,158","-0,242","-0,120","-0,103","-0,044","-0,080","0,152","-0,089","-0,537","0,076","0,048","-0,287","0,163","0,068","-0,096","-0,085","0,050"
219,"0,142","-0,271","0,007","-0,528","-0,124","-0,240","-0,088","-0,069","-0,043","-0,117","0,121","-0,090","-0,545","0,010","0,048","-0,281","0,216","0,067","-0,065","-0,052","0,049"
220,"0,143","-0,286","0,008","-0,549","-0,097","-0,238","-0,083","-0,078","-0,041","-0,106","0,113","-0,091","-0,593","0,059","0,045","-0,343","0,227","0,069","-0,056","-0,039","0,048"
221,"0,159","-0,305","0,010","-0,524","-0,118","-0,237","-0,067","-0,093","-0,040","-0,100","0,161","-0,094","-0,561","0,079","0,044","-0,278","0,235","0,069","-0,046","-0,030","0,047"
222,"0,158","-0,304","0,009","-0,519","-0,086","-0,236","-0,021","-0,078","-0,039","-0,126","0,144","-0,094","-0,551","0,082","0,042","-0,281","0,227","0,070","-0,014","0,017","0,045"
