Index,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1279,"0,158","0,051","1,013","0,073","-0,013","1,008","0,117","-0,948","0,391","0,118","0,094","1,034","0,445","-0,954","-0,006","0,025","0,010","0,952","-0,061","0,465","0,886"
1280,"0,162","0,045","1,016","0,068","-0,020","1,012","0,113","-0,943","0,392","0,131","0,104","1,035","0,438","-0,949","-0,009","0,040","0,011","0,960","-0,055","0,458","0,879"
1281,"0,153","0,050","1,014","0,061","-0,015","1,012","0,117","-0,948","0,391","0,149","0,087","1,040","0,441","-0,954","-0,009","0,031","0,012","0,957","-0,057","0,454","0,886"
1282,"0,148","0,051","1,017","0,055","-0,015","1,009","0,122","-0,940","0,388","0,144","0,096","1,052","0,443","-0,953","-0,007","0,019","0,017","0,959","-0,055","0,452","0,881"
1283,"0,138","0,057","1,025","0,051","-0,023","1,010","0,123","-0,948","0,387","0,142","0,093","1,054","0,445","-0,952","-0,006","0,023","0,018","0,960","-0,055","0,453","0,888"
1284,"0,153","0,046","1,026","0,061","-0,023","1,014","0,123","-0,946","0,389","0,139","0,087","1,052","0,446","-0,946","-0,007","0,022","0,008","0,949","-0,060","0,457","0,888"
1285,"0,162","0,034","1,018","0,058","-0,016","1,014","0,119","-0,952","0,392","0,140","0,086","1,044","0,451","-0,948","-0,005","0,032","0,017","0,962","-0,067","0,457","0,888"
1286,"0,166","0,044","1,019","0,065","-0,016","1,019","0,124","-0,948","0,392","0,156","0,083","1,043","0,455","-0,950","0,002","0,021","0,012","0,951","-0,080","0,458","0,889"
1287,"0,165","0,040","1,022","0,064","-0,018","1,014","0,115","-0,948","0,393","0,158","0,083","1,046","0,464","-0,946","0,004","0,028","0,007","0,958","-0,088","0,459","0,896"
1288,"0,165","0,046","1,013","0,068","-0,018","1,017","0,115","-0,945","0,392","0,156","0,082","1,040","0,467","-0,940","0,003","0,035","0,004","0,957","-0,097","0,456","0,893"
1289,"0,171","0,055","1,007","0,066","-0,024","1,014","0,116","-0,949","0,390","0,156","0,077","1,035","0,465","-0,941","0,003","0,037","0,009","0,964","-0,099","0,453","0,897"
1290,"0,187","0,062","1,003","0,067","-0,016","1,013","0,114","-0,943","0,394","0,170","0,085","1,037","0,464","-0,935","0,007","0,050","0,003","0,960","-0,098","0,453","0,892"
1291,"0,205","0,067","1,008","0,067","-0,023","1,012","0,119","-0,939","0,390","0,177","0,085","1,036","0,455","-0,937","0,010","0,063","0,003","0,965","-0,096","0,453","0,886"
1292,"0,207","0,057","1,007","0,068","-0,022","1,002","0,126","-0,936","0,396","0,183","0,085","1,041","0,454","-0,926","0,013","0,047","0,008","0,956","-0,088","0,453","0,887"
1293,"0,171","0,046","1,013","0,065","-0,026","1,004","0,125","-0,932","0,389","0,179","0,084","1,042","0,452","-0,912","0,013","0,044","0,005","0,961","-0,075","0,456","0,884"
1294,"0,150","0,051","1,007","0,060","-0,027","1,001","0,134","-0,930","0,392","0,161","0,096","1,045","0,454","-0,910","0,016","0,040","0,011","0,958","-0,064","0,458","0,882"
1295,"0,150","0,054","1,014","0,068","-0,030","1,002","0,139","-0,924","0,390","0,143","0,097","1,044","0,463","-0,904","0,023","0,033","0,011","0,960","-0,060","0,448","0,891"
1296,"0,167","0,058","1,019","0,065","-0,029","1,002","0,140","-0,928","0,389","0,139","0,093","1,039","0,471","-0,902","0,021","0,035","0,009","0,948","-0,056","0,454","0,881"
1297,"0,174","0,056","1,011","0,068","-0,025","1,003","0,138","-0,929","0,391","0,139","0,095","1,035","0,468","-0,891","0,027","0,039","0,009","0,961","-0,061","0,454","0,884"
