Index,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
1451,"0,998","-0,017","-0,054","-0,027","0,999","-0,028","-0,022","-0,022","0,856","-0,503","-0,009","-0,117","0,999","-0,016","-0,040","0,010","0,750","-0,626","-0,184","-0,108","0,999","-0,026","-0,010","-0,015","0,979","0,202","0,009","-0,019"
1452,"0,998","-0,017","-0,053","-0,028","0,999","-0,028","-0,022","-0,022","0,857","-0,503","-0,008","-0,117","0,999","-0,016","-0,039","0,010","0,750","-0,626","-0,184","-0,108","1,000","-0,026","-0,009","-0,015","0,979","0,203","0,010","-0,019"
1453,"0,998","-0,017","-0,053","-0,028","0,999","-0,028","-0,023","-0,022","0,857","-0,503","-0,008","-0,117","0,999","-0,016","-0,039","0,010","0,750","-0,626","-0,183","-0,108","1,000","-0,026","-0,009","-0,016","0,979","0,203","0,009","-0,018"
1454,"0,998","-0,017","-0,053","-0,028","0,999","-0,029","-0,023","-0,022","0,856","-0,503","-0,008","-0,117","0,999","-0,016","-0,039","0,010","0,750","-0,626","-0,183","-0,108","1,000","-0,025","-0,008","-0,016","0,979","0,203","0,009","-0,018"
1455,"0,998","-0,017","-0,053","-0,028","0,999","-0,029","-0,023","-0,023","0,856","-0,503","-0,008","-0,117","0,999","-0,016","-0,039","0,010","0,750","-0,626","-0,183","-0,108","1,000","-0,025","-0,008","-0,016","0,979","0,203","0,009","-0,018"
1456,"0,998","-0,017","-0,052","-0,028","0,999","-0,028","-0,023","-0,023","0,856","-0,503","-0,008","-0,117","0,999","-0,016","-0,038","0,010","0,750","-0,626","-0,183","-0,108","1,000","-0,025","-0,008","-0,016","0,979","0,203","0,008","-0,017"
1457,"0,998","-0,018","-0,052","-0,028","0,999","-0,028","-0,024","-0,023","0,856","-0,503","-0,008","-0,117","0,999","-0,016","-0,038","0,010","0,750","-0,626","-0,183","-0,108","1,000","-0,025","-0,008","-0,016","0,979","0,204","0,008","-0,018"
1458,"0,998","-0,018","-0,052","-0,027","0,999","-0,028","-0,024","-0,023","0,856","-0,503","-0,008","-0,117","0,999","-0,017","-0,038","0,010","0,750","-0,627","-0,183","-0,109","1,000","-0,025","-0,009","-0,016","0,979","0,204","0,008","-0,018"
1459,"0,998","-0,018","-0,052","-0,027","0,999","-0,028","-0,024","-0,023","0,856","-0,503","-0,008","-0,118","0,999","-0,017","-0,038","0,010","0,750","-0,627","-0,183","-0,109","1,000","-0,025","-0,009","-0,015","0,979","0,204","0,007","-0,018"
1460,"0,998","-0,019","-0,052","-0,026","0,999","-0,027","-0,024","-0,023","0,856","-0,503","-0,008","-0,118","0,999","-0,017","-0,038","0,011","0,750","-0,627","-0,183","-0,109","1,000","-0,026","-0,009","-0,015","0,979","0,204","0,007","-0,019"
1461,"0,998","-0,019","-0,051","-0,025","0,999","-0,027","-0,023","-0,023","0,856","-0,504","-0,008","-0,118","0,999","-0,017","-0,037","0,011","0,749","-0,627","-0,183","-0,110","0,999","-0,026","-0,010","-0,015","0,979","0,204","0,007","-0,020"
1462,"0,998","-0,019","-0,051","-0,023","0,999","-0,027","-0,024","-0,023","0,856","-0,504","-0,008","-0,119","0,999","-0,016","-0,037","0,011","0,749","-0,627","-0,183","-0,110","0,999","-0,027","-0,011","-0,015","0,979","0,204","0,007","-0,020"
1463,"0,998","-0,019","-0,050","-0,021","0,999","-0,027","-0,024","-0,023","0,856","-0,504","-0,007","-0,119","0,999","-0,016","-0,036","0,011","0,749","-0,627","-0,183","-0,110","0,999","-0,028","-0,013","-0,015","0,979","0,204","0,008","-0,021"
1464,"0,998","-0,019","-0,050","-0,020","0,999","-0,027","-0,024","-0,023","0,856","-0,504","-0,007","-0,119","0,999","-0,017","-0,036","0,012","0,749","-0,627","-0,183","-0,111","0,999","-0,028","-0,014","-0,015","0,979","0,203","0,008","-0,022"
1465,"0,998","-0,019","-0,050","-0,020","0,999","-0,026","-0,024","-0,023","0,856","-0,504","-0,007","-0,119","0,999","-0,017","-0,036","0,013","0,749","-0,627","-0,183","-0,111","0,999","-0,029","-0,015","-0,015","0,979","0,203","0,008","-0,022"
1466,"0,998","-0,019","-0,051","-0,020","0,999","-0,026","-0,024","-0,023","0,856","-0,504","-0,007","-0,119","0,999","-0,017","-0,037","0,013","0,749","-0,627","-0,183","-0,111","0,999","-0,029","-0,015","-0,015","0,979","0,203","0,009","-0,022"
1467,"0,998","-0,019","-0,051","-0,021","0,999","-0,026","-0,024","-0,022","0,856","-0,503","-0,006","-0,118","0,999","-0,017","-0,037","0,014","0,749","-0,627","-0,183","-0,111","0,999","-0,029","-0,016","-0,015","0,979","0,203","0,009","-0,022"
1468,"0,998","-0,019","-0,050","-0,020","0,999","-0,026","-0,023","-0,022","0,856","-0,503","-0,006","-0,118","0,999","-0,017","-0,037","0,014","0,749","-0,627","-0,183","-0,111","0,999","-0,029","-0,016","-0,015","0,979","0,203","0,010","-0,021"
1469,"0,998","-0,018","-0,050","-0,020","0,999","-0,027","-0,024","-0,022","0,856","-0,503","-0,007","-0,118","0,999","-0,016","-0,037","0,014","0,749","-0,627","-0,184","-0,110","0,999","-0,029","-0,016","-0,015","0,979","0,203","0,010","-0,021"
1470,"0,998","-0,018","-0,050","-0,019","0,999","-0,027","-0,024","-0,022","0,856","-0,503","-0,007","-0,118","0,999","-0,016","-0,037","0,014","0,749","-0,626","-0,184","-0,110","0,999","-0,029","-0,017","-0,015","0,979","0,203","0,010","-0,020"
1471,"0,998","-0,018","-0,050","-0,019","0,999","-0,027","-0,024","-0,022","0,856","-0,503","-0,007","-0,118","0,999","-0,016","-0,036","0,014","0,749","-0,626","-0,184","-0,110","0,999","-0,030","-0,017","-0,015","0,979","0,203","0,010","-0,019"
1472,"0,998","-0,018","-0,051","-0,019","0,999","-0,027","-0,025","-0,021","0,856","-0,503","-0,007","-0,118","0,999","-0,016","-0,036","0,014","0,749","-0,626","-0,184","-0,110","0,999","-0,030","-0,017","-0,015","0,979","0,203","0,010","-0,019"
1473,"0,998","-0,018","-0,051","-0,020","0,999","-0,027","-0,025","-0,021","0,856","-0,503","-0,008","-0,117","0,999","-0,016","-0,036","0,014","0,749","-0,626","-0,185","-0,110","0,999","-0,030","-0,017","-0,015","0,979","0,203","0,010","-0,018"
1474,"0,998","-0,017","-0,051","-0,020","0,999","-0,027","-0,025","-0,021","0,856","-0,503","-0,008","-0,117","0,999","-0,017","-0,036","0,014","0,750","-0,626","-0,185","-0,110","0,999","-0,030","-0,017","-0,015","0,979","0,203","0,010","-0,018"
