Index,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
63,"-0,075","-0,407","0,032","-0,202","0,101","-0,274","-0,129","0,273","0,003","-0,083","-0,173","0,005","-0,368","-0,041","-0,018","-0,244","0,432","-0,057","0,065","-0,082","0,013"
64,"-0,211","-0,075","0,030","-0,011","-0,182","-0,274","0,040","0,048","0,013","-0,227","0,056","0,005","-0,361","-0,027","-0,027","0,046","-0,184","-0,056","0,086","-0,066","0,010"
65,"0,184","0,170","0,036","-0,113","0,149","-0,274","0,217","0,077","0,017","-0,267","-0,614","-0,003","0,036","0,057","-0,034","0,267","0,239","-0,056","0,017","-0,078","0,012"
66,"0,323","0,628","0,048","0,105","-0,116","-0,273","0,299","0,041","0,015","-0,214","-0,651","-0,007","0,530","-0,109","-0,036","0,790","0,349","-0,060","0,143","-0,008","0,013"
67,"0,027","0,032","0,046","-0,237","-0,158","-0,273","0,374","-0,627","0,003","-0,622","-0,270","-0,010","0,156","0,313","-0,036","0,217","0,611","-0,059","-0,086","0,275","0,019"
68,"0,567","-0,160","0,049","-0,526","-0,338","-0,273","0,156","-0,081","0,000","-0,703","0,182","-0,011","0,188","-0,039","-0,035","0,786","0,287","-0,060","-0,316","-0,243","0,023"
69,"0,547","0,036","0,051","-0,237","-0,148","-0,272","-0,332","0,380","0,000","-0,096","-0,141","-0,017","-0,320","-0,464","-0,037","0,735","0,414","-0,057","-0,325","-0,226","0,022"
70,"0,484","-0,152","0,049","0,074","-0,286","-0,273","-0,336","0,403","0,007","0,497","0,191","-0,023","-0,587","-0,701","-0,046","0,146","0,170","-0,053","0,308","-0,482","0,024"
71,"0,421","-0,151","0,053","0,074","-0,252","-0,275","-0,321","0,397","0,013","0,469","0,143","-0,026","-0,562","-0,689","-0,057","0,119","0,222","-0,057","0,296","-0,413","0,026"
72,"0,380","-0,159","0,057","0,062","-0,218","-0,276","-0,278","0,350","0,020","0,446","0,141","-0,028","-0,519","-0,634","-0,065","0,102","0,172","-0,063","0,293","-0,344","0,025"
