Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
3719,"-1,054","-1,315","1,824","2,030","-2,344","-0,726","0,192","0,090","-0,845","-1,063","-0,095","1,732","1,785","2,146","0,386","-0,271","0,186","-0,069","-0,603","-1,036","0,083"
3720,"-1,073","-1,260","1,820","2,043","-2,274","-0,724","0,178","0,031","-0,846","-1,049","-0,167","1,732","1,789","2,112","0,383","-0,222","0,229","-0,062","-0,593","-1,070","0,080"
3721,"-1,102","-1,297","1,818","2,045","-2,250","-0,723","0,189","0,055","-0,846","-1,120","-0,181","1,729","1,786","2,177","0,386","-0,200","0,196","-0,062","-0,631","-1,065","0,080"
3722,"-1,100","-1,291","1,814","2,049","-2,238","-0,721","0,238","0,031","-0,850","-1,121","-0,186","1,728","1,726","2,152","0,383","-0,266","0,186","-0,060","-0,603","-1,050","0,079"
3723,"-1,047","-1,270","1,814","2,063","-2,283","-0,721","0,300","0,034","-0,853","-1,120","-0,187","1,727","1,776","2,191","0,384","-0,219","0,142","-0,060","-0,585","-1,079","0,079"
3724,"-1,066","-1,275","1,814","2,059","-2,252","-0,722","0,305","-0,009","-0,856","-1,148","-0,166","1,728","1,752","2,200","0,385","-0,228","0,073","-0,063","-0,582","-1,047","0,079"
3725,"-1,017","-1,226","1,814","2,016","-2,259","-0,725","0,293","0,057","-0,853","-1,151","-0,215","1,728","1,744","2,171","0,386","-0,297","0,073","-0,066","-0,558","-1,072","0,078"
3726,"-0,980","-1,221","1,813","1,973","-2,235","-0,724","0,232","0,083","-0,853","-1,141","-0,227","1,730","1,793","2,158","0,390","-0,233","0,064","-0,071","-0,540","-1,046","0,078"
3727,"-1,006","-1,210","1,813","1,992","-2,195","-0,726","0,190","0,039","-0,857","-1,134","-0,208","1,733","1,788","2,092","0,390","-0,204","0,096","-0,072","-0,566","-1,022","0,077"
3728,"-0,956","-1,240","1,812","2,019","-2,159","-0,727","0,213","0,071","-0,859","-1,123","-0,217","1,733","1,808","2,068","0,392","-0,229","0,158","-0,073","-0,549","-0,995","0,078"
3729,"-0,901","-1,271","1,811","2,067","-2,110","-0,724","0,257","0,069","-0,866","-1,065","-0,228","1,733","1,805","2,073","0,394","-0,222","0,192","-0,074","-0,518","-0,988","0,079"
3730,"-0,841","-1,289","1,809","2,088","-2,125","-0,723","0,283","0,112","-0,866","-1,009","-0,227","1,731","1,861","2,050","0,398","-0,232","0,203","-0,076","-0,492","-0,971","0,079"
3731,"-0,806","-1,240","1,804","2,026","-2,150","-0,722","0,240","0,097","-0,863","-1,037","-0,253","1,729","1,909","2,064","0,404","-0,177","0,170","-0,080","-0,487","-1,003","0,079"
3732,"-0,841","-1,238","1,800","1,980","-2,191","-0,722","0,200","0,067","-0,863","-1,070","-0,247","1,729","1,858","2,090","0,404","-0,182","0,157","-0,079","-0,508","-1,033","0,077"
3733,"-0,839","-1,252","1,795","1,963","-2,246","-0,725","0,202","0,091","-0,859","-1,027","-0,205","1,729","1,813","2,065","0,401","-0,166","0,179","-0,074","-0,477","-1,027","0,077"
