Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
1078,"3,474","6,005","-5,449","-0,457","-1,521","0,151","0,888","-2,802","0,179","-0,008","-4,034","-5,235","8,395","3,840","2,497","11,107","-0,742","5,826","0,611","2,816","-0,927"
1079,"2,767","4,241","-4,459","0,188","-2,413","-3,069","0,125","-2,970","0,337","-3,212","-3,834","-7,593","8,375","4,352","1,645","8,566","-0,835","4,279","1,109","2,698","-0,607"
1080,"3,368","2,559","-2,718","0,468","-2,615","-5,318","0,599","-2,674","0,352","-3,818","-3,146","-9,462","8,182","5,215","1,762","7,044","0,893","1,679","1,306","2,668","-0,170"
1081,"5,397","0,413","-1,447","1,862","-2,312","-4,485","1,290","-5,688","-0,813","-4,235","-1,918","-9,519","7,896","7,021","2,487","9,790","2,640","0,756","1,014","2,688","0,210"
1082,"6,785","-1,726","-2,177","2,594","-2,215","-4,031","0,297","-8,406","-0,652","-4,438","-0,629","-7,987","7,367","8,043","0,758","13,385","6,608","0,103","1,140","2,892","0,286"
1083,"6,521","-4,299","-4,062","3,199","-2,064","-2,068","-0,447","-11,306","-0,304","-3,688","-0,353","-5,637","7,051","8,163","-2,730","13,316","9,669","-0,620","1,184","2,252","-0,076"
1084,"5,277","-6,471","-5,956","3,943","-2,612","-1,422","-1,090","-10,980","-0,781","-3,786","-0,321","-1,304","6,654","7,363","-6,970","10,111","10,812","-1,900","1,212","1,687","-0,953"
1085,"5,095","-7,790","-7,151","5,079","-2,797","-1,148","-1,364","-9,600","-0,500","-3,751","-0,699","3,153","6,063","6,128","-10,964","9,227","9,268","-2,261","0,577","0,821","-1,492"
1086,"5,834","-7,724","-5,960","5,633","-3,033","-1,106","-1,762","-8,429","-0,036","-3,498","-0,502","6,402","5,754","5,239","-12,054","9,280","6,505","-3,243","-0,432","0,145","-2,308"
1087,"6,395","-6,827","-3,663","6,253","-3,120","1,530","-3,437","-9,312","1,899","-2,665","0,855","10,160","5,947","4,855","-10,976","6,400","5,520","-5,897","-1,069","-0,555","-2,945"
1088,"6,811","-5,995","-2,199","7,529","-1,722","8,422","-6,667","-14,701","3,992","-2,248","2,452","12,612","6,037","4,461","-9,073","3,431","6,309","-9,169","-1,512","-1,668","-3,188"
1089,"6,471","-5,642","-2,814","7,742","-1,452","12,226","-8,388","-18,614","5,112","-3,166","3,923","13,830","6,068","4,243","-7,224","4,719","6,656","-9,410","-1,514","-2,337","-3,105"
1090,"5,716","-6,451","-4,893","8,043","-0,271","17,151","-8,515","-24,091","6,999","-4,539","4,483","14,536","6,111","4,037","-6,843","8,069","7,949","-8,684","-1,449","-2,549","-2,936"
1091,"5,191","-8,201","-6,525","9,318","0,924","19,948","-9,775","-31,091","6,732","-6,381","5,079","14,484","6,157","3,164","-8,938","9,186","7,959","-9,166","-1,142","-2,479","-2,900"
1092,"4,042","-9,963","-6,542","9,273","0,264","19,147","-8,807","-32,451","7,895","-7,992","5,031","13,022","6,259","2,157","-12,137","7,624","6,707","-10,893","-1,251","-2,401","-2,538"
1093,"3,739","-11,353","-5,091","9,515","0,642","23,177","-6,677","-35,889","6,785","-8,206","4,355","12,430","6,046","0,353","-16,325","6,088","5,958","-11,583","-1,745","-2,257","-2,739"
1094,"4,431","-12,097","-2,796","9,290","0,917","21,770","-7,626","-41,388","7,792","-5,954","4,634","13,133","6,054","-1,587","-18,807","5,543","4,533","-11,562","-1,333","-2,172","-3,209"
1095,"4,992","-12,141","-0,390","8,919","0,851","17,130","-11,070","-48,075","9,996","-3,658","5,623","12,689","6,053","-2,825","-18,696","4,893","3,500","-12,620","-0,840","-2,018","-3,073"
1096,"4,656","-11,575","1,536","7,984","-1,135","11,631","-15,418","-56,599","16,021","-3,135","7,218","12,243","5,875","-3,199","-16,303","3,491","3,029","-14,723","-0,331","-1,832","-2,507"
1097,"3,931","-11,439","2,694","6,877","-0,258","15,098","-21,953","-59,837","14,164","-5,030","7,845","13,634","5,493","-2,722","-12,326","2,328","2,501","-15,755","-0,293","-1,778","-1,396"
1098,"2,952","-11,785","2,783","7,459","0,680","24,988","-16,106","-51,805","12,678","-7,382","9,203","16,575","5,337","-2,082","-8,004","1,341","2,767","-15,475","-0,614","-1,802","-0,069"
1099,"1,324","-12,861","1,160","6,060","-2,899","19,931","-9,564","-45,498","9,251","-8,675","10,372","20,097","4,928","-2,099","-5,919","1,822","1,692","-13,981","-0,944","-1,937","1,034"
1100,"1,240","-13,168","-0,953","4,752","-1,848","11,921","-12,011","-29,635","10,653","-7,113","8,985","21,846","4,536","-3,044","-6,551","2,280","0,420","-13,215","-1,421","-2,644","1,516"
