Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
1318,"-0,204","0,464","0,893","-0,172","0,049","0,994","-0,211","-0,017","0,877","-0,193","-0,006","1,002","-0,212","-1,025","0,300","-0,542","-0,809","-0,069","-0,030","0,035","0,993"
1319,"-0,197","0,444","0,890","-0,175","0,044","0,969","-0,213","-0,028","0,904","-0,184","-0,001","0,994","-0,213","-1,029","0,301","-0,560","-0,804","-0,106","-0,032","0,045","0,995"
1320,"-0,215","0,435","0,874","-0,131","0,028","0,987","-0,103","-0,021","0,954","-0,146","-0,003","1,024","-0,237","-1,023","0,304","-0,544","-0,802","-0,119","-0,036","0,045","1,006"
1321,"-0,241","0,429","0,862","-0,122","-0,003","1,007","-0,096","-0,006","1,037","-0,090","-0,011","1,016","-0,259","-1,026","0,304","-0,526","-0,801","-0,108","-0,045","0,051","1,013"
1322,"-0,269","0,419","0,852","-0,070","0,013","0,986","-0,038","0,014","1,014","-0,047","-0,012","0,994","-0,245","-1,035","0,309","-0,499","-0,802","-0,104","-0,062","0,047","1,012"
1323,"-0,278","0,427","0,860","-0,118","0,000","0,987","-0,198","-0,006","0,891","-0,037","-0,019","0,987","-0,218","-1,034","0,304","-0,464","-0,831","-0,074","-0,072","0,051","1,011"
1324,"-0,270","0,438","0,871","-0,176","0,006","0,996","-0,199","-0,005","0,909","-0,058","-0,041","0,977","-0,217","-1,036","0,302","-0,437","-0,863","-0,063","-0,068","0,048","1,005"
1325,"-0,261","0,450","0,878","-0,175","0,011","0,995","-0,189","-0,025","0,910","-0,098","-0,036","0,994","-0,212","-1,031","0,302","-0,416","-0,884","-0,099","-0,058","0,052","0,998"
1326,"-0,256","0,445","0,872","-0,169","0,025","0,995","-0,195","0,000","0,901","-0,140","-0,035","1,011","-0,191","-1,040","0,303","-0,447","-0,868","-0,149","-0,043","0,045","0,994"
1327,"-0,248","0,447","0,857","-0,159","0,042","0,989","-0,211","-0,005","0,898","-0,177","-0,027","1,010","-0,178","-1,048","0,306","-0,473","-0,862","-0,175","-0,049","0,040","0,985"
