Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
2122,"-0,085","0,127","0,988","0,008","0,095","0,990","-0,117","-0,059","0,933","0,036","0,068","0,999","-0,082","0,120","1,004","0,161","-0,086","0,944","-0,003","-0,154","0,993"
2123,"-0,069","0,109","0,987","0,015","0,098","0,999","-0,126","-0,061","0,934","0,048","0,077","1,005","-0,080","0,137","0,987","0,174","-0,088","0,941","-0,011","-0,155","0,995"
2124,"-0,047","0,115","0,972","0,008","0,100","0,997","-0,135","-0,059","0,928","0,056","0,081","0,997","-0,069","0,156","0,988","0,182","-0,093","0,935","-0,015","-0,165","1,002"
2125,"-0,037","0,131","0,982","0,018","0,082","0,992","-0,125","-0,058","0,936","0,053","0,083","0,992","-0,060","0,168","0,991","0,190","-0,086","0,937","-0,019","-0,158","1,002"
2126,"-0,035","0,165","1,026","0,022","0,081","0,988","-0,120","-0,063","0,934","0,047","0,065","0,979","-0,065","0,180","0,999","0,193","-0,085","0,942","-0,017","-0,162","0,992"
2127,"-0,046","0,187","1,068","0,030","0,085","0,993","-0,138","-0,050","0,927","0,035","0,053","0,975","-0,074","0,186","0,997","0,178","-0,084","0,944","-0,011","-0,163","0,993"
2128,"-0,064","0,212","1,085","-0,006","0,081","1,009","-0,130","-0,059","0,933","0,022","0,036","0,978","-0,094","0,167","0,991","0,182","-0,087","0,941","-0,012","-0,163","0,999"
2129,"-0,078","0,220","1,086","-0,038","0,087","1,010","-0,133","-0,074","0,932","0,006","0,028","0,990","-0,097","0,162","0,989","0,181","-0,079","0,946","-0,013","-0,165","0,996"
2130,"-0,100","0,234","1,062","-0,039","0,097","1,003","-0,167","-0,057","0,922","-0,019","0,020","0,996","-0,093","0,160","1,004","0,162","-0,079","0,948","-0,022","-0,162","0,996"
2131,"-0,121","0,227","1,040","-0,041","0,114","0,993","-0,138","-0,048","0,928","-0,035","0,039","1,012","-0,105","0,148","1,003","0,182","-0,098","0,946","-0,030","-0,162","0,990"
2132,"-0,128","0,233","1,013","-0,039","0,129","0,995","-0,141","-0,056","0,927","-0,048","0,061","1,030","-0,096","0,150","0,998","0,175","-0,095","0,957","-0,038","-0,162","0,989"
