Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
149,"-0,209","0,124","-0,097","-0,039","-0,029","-0,371","0,160","-0,500","0,927","0,272","-0,181","-0,048","-0,465","-0,084","-0,215","0,264","-0,273","0,335","0,493","-0,132","-0,151"
150,"-0,168","0,146","-0,094","-0,052","-0,037","-0,367","0,153","-0,489","0,924","0,318","-0,142","-0,048","-0,479","-0,096","-0,201","0,274","-0,281","0,312","0,521","-0,120","-0,153"
151,"-0,182","0,152","-0,073","-0,085","-0,008","-0,360","0,177","-0,503","0,916","0,315","-0,118","-0,047","-0,549","-0,108","-0,202","0,272","-0,263","0,288","0,545","-0,105","-0,155"
152,"-0,222","0,146","-0,051","-0,079","0,007","-0,365","0,182","-0,528","0,908","0,255","-0,152","-0,034","-0,580","-0,093","-0,203","0,216","-0,262","0,263","0,510","-0,124","-0,156"
153,"-0,148","0,154","-0,028","-0,081","0,003","-0,383","0,158","-0,500","0,904","0,273","-0,177","-0,014","-0,500","-0,111","-0,216","0,223","-0,231","0,246","0,538","-0,125","-0,157"
154,"-0,132","0,130","-0,011","-0,059","0,022","-0,404","0,180","-0,518","0,913","0,234","-0,188","-0,005","-0,419","-0,114","-0,232","0,235","-0,199","0,244","0,507","-0,103","-0,158"
155,"-0,128","0,146","-0,009","-0,067","0,022","-0,408","0,124","-0,556","0,925","0,286","-0,166","-0,011","-0,416","-0,119","-0,240","0,232","-0,217","0,247","0,538","-0,098","-0,160"
156,"-0,142","0,108","-0,030","-0,083","0,008","-0,394","0,108","-0,533","0,927","0,325","-0,117","-0,024","-0,427","-0,089","-0,224","0,253","-0,199","0,248","0,561","-0,073","-0,164"
157,"-0,116","0,102","-0,054","-0,080","0,017","-0,372","0,054","-0,504","0,917","0,371","-0,146","-0,035","-0,414","-0,019","-0,203","0,250","-0,266","0,247","0,571","-0,103","-0,167"
158,"-0,102","0,046","-0,068","-0,068","0,027","-0,353","0,030","-0,474","0,902","0,441","-0,133","-0,037","-0,454","0,043","-0,186","0,261","-0,275","0,242","0,598","-0,085","-0,169"
159,"-0,102","0,015","-0,078","0,006","0,064","-0,340","0,089","-0,477","0,891","0,450","-0,131","-0,037","-0,455","0,065","-0,175","0,262","-0,267","0,235","0,566","-0,064","-0,172"
160,"-0,163","0,017","-0,081","0,067","0,105","-0,341","0,146","-0,466","0,889","0,438","-0,147","-0,036","-0,496","0,021","-0,166","0,252","-0,269","0,228","0,529","-0,049","-0,171"
161,"-0,194","-0,017","-0,076","0,070","0,091","-0,354","0,156","-0,485","0,897","0,415","-0,114","-0,035","-0,498","0,024","-0,166","0,324","-0,255","0,222","0,535","-0,016","-0,168"
162,"-0,256","-0,025","-0,063","0,071","0,085","-0,366","0,174","-0,509","0,915","0,347","-0,107","-0,045","-0,529","0,058","-0,173","0,293","-0,311","0,217","0,498","-0,007","-0,164"
163,"-0,282","-0,085","-0,047","0,060","0,082","-0,371","0,169","-0,509","0,930","0,281","-0,083","-0,062","-0,509","0,067","-0,183","0,288","-0,260","0,215","0,474","0,019","-0,156"
164,"-0,346","-0,099","-0,037","0,048","0,079","-0,365","0,174","-0,554","0,934","0,211","-0,065","-0,080","-0,511","0,064","-0,193","0,334","-0,211","0,219","0,441","0,020","-0,148"
165,"-0,337","-0,083","-0,028","0,046","0,068","-0,352","0,168","-0,556","0,927","0,157","-0,049","-0,093","-0,477","0,021","-0,203","0,327","-0,207","0,227","0,412","0,010","-0,141"
166,"-0,314","-0,041","-0,032","0,025","0,052","-0,347","0,130","-0,536","0,920","0,163","-0,051","-0,093","-0,418","-0,010","-0,203","0,388","-0,192","0,237","0,404","-0,020","-0,136"
167,"-0,274","-0,008","-0,038","0,027","0,047","-0,362","0,114","-0,514","0,914","0,208","-0,067","-0,076","-0,409","0,018","-0,202","0,395","-0,218","0,245","0,410","-0,052","-0,133"
