Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
39,"0,097","-0,045","0,211","-0,038","-0,074","0,066","-0,130","0,018","0,093","0,087","-0,068","-0,035","0,096","-0,167","0,013","-0,013","0,557","-0,015","0,593","0,154","0,146"
40,"-0,024","-0,063","0,152","-0,109","-0,098","0,023","-0,018","-0,016","0,023","0,024","-0,051","0,021","0,022","-0,164","0,142","0,051","0,500","-0,028","0,404","0,055","-0,012"
41,"0,098","0,013","0,192","-0,025","-0,103","0,147","-0,089","0,195","0,073","0,015","-0,242","0,003","0,080","-0,026","0,143","-0,010","0,379","-0,091","0,469","0,141","0,091"
42,"0,100","0,245","0,117","0,139","-0,028","0,008","-0,145","0,058","0,050","0,139","-0,263","-0,049","0,082","0,027","0,114","0,099","0,360","-0,040","0,524","-0,079","-0,048"
43,"-0,144","0,342","0,212","-0,131","-0,151","-0,085","-0,165","0,054","-0,033","0,076","-0,406","-0,144","-0,005","0,036","0,379","-0,104","0,484","-0,142","0,404","-0,005","0,002"
44,"-0,143","0,381","0,136","0,131","-0,109","-0,020","-0,154","0,144","0,047","0,197","-0,252","0,014","0,050","0,256","0,404","0,177","0,170","0,013","0,286","0,143","0,097"
45,"-0,143","0,362","0,078","0,035","-0,105","0,136","-0,148","0,189","0,088","0,151","-0,085","-0,090","0,050","0,256","0,404","0,355","0,135","-0,094","0,465","0,054","-0,014"
46,"-0,142","0,229","-0,136","0,039","0,086","0,110","-0,074","0,155","0,116","-0,145","0,050","-0,136","0,078","0,110","0,138","0,291","0,191","-0,081","0,830","0,051","-0,026"
47,"-0,081","0,152","-0,174","0,086","0,111","0,019","-0,177","0,103","0,189","-0,202","0,112","-0,153","0,105","-0,090","-0,099","0,291","0,191","-0,081","0,584","0,217","-0,119"
48,"-0,023","-0,157","-0,138","0,063","0,084","0,244","-0,033","0,024","-0,020","-0,163","-0,100","0,024","-0,002","-0,044","-0,275","0,337","0,228","-0,017","0,402","0,041","-0,071"
49,"-0,147","-0,447","-0,045","0,165","0,216","0,089","0,047","0,035","0,049","-0,073","-0,421","0,291","0,140","-0,022","-0,482","0,186","0,124","-0,026","0,400","0,027","-0,131"
50,"-0,209","-0,562","-0,008","0,045","0,222","0,111","0,064","0,031","-0,133","-0,215","-0,551","0,503","0,603","-0,085","-0,188","0,631","-0,219","0,204","0,643","-0,213","-0,083"
51,"-0,147","-0,465","-0,103","0,122","0,110","-0,126","0,108","0,077","-0,191","-0,136","-0,404","0,347","-0,002","-0,044","-0,275","-0,022","0,208","0,016","0,641","-0,226","-0,143"
