Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
43,"0,052","0,312","-0,091","0,035","-0,021","-0,241","-0,005","0,035","-0,097","0,082","-0,130","-0,243","0,028","0,156","0,103","0,084","-0,023","-0,070","-0,949","0,084","-0,140"
44,"0,113","0,407","0,007","-0,063","0,224","-0,131","0,001","0,078","-0,054","0,019","-0,113","-0,187","-0,064","-0,009","-0,233","-0,050","-0,043","-0,081","-0,756","0,060","0,041"
45,"0,234","0,328","-0,030","-0,069","0,088","-0,138","-0,013","0,121","-0,095","0,148","-0,001","-0,207","-0,062","-0,145","-0,233","0,084","-0,023","-0,070","-0,516","0,105","-0,044"
46,"0,166","0,059","0,123","0,060","0,107","-0,100","0,125","0,132","-0,040","-0,014","0,378","-0,238","-0,047","-0,227","-0,396","0,074","0,021","-0,029","-0,574","-0,002","0,044"
47,"-0,199","0,046","0,058","0,008","0,190","-0,061","0,132","0,175","0,003","0,159","0,337","-0,096","0,360","-0,058","-0,171","-0,211","0,117","-0,109","-0,946","-0,023","-0,055"
48,"0,042","-0,151","0,063","-0,095","0,243","0,068","0,032","0,170","-0,150","0,157","0,350","-0,036","-0,057","-0,173","-0,288","0,044","0,072","-0,091","-1,189","-0,079","-0,030"
49,"-0,023","-0,343","0,062","-0,013","0,178","0,218","-0,051","0,115","0,004","0,087","0,162","-0,059","-0,190","-0,174","-0,162","0,083","0,198","-0,125","-1,128","-0,080","-0,033"
50,"0,041","-0,325","-0,072","0,064","0,280","0,295","-0,095","-0,062","0,014","0,134","-0,006","0,044","-0,137","-0,065","-0,075","-0,090","0,132","0,084","-1,125","-0,068","0,027"
51,"0,043","-0,190","-0,053","-0,123","0,151","0,315","-0,088","-0,020","0,057","-0,063","-0,161","0,134","-0,144","-0,092","0,006","0,005","0,026","0,129","-1,193","-0,032","-0,102"
52,"-0,076","0,025","0,003","-0,069","0,012","0,300","-0,015","-0,057","0,083","-0,177","-0,036","0,100","-0,095","0,100","0,120","-0,009","-0,059","0,126","-1,189","-0,020","-0,042"
53,"-0,256","0,028","-0,193","-0,158","-0,003","0,119","0,030","-0,008","0,027","-0,182","-0,168","0,068","-0,106","0,099","0,256","0,015","-0,018","0,088","-1,193","-0,032","-0,102"
54,"-0,071","0,160","-0,171","-0,144","-0,146","0,247","-0,015","-0,057","0,083","-0,118","-0,026","0,163","-0,171","0,126","0,305","-0,060","0,001","-0,040","-1,247","-0,126","0,046"
55,"-0,071","0,160","-0,171","-0,253","-0,153","-0,069","-0,036","-0,057","-0,001","-0,177","-0,036","0,100","-0,048","0,182","0,288","-0,140","-0,030","-0,026","-0,939","0,003","0,064"
56,"-0,013","0,062","-0,073","-0,018","-0,299","-0,111","0,155","-0,082","-0,004","-0,107","-0,007","-0,029","0,006","0,156","0,375","-0,095","0,003","0,039","-0,756","0,001","0,054"
57,"-0,015","-0,073","-0,092","0,012","-0,262","-0,334","0,031","-0,137","-0,018","-0,109","-0,153","-0,121","0,076","0,102","0,271","0,021","-0,110","0,188","-0,817","0,001","0,057"
58,"-0,017","-0,111","-0,015","0,003","-0,286","-0,389","0,039","-0,223","-0,020","0,015","-0,173","-0,173","0,081","0,075","0,217","-0,030","-0,051","0,022","-0,756","0,001","0,054"
59,"-0,085","-0,303","0,176","-0,042","-0,124","-0,318","0,004","-0,179","-0,144","-0,041","-0,197","-0,296","0,027","-0,090","0,157","0,029","-0,013","-0,095","-0,760","-0,012","-0,005"
60,"-0,085","-0,400","0,080","0,087","-0,104","-0,281","0,062","-0,045","-0,114","0,138","-0,265","-0,272","-0,077","-0,064","-0,070","0,060","0,016","0,153","-0,394","-0,016","-0,025"
61,"-0,145","-0,148","0,252","0,044","0,003","-0,186","-0,077","-0,056","-0,168","0,083","-0,216","-0,348","-0,005","-0,063","-0,201","-0,036","0,042","-0,078","-0,208","0,114","0,000"
62,"0,039","-0,170","0,198","-0,015","-0,051","-0,153","0,141","-0,039","-0,045","0,012","-0,159","-0,114","-0,011","-0,281","-0,092","0,139","-0,033","-0,046","-0,269","0,055","0,015"
63,"0,105","-0,036","0,026","-0,047","-0,031","0,046","0,023","-0,051","-0,015","-0,063","-0,320","-0,018","0,063","-0,225","-0,250","0,019","0,031","-0,053","-0,080","0,018","0,137"
64,"0,108","-0,017","-0,109","-0,030","0,073","0,132","0,162","-0,040","0,039","-0,196","-0,333","0,167","0,063","-0,225","-0,250","0,080","-0,072","0,071","0,035","-0,128","0,037"
65,"0,107","0,021","0,006","-0,019","0,042","0,211","0,307","0,015","0,137","-0,134","-0,423","0,065","0,120","-0,143","-0,218","0,220","-0,224","-0,004","-0,263","0,020","0,147"
66,"0,107","0,021","0,006","0,051","0,008","0,282","0,301","-0,028","0,094","-0,144","-0,528","0,151","-0,013","-0,145","-0,092","0,145","-0,126","0,054","-0,151","-0,138","-0,013"
67,"-0,317","0,125","-0,098","-0,010","0,066","0,267","-0,002","0,029","0,169","-0,514","-0,482","0,250","-0,017","-0,117","-0,038","-0,160","0,057","0,056","0,038","-0,175","0,109"
68,"0,048","-0,132","-0,265","-0,078","-0,012","0,245","0,043","0,078","0,113","-0,135","-0,336","0,170","-0,033","-0,090","0,152","-0,030","-0,051","0,022","0,099","-0,056","0,081"
69,"0,106","-0,056","-0,032","0,091","0,069","0,114","0,051","-0,008","0,111","0,068","-0,135","0,008","-0,042","0,019","0,234","0,040","0,023","0,050","-0,026","-0,067","0,028"
70,"-0,015","-0,073","-0,092","0,127","-0,118","-0,012","-0,102","0,023","0,016","-0,001","-0,251","0,032","-0,050","0,128","0,315","0,095","0,013","0,074","-0,266","0,127","0,062"
71,"-0,078","-0,110","-0,017","0,076","-0,092","0,052","-0,058","0,072","-0,039","0,131","-0,152","-0,048","0,017","0,156","0,239","0,040","0,023","0,050","-0,269","-0,005","0,028"
72,"-0,077","-0,053","-0,036","0,041","0,115","-0,235","-0,078","0,073","-0,123","0,193","-0,082","0,001","-0,035","0,046","0,152","0,089","0,106","-0,025","-0,391","0,056","0,022"
73,"-0,016","-0,054","-0,035","0,027","-0,102","-0,272","-0,122","-0,105","-0,113","0,266","0,093","-0,035","0,038","0,101","-0,006","0,163","0,008","-0,084","-0,513","-0,002","0,041"
74,"-0,081","-0,226","0,022","-0,013","-0,107","-0,129","-0,130","-0,019","-0,111","-0,042","0,049","-0,039","0,032","0,074","0,076","0,089","0,106","-0,025","-0,635","0,118","0,022"
75,"-0,017","-0,034","0,023","-0,093","-0,097","-0,254","-0,110","0,109","0,018","-0,092","0,071","-0,234","-0,075","-0,009","-0,097","-0,021","0,127","-0,074","-0,394","0,043","-0,038"
76,"0,104","-0,017","0,083","0,045","-0,053","-0,162","-0,102","0,023","0,016","-0,026","0,200","-0,198","-0,021","-0,036","-0,011","-0,046","0,085","-0,036","-0,212","-0,018","-0,035"
77,"0,104","-0,017","0,083","-0,021","-0,187","-0,159","0,015","0,035","-0,013","-0,022","0,260","-0,211","0,053","0,020","-0,169","0,009","0,075","-0,012","-0,151","-0,019","-0,038"
78,"0,045","0,215","0,198","0,071","0,076","-0,021","0,089","-0,002","0,013","-0,202","0,415","-0,129","-0,016","0,128","-0,092","0,044","0,072","-0,091","0,096","0,110","-0,017"
79,"-0,075","0,256","0,119","0,092","0,013","0,138","-0,029","-0,014","0,042","-0,014","0,378","-0,238","-0,016","0,128","-0,092","0,129","0,010","-0,005","0,096","0,230","-0,042"
80,"-0,012","0,390","0,139","-0,021","0,097","0,187","-0,163","0,146","0,076","0,050","0,435","-0,248","0,046","-0,008","-0,087","0,035","-0,105","0,005","-0,269","0,055","0,015"
81,"-0,011","0,293","0,043","0,038","0,151","0,154","0,051","-0,008","0,111","-0,013","0,451","-0,192","0,221","-0,087","0,037","-0,044","-0,136","0,019","-0,334","0,281","-0,091"
82,"0,169","0,271","0,181","0,058","0,144","0,288","-0,031","0,115","0,087","-0,028","0,214","-0,138","0,037","0,047","0,021","0,005","-0,054","-0,057","-0,141","0,257","0,090"
83,"-0,079","0,102","0,234","0,054","0,256","0,240","0,023","-0,051","-0,015","-0,154","0,161","-0,131","-0,019","0,019","-0,038","0,118","-0,026","-0,149","0,103","0,135","0,102"
84,"-0,017","-0,034","0,023","-0,031","0,129","0,107","-0,102","0,023","0,016","-0,112","-0,139","-0,061","-0,019","0,019","-0,038","-0,040","-0,007","0,064","0,035","-0,128","0,037"
85,"0,106","-0,056","-0,032","-0,037","-0,007","0,101","0,008","0,121","-0,011","-0,141","-0,382","0,243","0,042","-0,171","-0,006","-0,129","0,006","0,118","0,032","-0,021","-0,048"
86,"-0,012","0,043","-0,131","0,092","0,088","-0,299","0,125","0,132","-0,040","-0,030","-0,493","0,336","0,025","0,047","0,157","0,015","-0,018","0,088","0,093","-0,141","-0,026"
87,"-0,066","0,314","-0,286","0,017","-0,070","-0,352","0,081","0,084","0,015","0,158","-0,371","0,379","0,021","0,074","0,212","0,184","0,000","0,020","-0,029","-0,199","-0,007"
88,"-0,308","0,357","-0,368","-0,054","-0,036","-0,422","0,133","0,047","-0,042","-0,118","-0,026","0,163","0,195","0,185","0,308","0,229","0,033","0,085","0,275","-0,203","-0,023"
89,"-0,369","0,358","-0,369","-0,033","-0,099","-0,263","0,081","0,084","0,015","-0,210","0,456","0,049","0,030","0,210","0,076","0,138","0,188","-0,101","0,032","-0,319","0,015"
90,"-0,495","0,205","-0,256","0,002","0,054","-0,067","-0,102","0,023","0,016","-0,131","0,676","-0,060","-0,125","-0,010","-0,238","0,103","0,191","-0,022","-0,144","-0,053","0,094"
91,"-0,380","-0,182","-0,254","0,056","0,200","0,264","-0,043","0,029","0,001","-0,054","0,824","-0,216","-0,051","-0,145","-0,369","0,038","0,165","-0,191","-0,273","0,042","-0,044"
92,"-0,146","-0,495","-0,018","0,064","0,280","0,295","-0,174","-0,068","-0,055","-0,071","0,441","-0,254","-0,176","-0,065","-0,352","-0,071","-0,035","-0,184","-0,455","-0,075","-0,009"
93,"-0,152","-0,803","0,020","-0,093","0,187","0,092","-0,278","-0,122","0,015","0,223","0,320","-0,152","-0,307","-0,012","-0,253","-0,060","0,001","-0,040","-0,394","-0,076","-0,012"
94,"-0,029","-0,555","0,196","-0,167","-0,027","0,064","-0,316","-0,128","0,113","0,086","-0,071","-0,256","-0,141","0,017","-0,048","-0,156","0,106","-0,085","-0,273","-0,018","-0,032"
95,"0,039","-0,190","0,140","-0,125","-0,078","-0,056","-0,198","-0,117","0,084","0,014","-0,246","-0,219","-0,137","-0,065","-0,075","-0,225","0,032","-0,113","-0,208","-0,006","0,025"
96,"-0,015","0,197","0,139","-0,149","-0,263","-0,172","-0,192","-0,074","0,127","-0,231","-0,306","-0,279","-0,077","-0,064","-0,070","-0,384","-0,030","-0,086","-0,144","-0,053","0,094"
97,"0,168","0,367","0,278","-0,107","-0,313","-0,292","-0,074","-0,063","0,097","-0,220","-0,128","-0,319","-0,080","-0,173","-0,016","-0,305","0,001","-0,099","-0,029","-0,020","-0,045"
98,"0,228","0,482","0,433","-0,134","-0,386","-0,457","-0,074","-0,063","0,097","-0,106","-0,253","-0,285","-0,041","-0,172","0,261","-0,234","-0,146","-0,016","0,218","-0,010","0,002"
99,"0,229","0,385","0,337","-0,119","-0,226","-0,396","-0,029","-0,014","0,042","-0,049","-0,156","-0,117","-0,033","-0,090","0,152","-0,338","-0,218","0,035","0,407","-0,047","0,124"
100,"0,107","0,368","0,277","-0,190","-0,267","-0,029","-0,072","-0,191","0,052","-0,054","-0,129","0,001","-0,089","-0,118","0,093","-0,059","-0,221","0,015","0,346","0,013","0,115"
101,"-0,074","0,603","0,389","0,085","-0,067","0,108","0,015","0,035","-0,013","-0,056","-0,115","0,061","0,060","-0,335","-0,196","-0,020","-0,095","-0,019","0,529","0,071","0,092"
102,"0,049","0,485","0,237","0,059","0,088","0,313","-0,093","-0,191","-0,031","-0,102","0,125","0,004","0,063","-0,416","-0,223","0,056","-0,113","0,109","0,535","0,036","0,224"
103,"0,047","0,254","0,121","-0,042","0,085","0,465","0,089","-0,002","0,013","0,087","0,321","0,093","0,130","-0,388","-0,300","0,007","-0,195","0,184","0,776","0,021","0,151"
104,"0,102","-0,056","0,160","0,127","0,166","0,335","0,068","-0,002","-0,071","0,084","0,335","0,152","0,179","-0,197","-0,186","0,214","-0,052","0,082","0,833","-0,052","0,101"
105,"0,161","-0,192","0,142","-0,063","0,148","0,306","0,133","0,047","-0,042","0,013","0,233","0,235","0,053","-0,171","-0,142","0,245","-0,103","0,144","0,529","0,011","0,105"
106,"-0,082","-0,303","-0,017","-0,019","0,042","0,211","0,194","-0,076","-0,102","-0,121","-0,012","0,222","0,025","0,047","0,157","0,169","-0,085","0,016","0,350","0,026","0,174"
107,"-0,261","-0,107","-0,020","-0,098","-0,005","0,110","0,154","0,046","0,041","0,177","-0,074","0,312","0,007","0,210","0,348","0,150","0,003","0,099","0,157","0,050","-0,007"
108,"-0,438","0,031","-0,197","0,033","-0,041","0,172","0,207","0,009","-0,016","0,047","-0,186","0,332","0,377","0,188","0,323","0,099","0,142","0,119","0,096","-0,069","0,021"
109,"-0,192","0,065","-0,269","0,003","-0,002","-0,043","0,036","0,035","0,070","-0,009","-0,283","0,164","0,012","0,183","0,293","0,009","0,075","-0,012","0,519","-0,026","-0,074"
110,"-0,069","0,198","-0,248","0,057","-0,140","-0,058","0,044","-0,051","0,068","-0,063","-0,320","-0,018","0,022","0,128","0,184","0,024","0,160","-0,008","0,637","-0,040","-0,140"
111,"-0,069","0,198","-0,248","0,047","-0,109","-0,137","0,023","-0,051","-0,015","0,049","-0,432","0,075","0,010","0,319","0,293","0,060","0,016","0,153","0,330","-0,050","-0,183"
112,"-0,011","0,178","-0,112","0,047","-0,109","-0,137","-0,117","0,067","-0,025","0,165","-0,571","0,049","0,009","0,265","0,320","-0,001","0,119","0,029","0,275","0,036","-0,073"
113,"-0,076","0,025","0,003","-0,015","-0,051","-0,153","-0,013","0,121","-0,095","0,043","-0,637","-0,004","0,134","0,375","0,276","-0,141","0,191","-0,081","0,330","0,070","-0,208"
