Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
904,"0,993","0,030","0,108","0,024","0,997","-0,022","0,078","0,015","0,999","-0,021","0,031","-0,003","0,998","0,002","0,068","-0,001","0,708","-0,691","0,007","0,143","0,545","-0,788","0,223","0,181","0,998","-0,043","0,045","-0,008"
905,"0,993","0,029","0,109","0,025","0,997","-0,022","0,078","0,015","0,999","-0,021","0,031","-0,003","0,998","0,002","0,068","-0,001","0,709","-0,691","0,007","0,144","0,545","-0,787","0,223","0,181","0,998","-0,043","0,045","-0,008"
906,"0,993","0,028","0,110","0,026","0,997","-0,022","0,078","0,015","0,999","-0,022","0,031","-0,004","0,998","0,002","0,068","-0,001","0,709","-0,690","0,008","0,145","0,546","-0,787","0,223","0,182","0,998","-0,043","0,045","-0,009"
907,"0,993","0,028","0,111","0,027","0,997","-0,022","0,078","0,014","0,999","-0,022","0,032","-0,004","0,998","0,002","0,067","-0,001","0,709","-0,690","0,009","0,146","0,546","-0,787","0,223","0,182","0,998","-0,043","0,046","-0,009"
908,"0,993","0,027","0,112","0,029","0,997","-0,022","0,078","0,014","0,999","-0,022","0,033","-0,004","0,998","0,002","0,067","-0,001","0,709","-0,689","0,010","0,147","0,546","-0,787","0,223","0,183","0,998","-0,043","0,046","-0,009"
909,"0,993","0,027","0,112","0,030","0,997","-0,022","0,079","0,013","0,999","-0,023","0,033","-0,004","0,998","0,002","0,067","-0,002","0,710","-0,689","0,011","0,148","0,546","-0,787","0,222","0,184","0,998","-0,043","0,046","-0,009"
910,"0,993","0,026","0,113","0,031","0,997","-0,022","0,079","0,013","0,999","-0,023","0,034","-0,004","0,998","0,002","0,068","-0,003","0,710","-0,688","0,012","0,150","0,546","-0,786","0,221","0,184","0,998","-0,043","0,046","-0,010"
911,"0,993","0,026","0,113","0,031","0,997","-0,022","0,079","0,013","0,999","-0,023","0,035","-0,004","0,998","0,002","0,068","-0,004","0,710","-0,688","0,012","0,151","0,547","-0,786","0,221","0,185","0,998","-0,043","0,046","-0,010"
912,"0,993","0,025","0,113","0,031","0,997","-0,022","0,079","0,013","0,999","-0,023","0,035","-0,004","0,998","0,002","0,068","-0,004","0,710","-0,687","0,013","0,151","0,547","-0,786","0,220","0,186","0,998","-0,043","0,046","-0,010"
913,"0,993","0,025","0,113","0,030","0,997","-0,022","0,079","0,013","0,999","-0,023","0,035","-0,004","0,998","0,002","0,068","-0,004","0,711","-0,687","0,013","0,152","0,548","-0,785","0,220","0,187","0,998","-0,043","0,046","-0,010"
914,"0,993","0,025","0,113","0,029","0,997","-0,023","0,079","0,013","0,999","-0,023","0,035","-0,004","0,998","0,002","0,068","-0,005","0,711","-0,686","0,013","0,152","0,548","-0,785","0,220","0,188","0,998","-0,043","0,045","-0,010"
915,"0,993","0,025","0,114","0,029","0,997","-0,023","0,078","0,012","0,999","-0,023","0,036","-0,004","0,998","0,001","0,068","-0,005","0,711","-0,686","0,013","0,152","0,548","-0,785","0,220","0,188","0,998","-0,043","0,045","-0,010"
