Index,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z
1234,"0,998","-0,024","-0,066","0,004","0,826","-0,556","0,066","-0,062","0,691","-0,694","-0,186","-0,076","0,964","0,256","-0,075","-0,004","0,997","0,007","-0,077","-0,004","0,998","-0,025","-0,056","-0,019","1,000","0,006","-0,012","0,014"
1235,"0,998","-0,024","-0,066","0,004","0,826","-0,557","0,066","-0,061","0,689","-0,696","-0,186","-0,076","0,964","0,256","-0,074","-0,004","0,997","0,007","-0,077","-0,004","0,998","-0,025","-0,056","-0,019","1,000","0,006","-0,012","0,014"
1236,"0,998","-0,024","-0,066","0,004","0,825","-0,558","0,066","-0,060","0,687","-0,698","-0,186","-0,076","0,964","0,257","-0,074","-0,004","0,997","0,007","-0,077","-0,005","0,998","-0,025","-0,055","-0,019","1,000","0,006","-0,012","0,014"
1237,"0,998","-0,023","-0,066","0,004","0,824","-0,559","0,066","-0,060","0,685","-0,700","-0,185","-0,075","0,964","0,256","-0,075","-0,004","0,997","0,008","-0,077","-0,005","0,998","-0,025","-0,054","-0,019","1,000","0,006","-0,012","0,015"
1238,"0,998","-0,023","-0,066","0,004","0,823","-0,561","0,065","-0,060","0,683","-0,702","-0,186","-0,074","0,964","0,256","-0,075","-0,003","0,997","0,008","-0,077","-0,004","0,998","-0,025","-0,053","-0,019","1,000","0,007","-0,013","0,015"
1239,"0,998","-0,023","-0,066","0,004","0,822","-0,562","0,066","-0,059","0,681","-0,704","-0,186","-0,074","0,964","0,256","-0,075","-0,002","0,997","0,007","-0,076","-0,004","0,998","-0,025","-0,053","-0,019","1,000","0,007","-0,013","0,016"
1240,"0,998","-0,023","-0,065","0,004","0,822","-0,563","0,066","-0,059","0,680","-0,706","-0,186","-0,074","0,964","0,256","-0,075","-0,002","0,997","0,007","-0,076","-0,003","0,998","-0,025","-0,052","-0,019","1,000","0,007","-0,013","0,016"
1241,"0,998","-0,023","-0,065","0,005","0,821","-0,564","0,066","-0,058","0,678","-0,708","-0,186","-0,073","0,964","0,256","-0,075","-0,001","0,997","0,007","-0,077","-0,003","0,998","-0,026","-0,052","-0,019","1,000","0,007","-0,013","0,016"
1242,"0,998","-0,023","-0,065","0,005","0,820","-0,565","0,067","-0,057","0,676","-0,709","-0,186","-0,073","0,964","0,256","-0,075","-0,001","0,997","0,007","-0,077","-0,003","0,998","-0,026","-0,051","-0,019","1,000","0,008","-0,013","0,017"
1243,"0,998","-0,023","-0,065","0,005","0,820","-0,566","0,067","-0,056","0,675","-0,711","-0,186","-0,073","0,964","0,256","-0,075","-0,001","0,997","0,008","-0,076","-0,003","0,998","-0,026","-0,050","-0,020","1,000","0,008","-0,013","0,017"
1244,"0,998","-0,023","-0,065","0,006","0,819","-0,567","0,067","-0,055","0,673","-0,712","-0,186","-0,073","0,964","0,256","-0,075","0,000","0,997","0,008","-0,076","-0,002","0,998","-0,026","-0,049","-0,020","1,000","0,008","-0,013","0,018"
1245,"0,998","-0,023","-0,066","0,006","0,818","-0,569","0,068","-0,055","0,672","-0,713","-0,186","-0,073","0,964","0,256","-0,074","0,000","0,997","0,008","-0,076","-0,002","0,998","-0,026","-0,049","-0,020","1,000","0,008","-0,012","0,018"
1246,"0,998","-0,022","-0,066","0,006","0,817","-0,570","0,068","-0,054","0,670","-0,714","-0,187","-0,073","0,964","0,256","-0,074","0,000","0,997","0,009","-0,076","-0,001","0,998","-0,026","-0,048","-0,020","1,000","0,008","-0,012","0,018"
1247,"0,998","-0,022","-0,066","0,006","0,817","-0,571","0,068","-0,054","0,669","-0,716","-0,187","-0,073","0,964","0,255","-0,073","0,000","0,997","0,009","-0,076","-0,001","0,998","-0,026","-0,047","-0,020","1,000","0,008","-0,012","0,019"
1248,"0,998","-0,021","-0,066","0,006","0,816","-0,572","0,067","-0,054","0,668","-0,717","-0,187","-0,073","0,964","0,255","-0,073","0,000","0,997","0,009","-0,076","0,000","0,998","-0,026","-0,046","-0,021","1,000","0,008","-0,011","0,019"
1249,"0,998","-0,021","-0,066","0,006","0,815","-0,573","0,068","-0,054","0,666","-0,718","-0,187","-0,073","0,964","0,255","-0,073","0,001","0,997","0,009","-0,077","0,000","0,998","-0,026","-0,044","-0,021","1,000","0,008","-0,011","0,019"
1250,"0,998","-0,021","-0,066","0,006","0,815","-0,574","0,068","-0,053","0,665","-0,720","-0,187","-0,073","0,964","0,255","-0,073","0,001","0,997","0,010","-0,077","0,000","0,999","-0,026","-0,043","-0,021","1,000","0,008","-0,011","0,020"
1251,"0,998","-0,020","-0,067","0,006","0,814","-0,574","0,068","-0,053","0,663","-0,721","-0,187","-0,073","0,964","0,255","-0,074","0,002","0,997","0,010","-0,077","0,000","0,999","-0,025","-0,042","-0,021","1,000","0,008","-0,011","0,020"
1252,"0,998","-0,020","-0,067","0,006","0,813","-0,575","0,068","-0,053","0,662","-0,722","-0,187","-0,073","0,964","0,255","-0,074","0,003","0,997","0,010","-0,077","0,000","0,999","-0,024","-0,040","-0,021","1,000","0,008","-0,011","0,020"
1253,"0,998","-0,020","-0,067","0,006","0,813","-0,576","0,068","-0,052","0,661","-0,723","-0,187","-0,073","0,964","0,255","-0,074","0,003","0,997","0,010","-0,077","0,000","0,999","-0,024","-0,039","-0,021","1,000","0,008","-0,010","0,020"
1254,"0,998","-0,020","-0,067","0,006","0,812","-0,577","0,069","-0,052","0,660","-0,724","-0,187","-0,072","0,964","0,255","-0,074","0,003","0,997","0,010","-0,076","0,001","0,999","-0,024","-0,037","-0,021","1,000","0,009","-0,010","0,020"
1255,"0,998","-0,019","-0,067","0,006","0,812","-0,577","0,069","-0,051","0,659","-0,725","-0,187","-0,072","0,964","0,255","-0,074","0,003","0,997","0,010","-0,076","0,001","0,999","-0,024","-0,035","-0,021","1,000","0,009","-0,010","0,021"
1256,"0,998","-0,019","-0,066","0,007","0,811","-0,578","0,069","-0,051","0,659","-0,725","-0,187","-0,071","0,964","0,254","-0,074","0,003","0,997","0,009","-0,076","0,001","0,999","-0,024","-0,033","-0,022","1,000","0,009","-0,010","0,021"
1257,"0,998","-0,019","-0,066","0,007","0,811","-0,579","0,069","-0,051","0,658","-0,726","-0,187","-0,071","0,964","0,254","-0,074","0,003","0,997","0,009","-0,076","0,001","0,999","-0,024","-0,032","-0,022","1,000","0,009","-0,011","0,021"
1258,"0,998","-0,020","-0,066","0,007","0,811","-0,579","0,069","-0,051","0,658","-0,726","-0,187","-0,071","0,964","0,254","-0,074","0,003","0,997","0,009","-0,076","0,002","0,999","-0,024","-0,030","-0,022","1,000","0,009","-0,011","0,021"
1259,"0,998","-0,020","-0,066","0,007","0,811","-0,579","0,069","-0,051","0,658","-0,726","-0,188","-0,071","0,964","0,254","-0,074","0,003","0,997","0,009","-0,076","0,002","0,999","-0,023","-0,030","-0,022","1,000","0,009","-0,011","0,021"
1260,"0,998","-0,020","-0,066","0,007","0,811","-0,579","0,069","-0,051","0,657","-0,726","-0,188","-0,071","0,965","0,253","-0,074","0,004","0,997","0,008","-0,076","0,002","0,999","-0,024","-0,029","-0,022","1,000","0,009","-0,010","0,021"
1261,"0,998","-0,020","-0,067","0,007","0,811","-0,579","0,069","-0,050","0,657","-0,727","-0,188","-0,072","0,965","0,253","-0,074","0,004","0,997","0,008","-0,076","0,002","0,999","-0,024","-0,029","-0,022","1,000","0,009","-0,010","0,021"
1262,"0,998","-0,020","-0,067","0,007","0,810","-0,580","0,069","-0,050","0,657","-0,727","-0,188","-0,072","0,965","0,253","-0,075","0,004","0,997","0,008","-0,076","0,002","0,999","-0,024","-0,029","-0,022","1,000","0,009","-0,010","0,021"
1263,"0,998","-0,020","-0,067","0,007","0,810","-0,580","0,069","-0,051","0,657","-0,727","-0,188","-0,072","0,964","0,253","-0,075","0,004","0,997","0,008","-0,077","0,002","0,999","-0,024","-0,029","-0,022","1,000","0,009","-0,009","0,021"
1264,"0,997","-0,020","-0,068","0,007","0,810","-0,580","0,069","-0,051","0,656","-0,727","-0,188","-0,072","0,964","0,253","-0,075","0,004","0,997","0,008","-0,077","0,002","0,999","-0,024","-0,029","-0,023","1,000","0,009","-0,009","0,021"
1265,"0,997","-0,020","-0,068","0,006","0,810","-0,580","0,069","-0,051","0,656","-0,727","-0,188","-0,072","0,964","0,254","-0,076","0,004","0,997","0,009","-0,077","0,001","0,999","-0,024","-0,029","-0,023","1,000","0,008","-0,009","0,021"
1266,"0,997","-0,020","-0,068","0,006","0,810","-0,580","0,068","-0,051","0,656","-0,727","-0,188","-0,072","0,964","0,254","-0,075","0,005","0,997","0,009","-0,077","0,001","0,999","-0,024","-0,029","-0,023","1,000","0,008","-0,009","0,021"
1267,"0,997","-0,019","-0,069","0,005","0,810","-0,580","0,068","-0,051","0,656","-0,727","-0,188","-0,072","0,964","0,254","-0,075","0,005","0,997","0,009","-0,078","0,000","0,999","-0,024","-0,028","-0,023","1,000","0,008","-0,009","0,020"
1268,"0,997","-0,019","-0,069","0,005","0,810","-0,580","0,068","-0,051","0,656","-0,728","-0,188","-0,073","0,964","0,254","-0,075","0,005","0,997","0,009","-0,078","0,000","0,999","-0,024","-0,027","-0,023","1,000","0,008","-0,009","0,020"
1269,"0,997","-0,019","-0,068","0,005","0,810","-0,580","0,069","-0,051","0,655","-0,728","-0,188","-0,073","0,964","0,255","-0,075","0,005","0,997","0,009","-0,077","0,000","0,999","-0,024","-0,027","-0,023","1,000","0,008","-0,009","0,020"
1270,"0,997","-0,019","-0,068","0,004","0,810","-0,580","0,069","-0,051","0,655","-0,728","-0,188","-0,073","0,964","0,255","-0,075","0,004","0,997","0,009","-0,077","-0,001","0,999","-0,025","-0,026","-0,024","1,000","0,008","-0,009","0,020"
1271,"0,997","-0,019","-0,068","0,004","0,810","-0,581","0,069","-0,051","0,654","-0,729","-0,188","-0,073","0,964","0,256","-0,076","0,004","0,997","0,009","-0,078","-0,001","0,999","-0,025","-0,026","-0,024","1,000","0,008","-0,009","0,019"
1272,"0,997","-0,019","-0,068","0,004","0,809","-0,581","0,069","-0,051","0,654","-0,729","-0,188","-0,073","0,964","0,256","-0,076","0,004","0,997","0,008","-0,078","-0,001","0,999","-0,025","-0,026","-0,024","1,000","0,009","-0,009","0,019"
1273,"0,997","-0,020","-0,068","0,004","0,809","-0,582","0,069","-0,051","0,654","-0,730","-0,188","-0,073","0,964","0,256","-0,076","0,004","0,997","0,008","-0,078","-0,001","0,999","-0,025","-0,026","-0,024","1,000","0,009","-0,009","0,019"
1274,"0,997","-0,020","-0,068","0,004","0,809","-0,582","0,069","-0,051","0,653","-0,730","-0,188","-0,073","0,964","0,256","-0,076","0,004","0,997","0,008","-0,078","-0,002","0,999","-0,025","-0,025","-0,024","1,000","0,009","-0,009","0,018"
1275,"0,997","-0,020","-0,068","0,003","0,808","-0,582","0,069","-0,051","0,653","-0,731","-0,188","-0,073","0,964","0,256","-0,077","0,004","0,997","0,007","-0,077","-0,002","0,999","-0,026","-0,025","-0,024","1,000","0,009","-0,009","0,018"
1276,"0,998","-0,020","-0,067","0,003","0,808","-0,583","0,069","-0,051","0,652","-0,731","-0,187","-0,073","0,963","0,256","-0,077","0,004","0,997","0,008","-0,078","-0,002","0,999","-0,026","-0,024","-0,024","1,000","0,009","-0,010","0,018"
1277,"0,998","-0,021","-0,067","0,003","0,808","-0,583","0,069","-0,051","0,651","-0,732","-0,187","-0,074","0,963","0,256","-0,077","0,004","0,997","0,007","-0,078","-0,002","0,999","-0,026","-0,025","-0,025","1,000","0,009","-0,010","0,018"
1278,"0,997","-0,021","-0,068","0,003","0,808","-0,583","0,069","-0,052","0,651","-0,732","-0,187","-0,074","0,963","0,257","-0,078","0,003","0,997","0,007","-0,078","-0,002","0,999","-0,026","-0,025","-0,025","1,000","0,010","-0,010","0,018"
