Index,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z
345,"0,000","-0,004","0,884","-0,006","-0,006","1,007","-0,005","0,006","0,946","0,001","0,002","0,954","0,007","-0,005","1,044","0,003","-0,001","0,957","0,002","-0,002","1,007"
346,"0,000","-0,002","0,882","-0,003","-0,012","1,003","0,002","0,002","0,953","-0,001","-0,004","0,947","0,003","-0,003","1,042","0,001","-0,002","0,958","0,005","-0,003","1,012"
347,"0,004","0,003","0,881","-0,002","-0,004","1,010","0,003","0,003","0,947","0,002","0,005","0,954","-0,001","0,003","1,041","-0,004","0,005","0,959","0,004","0,002","1,011"
348,"-0,001","0,000","0,883","-0,004","-0,001","1,007","-0,002","0,003","0,946","0,001","0,007","0,950","0,000","-0,002","1,039","-0,001","-0,002","0,964","0,003","-0,003","1,012"
349,"0,002","0,001","0,874","-0,002","-0,009","1,010","-0,002","-0,004","0,945","-0,003","0,008","0,952","0,002","-0,002","1,044","-0,003","0,002","0,961","0,006","-0,003","1,005"
350,"0,001","0,003","0,884","0,000","0,002","1,002","-0,002","0,002","0,948","0,001","0,004","0,949","0,003","0,001","1,043","0,001","0,004","0,962","0,005","0,000","1,004"
351,"-0,002","0,007","0,888","-0,004","-0,006","1,011","-0,002","0,001","0,942","0,001","0,004","0,957","0,001","-0,001","1,040","-0,002","-0,001","0,959","0,005","-0,002","1,009"
352,"0,000","0,001","0,887","-0,002","0,005","1,007","0,000","0,003","0,950","0,003","0,009","0,949","-0,001","-0,001","1,042","-0,005","-0,004","0,960","0,000","0,001","0,999"
353,"0,000","0,001","0,883","-0,001","-0,008","1,007","-0,004","0,003","0,942","0,002","0,005","0,948","0,001","-0,002","1,043","-0,004","0,001","0,961","0,006","-0,002","1,000"
354,"0,002","0,003","0,881","0,002","0,007","1,004","-0,003","0,001","0,942","0,000","0,002","0,951","0,000","-0,007","1,043","-0,005","-0,002","0,959","0,001","0,004","1,002"
355,"0,002","0,000","0,883","0,001","-0,004","1,005","0,001","0,000","0,947","0,004","0,000","0,949","-0,003","0,002","1,042","-0,003","0,000","0,960","0,004","-0,002","1,005"
