Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
517,"1,171","1,139","0,731","-0,106","0,306","0,543","0,244","0,534","-0,233","1,250","-1,317","-0,461","-0,405","0,206","-0,107","0,101","-0,240","-0,234","1,693","-0,920","0,183"
518,"1,221","1,108","0,765","-0,088","0,303","0,542","0,313","0,536","-0,220","1,283","-1,284","-0,476","-0,416","0,267","-0,108","0,036","-0,321","-0,255","1,738","-0,878","0,185"
519,"1,289","1,139","0,791","-0,076","0,233","0,542","0,313","0,632","-0,205","1,350","-1,311","-0,491","-0,386","0,284","-0,086","0,070","-0,385","-0,299","1,809","-0,896","0,187"
520,"1,354","1,165","0,809","-0,053","0,208","0,538","0,377","0,632","-0,185","1,399","-1,343","-0,506","-0,358","0,312","-0,054","0,060","-0,425","-0,344","1,883","-0,913","0,187"
521,"1,346","1,182","0,823","-0,057","0,157","0,531","0,413","0,671","-0,158","1,384","-1,355","-0,526","-0,364","0,303","-0,045","0,109","-0,449","-0,367","1,903","-0,899","0,184"
522,"1,340","1,214","0,841","-0,069","0,152","0,525","0,413","0,648","-0,123","1,402","-1,369","-0,552","-0,420","0,321","-0,063","0,108","-0,517","-0,366","1,927","-0,898","0,179"
523,"1,343","1,241","0,855","-0,070","0,164","0,534","0,424","0,656","-0,097","1,387","-1,409","-0,580","-0,423","0,314","-0,071","0,093","-0,550","-0,371","1,953","-0,901","0,172"
524,"1,365","1,307","0,861","-0,130","0,157","0,545","0,382","0,739","-0,074","1,399","-1,488","-0,609","-0,482","0,323","-0,064","0,098","-0,607","-0,388","2,010","-0,922","0,165"
525,"1,364","1,352","0,868","-0,122","0,161","0,549","0,417","0,787","-0,049","1,413","-1,585","-0,634","-0,483","0,320","-0,043","0,106","-0,603","-0,415","2,045","-0,931","0,158"
526,"1,381","1,382","0,889","-0,117","0,165","0,543","0,399","0,859","-0,016","1,445","-1,687","-0,658","-0,514","0,391","-0,030","0,109","-0,728","-0,453","2,084","-0,943","0,153"
527,"1,480","1,373","0,926","-0,085","0,165","0,522","0,386","0,947","0,030","1,514","-1,733","-0,677","-0,483","0,396","-0,029","0,064","-0,739","-0,496","2,142","-0,899","0,145"
528,"1,577","1,456","0,976","-0,086","0,200","0,487","0,397","1,039","0,089","1,567","-1,838","-0,698","-0,447","0,400","-0,052","0,044","-0,770","-0,525","2,185","-0,913","0,141"
529,"1,675","1,526","1,033","-0,066","0,268","0,459","0,407","1,097","0,149","1,616","-1,935","-0,724","-0,389","0,426","-0,082","0,015","-0,842","-0,556","2,223","-0,916","0,136"
530,"1,770","1,582","1,091","0,012","0,300","0,454","0,470","1,154","0,191","1,687","-1,983","-0,761","-0,324","0,462","-0,095","-0,005","-0,980","-0,599","2,260","-0,903","0,134"
531,"1,928","1,608","1,147","0,054","0,320","0,468","0,468","1,200","0,223","1,809","-2,000","-0,804","-0,235","0,451","-0,108","0,028","-0,987","-0,641","2,362","-0,878","0,131"
532,"2,041","1,595","1,204","0,085","0,266","0,479","0,522","1,304","0,251","1,896","-1,992","-0,848","-0,188","0,453","-0,129","0,037","-1,062","-0,672","2,442","-0,830","0,131"
533,"2,180","1,612","1,255","0,098","0,206","0,471","0,564","1,425","0,295","1,992","-2,010","-0,888","-0,125","0,459","-0,145","0,085","-1,122","-0,706","2,549","-0,816","0,132"
534,"2,286","1,643","1,300","0,104","0,146","0,453","0,613","1,506","0,347","2,076","-2,047","-0,928","-0,087","0,472","-0,152","0,075","-1,186","-0,740","2,647","-0,818","0,133"
535,"2,363","1,689","1,336","0,108","0,153","0,436","0,595","1,523","0,406","2,134","-2,102","-0,975","-0,052","0,489","-0,138","0,087","-1,254","-0,786","2,719","-0,837","0,135"
536,"2,463","1,679","1,370","0,095","0,119","0,425","0,554","1,584","0,459","2,219","-2,103","-1,021","-0,026","0,503","-0,133","0,121","-1,263","-0,823","2,812","-0,800","0,134"
537,"2,559","1,664","1,405","0,105","0,107","0,411","0,533","1,676","0,513","2,322","-2,105","-1,062","-0,019","0,528","-0,136","0,083","-1,337","-0,855","2,901","-0,755","0,131"
538,"2,694","1,711","1,446","0,104","0,064","0,387","0,528","1,720","0,566","2,419","-2,149","-1,095","0,063","0,596","-0,151","0,146","-1,417","-0,881","2,999","-0,761","0,131"
539,"2,818","1,707","1,484","0,101","0,123","0,356","0,562","1,778","0,616","2,487","-2,199","-1,119","0,110","0,635","-0,179","0,118","-1,455","-0,893","3,072","-0,708","0,129"
540,"2,911","1,771","1,522","0,142","0,143","0,316","0,567","1,863","0,667","2,564","-2,260","-1,136","0,183","0,671","-0,193","0,101","-1,529","-0,917","3,111","-0,694","0,129"
541,"2,996","1,820","1,560","0,179","0,149","0,265","0,546","1,938","0,726","2,638","-2,316","-1,148","0,240","0,695","-0,195","0,113","-1,605","-0,955","3,163","-0,650","0,128"
542,"3,076","1,873","1,600","0,220","0,153","0,205","0,574","2,041","0,792","2,727","-2,351","-1,161","0,265","0,697","-0,189","0,077","-1,739","-1,002","3,218","-0,601","0,126"
543,"3,144","1,927","1,637","0,282","0,191","0,143","0,602","2,110","0,863","2,829","-2,375","-1,173","0,322","0,654","-0,176","0,139","-1,826","-1,055","3,283","-0,547","0,120"
