Index,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z
56,"-0,153","-0,568","0,004","-0,458","-0,226","0,020","0,145","0,568","-0,037","-0,717","0,717","-0,054","0,034","0,289","0,010","-0,077","0,089","-0,001","-0,228","0,466","-0,344"
57,"0,078","-0,055","0,007","-0,322","-0,049","0,013","-0,004","-0,050","-0,040","-0,452","0,483","-0,054","0,614","-0,075","0,018","0,132","-0,064","-0,010","-0,297","0,127","-0,344"
58,"0,110","-0,144","0,011","0,289","-0,286","0,005","0,552","0,348","-0,043","0,219","0,403","-0,051","0,026","-0,065","0,023","-0,209","-0,238","-0,017","0,027","0,029","-0,343"
59,"-0,532","-0,370","0,011","0,730","-0,107","0,001","0,541","0,358","-0,048","0,046","0,259","-0,045","0,004","0,108","0,026","0,434","-0,255","-0,019","-0,273","0,206","-0,340"
60,"0,112","-0,279","0,013","0,087","-0,078","-0,007","0,558","0,280","-0,050","0,029","0,212","-0,036","0,542","0,441","0,023","0,548","-0,200","-0,012","0,033","0,054","-0,340"
61,"-0,006","-0,768","0,012","0,133","0,119","-0,019","-0,035","-0,075","-0,051","0,543","0,478","-0,029","-0,053","0,781","0,019","0,026","-0,627","-0,010","0,201","0,350","-0,340"
62,"-0,059","-0,190","0,009","0,258","0,140","-0,024","-0,260","0,283","-0,055","0,330","-0,137","-0,019","-0,139","0,235","0,024","0,115","-0,309","-0,011","-0,013","0,076","-0,338"
63,"0,517","0,172","0,002","-0,018","0,667","-0,033","0,067","0,062","-0,053","0,308","-0,543","-0,013","0,257","0,429","0,034","-0,141","-0,634","-0,016","0,249","-0,148","-0,336"
64,"-0,051","0,288","-0,001","0,006","0,615","-0,036","-0,406","0,528","-0,052","0,315","-0,530","-0,014","0,071","-0,144","0,046","-0,047","-0,650","-0,023","-0,071","-0,026","-0,334"
65,"0,225","-0,277","0,002","-0,155","0,660","-0,030","-0,153","-0,041","-0,057","0,414","-0,009","-0,024","0,340","-0,029","0,051","0,054","-0,121","-0,027","0,190","0,190","-0,330"
66,"0,068","-0,019","0,008","0,405","0,333","-0,012","-0,127","-0,060","-0,069","0,403","0,096","-0,035","0,248","-0,121","0,041","0,104","-0,445","-0,025","-0,153","0,226","-0,325"
67,"-0,049","-0,407","0,017","0,154","-0,138","-0,003","0,266","0,361","-0,077","-0,237","0,344","-0,043","0,438","0,497","0,028","0,013","-0,455","-0,021","-0,478","0,338","-0,319"
68,"0,556","-0,394","0,027","-0,066","-0,736","-0,005","-0,001","0,504","-0,076","-0,169","0,429","-0,049","0,489","0,419","0,015","-0,274","-0,562","-0,018","-0,180","0,166","-0,315"
69,"-0,083","-0,205","0,030","-0,048","-0,201","-0,007","0,240","0,591","-0,078","-0,668","-0,028","-0,053","0,464","0,525","0,007","-0,120","-0,383","-0,016","-0,475","-0,014","-0,311"
70,"-0,122","-0,337","0,033","0,463","-0,225","-0,011","0,642","0,070","-0,078","-0,115","0,363","-0,056","-0,138","0,272","0,003","-0,283","-0,484","-0,020","-0,166","0,135","-0,306"
71,"-0,115","-0,356","0,031","0,395","-0,197","-0,013","0,577","0,098","-0,080","-0,169","0,365","-0,056","-0,099","0,299","0,013","-0,263","-0,486","-0,027","-0,190","0,159","-0,302"
72,"-0,093","-0,338","0,026","0,378","-0,148","-0,006","0,540","0,115","-0,089","-0,165","0,304","-0,056","-0,035","0,322","0,028","-0,221","-0,468","-0,037","-0,201","0,126","-0,299"
73,"-0,078","-0,285","0,018","0,321","-0,109","0,003","0,489","0,111","-0,101","-0,210","0,264","-0,053","0,024","0,304","0,040","-0,161","-0,491","-0,040","-0,210","0,091","-0,297"
74,"-0,011","-0,290","0,013","0,259","-0,130","0,006","0,405","0,119","-0,111","-0,200","0,275","-0,045","0,081","0,301","0,044","-0,118","-0,504","-0,040","-0,176","0,077","-0,298"
75,"0,042","-0,304","0,010","0,260","-0,144","-0,001","0,356","0,164","-0,113","-0,143","0,307","-0,035","0,147","0,287","0,042","-0,082","-0,542","-0,039","-0,155","0,103","-0,300"
76,"0,045","-0,294","0,010","0,204","-0,117","-0,017","0,288","0,185","-0,108","-0,128","0,291","-0,023","0,140","0,252","0,034","-0,062","-0,560","-0,036","-0,119","0,103","-0,302"
77,"0,029","-0,225","0,012","0,209","-0,111","-0,029","0,258","0,204","-0,103","-0,092","0,266","-0,013","0,144","0,184","0,028","-0,073","-0,542","-0,038","-0,121","0,068","-0,305"
78,"0,016","-0,188","0,012","0,257","-0,143","-0,033","0,266","0,264","-0,102","-0,033","0,241","-0,007","0,130","0,200","0,026","-0,037","-0,539","-0,044","-0,099","0,041","-0,308"
79,"0,002","-0,145","0,013","0,302","-0,120","-0,032","0,263","0,261","-0,099","-0,050","0,194","-0,005","0,113","0,187","0,028","-0,087","-0,536","-0,051","-0,128","0,025","-0,311"
80,"0,037","-0,107","0,013","0,367","-0,095","-0,030","0,260","0,241","-0,097","0,020","0,171","-0,005","0,142","0,175","0,027","-0,059","-0,526","-0,056","-0,092","0,018","-0,314"
81,"0,070","-0,163","0,014","0,316","-0,056","-0,026","0,250","0,253","-0,095","0,038","0,157","-0,006","0,159","0,238","0,024","-0,033","-0,523","-0,060","-0,059","0,036","-0,317"
82,"0,097","-0,197","0,015","0,251","-0,014","-0,015","0,244","0,249","-0,097","0,000","0,169","-0,010","0,183","0,272","0,026","-0,045","-0,527","-0,068","-0,065","0,069","-0,320"
83,"0,032","-0,180","0,016","0,169","0,006","0,008","0,173","0,219","-0,107","-0,068","0,144","-0,015","0,122","0,245","0,026","-0,048","-0,478","-0,078","-0,091","0,053","-0,324"
84,"-0,030","-0,157","0,015","0,085","0,003","0,023","0,112","0,265","-0,111","-0,146","0,138","-0,021","0,123","0,210","0,030","-0,046","-0,457","-0,090","-0,122","0,056","-0,328"
85,"-0,030","-0,224","0,011","0,006","-0,019","0,025","0,028","0,280","-0,105","-0,187","0,175","-0,021","0,112","0,208","0,035","-0,079","-0,451","-0,099","-0,118","0,090","-0,334"
86,"0,007","-0,241","0,005","-0,051","-0,050","0,017","-0,026","0,311","-0,091","-0,172","0,194","-0,018","0,108","0,204","0,033","-0,112","-0,445","-0,098","-0,085","0,073","-0,341"
87,"0,034","-0,222","0,003","-0,035","-0,022","0,006","-0,047","0,310","-0,076","-0,143","0,166","-0,011","0,128","0,181","0,022","-0,124","-0,377","-0,092","-0,093","0,043","-0,350"
88,"0,077","-0,248","-0,002","-0,036","-0,031","-0,003","-0,132","0,304","-0,064","-0,073","0,174","-0,003","0,116","0,239","0,017","-0,112","-0,393","-0,094","-0,061","0,032","-0,361"
89,"0,117","-0,241","-0,008","0,002","0,018","-0,006","-0,115","0,279","-0,056","-0,018","0,132","0,005","0,177","0,248","0,020","-0,050","-0,359","-0,104","-0,049","0,003","-0,374"
90,"0,177","-0,222","-0,014","0,005","-0,019","-0,008","-0,108","0,265","-0,048","-0,004","0,150","0,012","0,211","0,197","0,028","-0,023","-0,302","-0,118","-0,015","0,001","-0,386"
91,"0,240","-0,215","-0,018","0,017","-0,020","-0,018","-0,132","0,320","-0,035","0,033","0,128","0,020","0,210","0,171","0,027","-0,033","-0,330","-0,128","0,019","0,009","-0,400"
92,"0,213","-0,225","-0,018","0,020","-0,035","-0,025","-0,123","0,292","-0,022","0,003","0,180","0,026","0,208","0,116","0,015","0,022","-0,330","-0,131","0,017","0,044","-0,414"
93,"0,230","-0,204","-0,018","-0,047","-0,038","-0,028","-0,182","0,260","-0,013","0,004","0,207","0,031","0,173","0,108","0,000","-0,025","-0,357","-0,133","0,050","0,056","-0,429"
94,"0,224","-0,185","-0,019","-0,116","-0,008","-0,024","-0,208","0,286","-0,007","0,001","0,172","0,032","0,177","0,101","-0,013","-0,012","-0,343","-0,135","0,078","0,039","-0,443"
95,"0,155","-0,195","-0,027","-0,185","0,021","-0,008","-0,212","0,288","-0,009","-0,070","0,169","0,031","0,116","0,125","-0,016","-0,005","-0,393","-0,139","0,043","0,043","-0,457"
96,"0,156","-0,220","-0,045","-0,170","0,060","0,015","-0,244","0,276","-0,016","-0,003","0,171","0,030","0,116","0,156","-0,006","0,063","-0,434","-0,147","0,078","0,048","-0,472"
97,"0,137","-0,283","-0,062","-0,122","0,028","0,034","-0,230","0,330","-0,018","0,008","0,200","0,027","0,156","0,182","0,010","0,089","-0,460","-0,163","0,053","0,073","-0,486"
98,"0,073","-0,325","-0,075","-0,061","-0,001","0,041","-0,167","0,320","-0,010","0,017","0,231","0,024","0,150","0,185","0,022","0,144","-0,477","-0,176","0,026","0,091","-0,499"
99,"0,023","-0,335","-0,084","-0,056","-0,027","0,039","-0,225","0,326","0,003","0,035","0,268","0,023","0,155","0,156","0,021","0,157","-0,464","-0,182","0,007","0,121","-0,511"
100,"0,004","-0,365","-0,086","-0,047","0,006","0,039","-0,214","0,294","0,012","0,092","0,294","0,024","0,086","0,172","0,013","0,160","-0,515","-0,184","0,029","0,151","-0,523"
101,"-0,019","-0,394","-0,081","0,009","-0,024","0,043","-0,185","0,278","0,015","0,143","0,335","0,024","0,059","0,133","0,008","0,209","-0,468","-0,192","0,045","0,183","-0,534"
102,"-0,036","-0,335","-0,074","-0,004","-0,061","0,049","-0,249","0,268","0,014","0,171","0,334","0,027","0,010","0,082","-0,002","0,191","-0,416","-0,199","0,049","0,152","-0,545"
