Index,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z
807,"0,113","-0,103","0,325","0,048","-0,106","0,441","0,404","-0,289","0,211","0,279","-0,125","-0,375","0,034","-0,046","-0,109","0,056","0,205","-0,022","-0,076","-0,113","-0,064"
808,"0,418","0,176","0,545","0,104","-0,059","0,365","0,307","-0,519","0,242","0,249","-0,067","-0,132","0,081","-0,007","0,262","0,112","0,194","-0,001","0,101","-0,074","-0,152"
809,"0,480","0,030","0,340","0,072","-0,188","0,019","0,255","-0,489","0,303","0,265","-0,039","-0,014","0,024","0,095","0,168","-0,035","-0,037","-0,083","0,040","-0,014","-0,164"
810,"0,361","0,113","0,046","0,067","-0,079","-0,064","0,316","-0,362","0,354","0,280","0,048","0,090","-0,033","0,004","0,065","0,066","-0,021","0,007","0,157","-0,091","-0,216"
811,"0,178","0,070","-0,069","0,078","-0,056","0,055","0,380","-0,442","0,327","0,257","0,066","-0,101","-0,026","-0,045","-0,112","0,134","-0,135","0,117","0,400","-0,096","-0,234"
812,"0,117","-0,087","-0,139","0,034","0,099","0,216","0,547","-0,376","0,255","0,226","-0,050","-0,322","-0,024","-0,062","-0,170","0,100","-0,078","0,062","0,284","0,099","-0,215"
813,"0,301","-0,098","-0,331","0,154","-0,083","0,241","0,475","-0,333","0,233","0,052","-0,030","-0,241","-0,084","-0,003","-0,189","0,088","-0,163","0,049","0,288","-0,002","-0,124"
814,"0,301","-0,041","-0,353","0,017","-0,055","0,060","0,183","-0,196","0,096","0,144","0,024","-0,013","-0,023","-0,137","-0,213","0,246","-0,158","0,160","0,284","-0,077","-0,166"
815,"0,179","-0,018","-0,297","0,128","-0,021","-0,081","0,297","-0,100","0,086","0,341","0,047","0,082","0,098","-0,062","-0,165","0,246","0,218","0,009","0,223","-0,135","-0,145"
816,"0,057","0,084","-0,206","0,095","0,098","0,211","-0,141","0,080","0,167","0,220","0,050","0,097","-0,037","-0,039","0,140","0,302","0,019","0,106","0,237","-0,086","0,031"
817,"0,118","-0,075","-0,275","0,266","0,011","0,088","-0,136","0,245","-0,032","0,115","0,082","0,230","-0,091","-0,087","-0,039","0,314","0,103","0,119","0,045","-0,115","-0,073"
818,"0,240","-0,041","-0,353","0,294","-0,120","-0,264","-0,059","0,116","-0,025","0,070","0,112","0,355","-0,212","-0,028","-0,060","0,380","-0,134","0,170","0,120","-0,068","0,098"
819,"0,422","-0,010","-0,102","0,215","-0,025","0,224","-0,046","0,189","0,073","0,009","0,114","0,363","-0,086","0,014","-0,130","0,224","-0,016","0,118","0,059","-0,125","0,119"
820,"0,359","-0,079","0,055","0,221","0,107","0,260","-0,521","0,393","-0,013","-0,393","0,114","0,100","0,046","-0,127","-0,403","0,222","0,049","-0,017","0,055","-0,083","0,044"
