movement,phase,aspect_id,aspect_name,video_id,aspect_deviation
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),028,0.0
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),030,0.0
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),045,0.4661
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),047,0.7218
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),059,0.4391
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),061,0.4321
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),074,0.785
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),076,0.5571
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),091,0.7724
2a_1,f3,3,Bäckenet fortsätter framåt tillsammans med bålen (flexion momentum),093,0.7761
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,028,0.0
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,030,0.0
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,045,0.5005
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,047,0.8695
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,059,1.0
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,061,1.0
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,074,0.5157
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,076,0.9849
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,091,0.8667
2a_1,f3,4,Huvudet följer i linje med bålens längsaxel,093,0.2011
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,028,0.0
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,030,0.0
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,045,0.5
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,047,1.0
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,059,0.5
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,061,1.0
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,074,1.0
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,076,0.5
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,091,0.5
2a_1,f3,5,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,093,1.0
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,028,0.0
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,030,0.0
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,045,0.4214
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,047,0.512
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,059,0.5545
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,061,0.4926
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,074,0.785
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,076,0.4938
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,091,0.8602
2a_1,f3,6,Bålen förflyttas ytterligare framåt med tillräcklig hastighet,093,1.0
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),028,0.0
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),030,0.0
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),045,0.398
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),047,0.266
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),059,0.4978
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),061,0.5377
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),074,0.5426
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),076,0.2255
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),091,0.5281
2a_1,f3,8,Knät och underbenets proximala del förflyttas rakt framåt (dorsalflexion i fotlederna),093,0.8071
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,028,0.0
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,030,0.0
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,045,0.9956
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,047,0.3722
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,059,0.5268
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,061,0.9498
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,074,0.588
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,076,0.1695
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,091,0.4458
2a_1,f3,9,Sträcker knä- och höftleder till neutralläge för stående,093,0.7106
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,028,0.0
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,030,0.0
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,045,0.1447
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,047,1.0
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,059,1.0
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,061,0.1525
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,074,0.6503
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,076,0.2236
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,091,0.7151
2a_1,f3,10,Bålen vinklas upp till neutral stående utgångsposition,093,0.4548
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,028,0.0
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,030,0.0
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,045,0.5005
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,047,0.8695
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,059,1.0
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,061,1.0
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,074,0.5157
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,076,0.9849
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,091,0.8667
2a_1,f3,11,Nacke och skuldror följer hela bålens rörelse.,093,0.2011
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,028,0.0
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,030,0.0
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,045,0.5
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,047,1.0
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,059,0.5
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,061,1.0
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,074,1.0
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,076,0.5
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,091,0.5
2a_1,f3,12,Händer och armar följer avslappnat med i rörelsen utan aktivt tryck/drag/pendling,093,1.0
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",028,0.0
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",030,0.0
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",045,0.7182
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",047,0.4299
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",059,1.0
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",061,0.8222
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",074,0.3173
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",076,1.0
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",091,0.1631
2a_2,f1,1,"Står med fötterna parallellt, riktade rakt fram",093,0.4492
2a_2,f1,2,Står med fötterna rakt under höftlederna,028,0.0
2a_2,f1,2,Står med fötterna rakt under höftlederna,030,0.0
2a_2,f1,2,Står med fötterna rakt under höftlederna,045,0.3787
2a_2,f1,2,Står med fötterna rakt under höftlederna,047,0.415
2a_2,f1,2,Står med fötterna rakt under höftlederna,059,1.0
2a_2,f1,2,Står med fötterna rakt under höftlederna,061,0.7166
2a_2,f1,2,Står med fötterna rakt under höftlederna,074,0.5424
2a_2,f1,2,Står med fötterna rakt under höftlederna,076,0.9164
2a_2,f1,2,Står med fötterna rakt under höftlederna,091,0.3474
2a_2,f1,2,Står med fötterna rakt under höftlederna,093,0.7246
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,028,0.0
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,030,0.0
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,045,0.693
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,047,0.5092
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,059,0.2986
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,061,0.7248
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,074,0.6734
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,076,0.207
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,091,0.4675
2a_2,f1,4,Knäskålarna riktade mot mellersta tån,093,0.204
2a_2,f1,5,Knäna neutralt semiflekterade,028,0.0
2a_2,f1,5,Knäna neutralt semiflekterade,030,0.0
2a_2,f1,5,Knäna neutralt semiflekterade,045,0.5485
2a_2,f1,5,Knäna neutralt semiflekterade,047,0.425
2a_2,f1,5,Knäna neutralt semiflekterade,059,0.1816
2a_2,f1,5,Knäna neutralt semiflekterade,061,1.0
2a_2,f1,5,Knäna neutralt semiflekterade,074,0.4017
2a_2,f1,5,Knäna neutralt semiflekterade,076,0.2002
2a_2,f1,5,Knäna neutralt semiflekterade,091,0.7517
2a_2,f1,5,Knäna neutralt semiflekterade,093,0.1216
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,028,0.0
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,030,0.0
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,045,0.9369
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,047,0.4045
2a_2,f1,6,Bäckenet neutralt framåttippat i sagittalplan,059,0.5528
