frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
22,0,-0.583378,0.551482,0.76127094,-0.5404681,0.55190825,0.7341941,-0.5379213,0.5913557,0.5229664,-0.5178915,0.60825944,0.7455731,-0.5336583,0.5495385,0.66233754,-0.5310859,0.5471341,0.5709945,-0.5486483,0.6751551,0.82210034,-0.5196744,0.6636699,0.8497767,-0.482575,0.73806,0.846684,-0.4541021,0.71331894,0.93550557,-0.4878665,0.8650383,0.8040461,-0.46774969,0.84326714,0.9512965
23,0,-0.58294463,0.5535188,0.671855,-0.54183257,0.54986244,0.80509424,-0.53880984,0.5910001,0.42802355,-0.517568,0.60831034,0.83736587,-0.5326046,0.55275697,0.4019237,-0.53055423,0.5668641,0.32474056,-0.5491187,0.677675,0.7926805,-0.5212494,0.6669119,0.85323095,-0.48337835,0.73872864,0.80964035,-0.45367786,0.7156228,0.7596207,-0.48908138,0.86378944,0.8407555,-0.46804968,0.84411055,0.88913757
24,0,-0.5830923,0.55330026,0.8050124,-0.54041237,0.55200034,0.72702056,-0.53925365,0.5903032,0.49725768,-0.5178912,0.6056695,0.89088476,-0.53361917,0.55202204,0.65913945,-0.53148264,0.5537877,0.31198886,-0.54653615,0.67911375,0.76904786,-0.5192686,0.6669136,0.77435595,-0.482846,0.73972917,0.72588295,-0.454721,0.71428084,0.846447,-0.48761123,0.8665531,0.75657225,-0.4678321,0.8441702,0.87758523
25,0,-0.5830706,0.55432814,0.90883803,-0.5420007,0.5502341,0.74081993,-0.53711563,0.59152097,0.5347419,-0.5182831,0.6056452,0.84098506,-0.5329138,0.54931694,0.5694277,-0.5313386,0.5493658,0.3211371,-0.5483926,0.6784084,0.7749252,-0.5194056,0.6682025,0.77471334,-0.48304424,0.73608804,0.7656433,-0.45355177,0.71444136,0.8517527,-0.488664,0.86532164,0.8732371,-0.46767992,0.8447397,0.89080083
26,0,-0.58297676,0.55295986,0.7363159,-0.5420713,0.55074066,0.7175238,-0.5380393,0.59177667,0.5675932,-0.51788527,0.60728574,0.7478871,-0.532738,0.5491127,0.5630224,-0.53124887,0.54873556,0.39076337,-0.5492653,0.6766067,0.7501683,-0.51984924,0.6655813,0.72986436,-0.482649,0.7366149,0.7420201,-0.4534207,0.7150188,0.85791206,-0.48863474,0.8663859,0.87597096,-0.46798936,0.8434671,0.92990565
27,0,-0.58279824,0.55256385,0.7340517,-0.5414941,0.55135983,0.78522253,-0.5390475,0.5899788,0.51777226,-0.5180122,0.604995,0.8906639,-0.5329285,0.55127543,0.6847965,-0.5305965,0.553047,0.41388828,-0.54821485,0.6790913,0.8657406,-0.5198179,0.66718936,0.7706327,-0.48293415,0.73913395,0.8419604,-0.45383117,0.7136655,0.8992378,-0.48871964,0.86546576,0.85124856,-0.4673787,0.84353083,0.88831854
28,0,-0.5824731,0.55374926,0.6842623,-0.5414274,0.552103,0.7428005,-0.53840584,0.59117335,0.50319636,-0.51850146,0.60516405,0.8581156,-0.53258747,0.54926616,0.45755637,-0.5312966,0.5505476,0.36337256,-0.5470899,0.67916423,0.7741643,-0.519179,0.66824806,0.65487456,-0.48351294,0.7384849,0.8019822,-0.45423138,0.7146237,0.8793182,-0.48828337,0.8663608,0.8201988,-0.46765962,0.843239,0.8768978
29,0,-0.5819112,0.5544935,0.89117825,-0.54198956,0.5518979,0.7138714,-0.53847384,0.5918738,0.5178482,-0.51857,0.60555583,0.8152779,-0.5327689,0.55050844,0.45004863,-0.5307335,0.5509918,0.33195543,-0.5473668,0.68115354,0.7907372,-0.51909965,0.66983587,0.6704243,-0.4837974,0.7387766,0.8248313,-0.45381674,0.7154119,0.7516483,-0.48871765,0.8649342,0.85745203,-0.46755883,0.84393287,0.85925967
30,0,-0.5812332,0.5544667,0.6570557,-0.54164636,0.5518339,0.6318263,-0.5393556,0.5916013,0.44718632,-0.5188219,0.6053538,0.8145809,-0.5322152,0.5511362,0.49432603,-0.53068584,0.55109364,0.32386687,-0.5468729,0.68072015,0.705743,-0.5197212,0.6700285,0.7943469,-0.4836898,0.73770225,0.70033014,-0.45394954,0.71568364,0.8612849,-0.48930606,0.8661727,0.84091616,-0.46746534,0.84468925,0.93442905
31,0,-0.58163434,0.55423784,0.6399914,-0.54132706,0.55261827,0.703125,-0.5387983,0.59160995,0.4906294,-0.5183921,0.6061834,0.55885154,-0.5327138,0.55015695,0.3892724,-0.5314579,0.5515082,0.4089235,-0.5470463,0.6804044,0.74438685,-0.51947093,0.66998005,0.8138012,-0.4836574,0.73759496,0.75457263,-0.4538101,0.71571404,0.89373,-0.48930073,0.8658689,0.8600179,-0.46785936,0.8445502,0.77705276
