Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1307,"0,022","0,072","0,939","-0,010","0,249","0,970","0,049","0,227","0,986","-0,049","0,018","1,013","-0,022","0,084","0,952","-0,098","-1,013","-0,244","0,100","-1,005","-0,182"
1308,"0,022","0,072","0,938","-0,018","0,244","0,968","0,044","0,223","0,990","-0,056","0,017","1,011","-0,015","0,078","0,955","-0,104","-1,014","-0,244","0,094","-1,006","-0,180"
1309,"0,025","0,076","0,941","-0,015","0,251","0,974","0,043","0,235","0,991","-0,056","0,013","1,014","-0,015","0,083","0,958","-0,105","-1,016","-0,248","0,084","-1,002","-0,184"
1310,"0,028","0,074","0,936","-0,022","0,250","0,965","0,046","0,236","0,991","-0,057","0,012","1,009","-0,011","0,086","0,959","-0,110","-1,017","-0,249","0,091","-1,003","-0,180"
1311,"0,018","0,070","0,937","-0,011","0,236","0,970","0,058","0,231","0,993","-0,050","0,009","1,008","-0,014","0,079","0,952","-0,104","-1,013","-0,252","0,094","-1,005","-0,178"
1312,"0,024","0,078","0,938","-0,009","0,239","0,977","0,057","0,235","0,984","-0,049","0,016","1,008","-0,012","0,083","0,954","-0,100","-1,014","-0,244","0,081","-1,000","-0,180"
1313,"0,026","0,074","0,938","-0,013","0,239","0,978","0,056","0,226","0,991","-0,046","0,017","1,013","-0,016","0,078","0,949","-0,095","-1,015","-0,250","0,078","-1,004","-0,189"
1314,"0,028","0,072","0,940","-0,009","0,237","0,979","0,050","0,228","0,993","-0,045","0,014","1,017","-0,013","0,082","0,959","-0,111","-1,013","-0,246","0,091","-1,000","-0,194"
1315,"0,024","0,080","0,937","-0,001","0,231","0,975","0,046","0,228","0,994","-0,045","0,012","1,022","-0,015","0,082","0,954","-0,106","-1,015","-0,252","0,093","-0,997","-0,188"
1316,"0,031","0,076","0,945","-0,012","0,234","0,978","0,052","0,234","1,001","-0,046","0,013","1,018","-0,009","0,083","0,955","-0,110","-1,022","-0,252","0,088","-1,000","-0,195"
1317,"0,026","0,076","0,941","-0,007","0,229","0,982","0,050","0,231","0,995","-0,047","0,016","1,017","-0,016","0,081","0,959","-0,108","-1,019","-0,248","0,092","-0,999","-0,196"
1318,"0,028","0,075","0,937","-0,009","0,230","0,982","0,046","0,229","0,991","-0,046","0,014","1,017","-0,013","0,081","0,956","-0,108","-1,013","-0,249","0,097","-0,991","-0,203"
1319,"0,034","0,078","0,946","-0,004","0,231","0,977","0,048","0,230","0,985","-0,042","0,017","1,020","-0,011","0,079","0,954","-0,103","-1,014","-0,259","0,092","-0,993","-0,199"
1320,"0,033","0,074","0,940","-0,006","0,229","0,973","0,049","0,229","0,987","-0,047","0,016","1,018","-0,011","0,079","0,953","-0,105","-1,013","-0,247","0,085","-1,000","-0,198"
1321,"0,022","0,078","0,939","-0,012","0,238","0,975","0,055","0,233","0,995","-0,048","0,016","1,019","-0,011","0,085","0,958","-0,100","-1,026","-0,255","0,081","-1,001","-0,192"
1322,"0,022","0,071","0,938","-0,017","0,244","0,972","0,059","0,240","0,995","-0,045","0,015","1,016","-0,009","0,080","0,957","-0,101","-1,016","-0,252","0,079","-1,004","-0,186"
1323,"0,029","0,075","0,942","-0,025","0,238","0,974","0,061","0,232","0,994","-0,053","0,013","1,021","-0,011","0,084","0,953","-0,099","-1,016","-0,254","0,084","-1,002","-0,190"
1324,"0,024","0,074","0,936","-0,019","0,244","0,968","0,049","0,222","0,990","-0,052","0,016","1,021","-0,013","0,080","0,955","-0,098","-1,017","-0,256","0,088","-1,001","-0,189"
1325,"0,022","0,077","0,934","-0,016","0,239","0,973","0,049","0,225","0,989","-0,052","0,016","1,018","-0,010","0,084","0,961","-0,095","-1,013","-0,257","0,080","-1,004","-0,193"
