Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
1356,"0,030","-0,011","0,943","-0,091","0,028","1,000","-0,281","-1,059","0,098","-0,026","-0,076","1,008","-0,331","-0,917","-0,235","-0,094","0,351","0,947","-0,087","0,016","1,009"
1357,"0,034","-0,008","0,942","-0,086","0,039","1,001","-0,278","-1,055","0,100","-0,031","-0,074","1,017","-0,327","-0,912","-0,238","-0,095","0,353","0,951","-0,087","0,016","1,015"
1358,"0,019","-0,008","0,948","-0,102","0,045","1,001","-0,268","-1,053","0,106","-0,036","-0,079","1,018","-0,325","-0,906","-0,242","-0,096","0,354","0,950","-0,088","0,008","1,017"
1359,"0,014","-0,013","0,945","-0,117","0,063","0,991","-0,253","-1,060","0,110","-0,034","-0,074","1,016","-0,342","-0,898","-0,236","-0,084","0,354","0,949","-0,097","0,011","1,010"
1360,"0,005","-0,020","0,950","-0,139","0,070","0,981","-0,243","-1,061","0,106","-0,029","-0,080","1,014","-0,357","-0,909","-0,239","-0,070","0,352","0,950","-0,112","0,022","1,016"
1361,"0,000","-0,016","0,944","-0,144","0,081","0,982","-0,243","-1,057","0,111","-0,031","-0,085","1,013","-0,366","-0,917","-0,218","-0,057","0,351","0,950","-0,130","0,044","1,016"
1362,"0,017","-0,008","0,945","-0,130","0,074","0,974","-0,236","-1,054","0,121","-0,036","-0,089","1,012","-0,361","-0,928","-0,213","-0,050","0,356","0,950","-0,146","0,050","1,021"
1363,"0,019","-0,011","0,943","-0,106","0,076","0,988","-0,231","-1,054","0,125","-0,037","-0,088","1,010","-0,327","-0,925","-0,220","-0,040","0,352","0,957","-0,137","0,059","1,020"
1364,"0,021","-0,005","0,944","-0,089","0,070","0,998","-0,230","-1,058","0,128","-0,037","-0,090","1,015","-0,305","-0,915","-0,236","-0,038","0,360","0,961","-0,117","0,050","1,027"
1365,"0,026","-0,011","0,943","-0,090","0,064","0,996","-0,234","-1,066","0,130","-0,036","-0,084","1,013","-0,298","-0,912","-0,233","-0,042","0,364","0,963","-0,107","0,045","1,020"
1366,"0,027","-0,005","0,945","-0,086","0,062","0,990","-0,240","-1,069","0,118","-0,044","-0,087","1,021","-0,313","-0,914","-0,225","-0,037","0,359","0,960","-0,089","0,042","1,017"
1367,"0,027","-0,009","0,939","-0,095","0,062","0,989","-0,234","-1,063","0,111","-0,041","-0,085","1,020","-0,318","-0,939","-0,216","-0,039","0,356","0,957","-0,079","0,033","1,015"
1368,"0,030","-0,005","0,948","-0,108","0,055","0,998","-0,235","-1,070","0,115","-0,037","-0,085","1,026","-0,321","-0,950","-0,213","-0,042","0,361","0,954","-0,086","0,034","1,006"
1369,"0,020","-0,008","0,946","-0,114","0,053","0,993","-0,238","-1,074","0,119","-0,039","-0,085","1,029","-0,321","-0,958","-0,227","-0,041","0,357","0,958","-0,093","0,040","1,015"
1370,"0,025","-0,008","0,942","-0,098","0,057","0,996","-0,235","-1,080","0,121","-0,033","-0,085","1,022","-0,322","-0,946","-0,252","-0,044","0,363","0,955","-0,093","0,028","1,020"
1371,"0,028","-0,005","0,946","-0,099","0,061","0,991","-0,242","-1,087","0,121","-0,035","-0,084","1,020","-0,339","-0,944","-0,255","-0,061","0,364","0,966","-0,097","0,032","1,022"
1372,"0,017","-0,007","0,943","-0,096","0,066","0,993","-0,248","-1,077","0,120","-0,034","-0,086","1,020","-0,359","-0,945","-0,239","-0,077","0,359","0,957","-0,096","0,024","1,025"
1373,"0,021","-0,011","0,945","-0,108","0,058","0,993","-0,249","-1,068","0,120","-0,039","-0,082","1,026","-0,349","-0,959","-0,223","-0,084","0,352","0,959","-0,103","0,023","1,026"
1374,"0,011","-0,015","0,943","-0,122","0,053","0,993","-0,251","-1,059","0,118","-0,039","-0,083","1,019","-0,301","-0,971","-0,216","-0,097","0,361","0,957","-0,113","0,024","1,020"
1375,"0,026","-0,005","0,943","-0,117","0,053","0,993","-0,247","-1,062","0,128","-0,044","-0,082","1,023","-0,224","-0,982","-0,221","-0,091","0,367","0,956","-0,120","0,023","1,020"
1376,"0,037","-0,003","0,940","-0,103","0,039","0,995","-0,232","-1,063","0,137","-0,035","-0,088","1,018","-0,180","-0,987","-0,246","-0,075","0,371","0,959","-0,118","0,022","1,023"
1377,"0,043","-0,004","0,937","-0,086","0,024","0,998","-0,230","-1,067","0,139","-0,032","-0,090","1,019","-0,219","-0,969","-0,253","-0,063","0,371","0,954","-0,106","0,020","1,023"
1378,"0,044","0,002","0,945","-0,057","0,021","1,007","-0,213","-1,078","0,141","-0,042","-0,086","1,022","-0,285","-0,976","-0,224","-0,045","0,382","0,955","-0,090","0,011","1,023"
1379,"0,050","-0,002","0,950","-0,046","0,022","1,011","-0,196","-1,094","0,138","-0,040","-0,083","1,022","-0,342","-1,006","-0,198","-0,037","0,377","0,954","-0,080","0,001","1,024"
1380,"0,031","-0,013","0,946","-0,069","0,038","1,012","-0,201","-1,102","0,143","-0,044","-0,081","1,028","-0,380","-1,004","-0,198","-0,032","0,375","0,954","-0,073","-0,007","1,026"
