Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
45,"0,119","-0,263","-0,039","0,108","-0,028","0,014","-0,245","0,234","-0,075","0,283","0,060","-0,043","0,136","-0,041","-0,177","-0,179","-0,347","-0,086","0,057","0,144","-0,419"
46,"0,068","0,053","-0,112","0,117","0,159","0,129","-0,130","-0,127","-0,660","0,160","0,167","0,040","0,475","0,022","0,007","0,017","-0,238","-0,201","0,051","0,293","-0,333"
47,"-0,018","-0,022","0,030","-0,080","0,114","-0,107","0,021","-0,269","-0,950","-0,083","0,139","-0,018","0,326","0,221","-0,030","0,160","-0,042","-0,290","-0,008","0,284","-0,321"
48,"-0,243","-0,218","0,052","-0,145","0,089","-0,159","0,020","-0,460","-0,921","0,160","0,167","0,040","-0,033","0,572","-0,317","0,174","-0,005","-0,101","-0,037","0,250","-0,178"
49,"-0,459","0,030","0,050","-0,330","0,010","-0,179","0,178","-0,297","-0,609","0,343","0,112","0,068","-0,413","0,447","-0,059","0,172","0,180","-0,157","0,067","0,401","-0,174"
50,"-0,406","0,000","-0,011","-0,148","0,064","-0,215","0,020","-0,129","-0,402","0,342","0,138","0,123","-0,229","0,191","0,032","0,077","0,265","-0,205","0,070","0,326","-0,217"
51,"-0,241","0,069","-0,083","-0,334","0,041","-0,260","-0,010","0,011","-0,125","0,585","0,166","0,181","-0,419","0,175","0,004","0,055","0,134","-0,237","0,206","0,378","-0,125"
52,"-0,452","-0,055","0,036","-0,270","0,065","-0,208","-0,019","0,178","0,341","0,645","0,192","0,237","-0,537","0,137","-0,231","0,029","-0,017","-0,068","0,103","0,227","-0,129"
53,"-0,321","-0,332","-0,082","-0,149","0,120","-0,240","-0,009","0,342","0,394","0,585","0,111","0,207","-0,501","0,080","-0,177","-0,116","-0,029","-0,035","0,016","0,168","-0,291"
54,"-0,143","-0,312","-0,120","0,040","0,169","-0,140","0,000","0,261","0,503","-0,086","0,298","0,177","-0,193","0,012","0,027","-0,146","-0,253","0,090","-0,096","0,241","-0,166"
55,"0,168","0,079","-0,221","0,045","0,138","-0,059","-0,148","0,208","0,272","-0,144","0,139","-0,018","-0,054","0,188","-0,087","-0,211","-0,387","-0,017","0,088","0,360","-0,101"
56,"0,234","0,243","-0,121","-0,090","-0,017","-0,248","-0,106","0,124","0,103","-0,083","0,224","-0,125","-0,033","0,112","-0,180","-0,060","-0,539","-0,196","0,130","0,277","0,044"
57,"0,390","-0,011","-0,107","-0,208","0,009","-0,186","-0,207","0,068","-0,270","0,224","0,147","-0,287","0,187","-0,200","-0,034","-0,080","-0,412","-0,239","0,373","0,405","0,097"
58,"0,121","0,024","-0,174","-0,135","-0,026","0,027","-0,248","0,012","-0,649","0,529","0,230","-0,254","0,362","-0,081","-0,094","-0,012","-0,258","-0,333","0,362","0,164","0,169"
59,"0,062","0,138","-0,098","0,054","0,023","0,128","-0,083","-0,130","-0,802","0,650","0,176","-0,227","0,295","-0,033","-0,068","-0,032","-0,130","-0,376","0,265","-0,194","0,352"
60,"0,193","0,103","-0,089","0,120","-0,063","0,230","-0,021","-0,185","-0,781","0,346","0,119","-0,204","0,198","0,099","-0,278","0,045","0,171","-0,382","0,132","-0,378","0,490"
61,"-0,175","0,112","-0,047","0,037","-0,296","-0,128","0,257","0,029","-0,510","0,038","0,166","0,039","0,105","0,074","-0,037","-0,020","0,534","-0,309","-0,007","-0,355","0,441"
62,"-0,111","-0,253","0,061","0,095","-0,130","-0,208","0,039","-0,046","-0,240","-0,083","0,139","-0,018","0,115","0,035","-0,084","0,097","0,580","-0,229","-0,155","-0,349","0,335"
63,"-0,090","-0,100","-0,055","0,098","-0,105","-0,152","0,023","0,094","0,172","0,159","0,137","0,121","0,192","0,195","-0,038","0,247","0,666","-0,217","-0,165","-0,067","0,191"
64,"-0,018","-0,022","0,030","0,222","-0,025","-0,129","-0,020","0,232","0,313","0,159","0,137","0,121","0,285","0,006","-0,022","0,183","0,640","0,167","0,098","0,078","0,043"
65,"-0,018","-0,142","-0,033","0,230","-0,030","0,007","-0,008","0,288","0,421","0,160","0,056","0,092","0,346","-0,069","0,133","0,312","0,410","0,202","0,128","0,352","0,087"
66,"-0,124","-0,084","0,090","0,047","0,028","-0,008","0,183","0,447","0,455","0,344","0,005","-0,016","0,095","-0,011","-0,050","0,167","0,398","0,235","0,097","0,376","-0,043"
67,"-0,137","-0,035","0,056","-0,010","-0,002","0,076","-0,025","0,396","0,231","0,407","0,009","-0,152","0,244","-0,087","0,046","0,060","0,262","0,053","0,033","0,517","0,055"
68,"-0,221","0,177","0,063","-0,132","-0,001","0,083","0,084","0,338","0,110","0,039","0,004","-0,020","0,331","-0,089","-0,014","-0,338","0,544","-0,130","0,030","0,293","0,184"
69,"0,100","0,112","0,069","-0,063","-0,006","0,215","0,251","0,333","-0,045","0,160","0,030","0,037","0,136","0,082","-0,117","0,071","0,376","-0,305","-0,057","0,250","0,339"
70,"0,048","0,021","0,067","-0,003","0,049","0,187","0,135","0,086","-0,525","0,221","0,167","0,041","0,234","0,288","-0,105","0,132","0,435","-0,243","-0,072","0,084","0,453"
71,"0,264","-0,106","0,131","0,070","0,205","0,379","0,071","-0,049","-0,517","0,403","0,084","0,150","0,079","0,338","-0,020","0,238","0,518","-0,306","-0,208","0,032","0,362"
72,"0,520","-0,092","0,164","0,005","0,236","0,302","0,107","-0,160","-0,740","0,344","0,005","-0,016","0,141","0,477","-0,121","0,295","0,451","-0,534","-0,040","0,043","0,268"
73,"0,257","-0,142","0,083","-0,198","0,085","-0,020","0,014","-0,156","-0,456","0,285","0,008","-0,153","-0,003","0,489","-0,082","0,442","0,278","-0,511","0,201","0,228","0,047"
74,"0,079","-0,403","-0,006","-0,079","0,059","-0,082","0,102","0,089","-0,247","0,589","0,091","-0,121","0,038","0,459","-0,208","0,384","0,087","-0,273","-0,047","0,250","0,080"
75,"0,022","-0,002","-0,065","-0,150","0,175","-0,265","-0,184","0,233","-0,081","0,468","0,119","-0,203","-0,193","0,349","-0,170","0,160","-0,042","-0,290","0,041","0,293","-0,074"
76,"-0,116","0,118","-0,060","-0,019","0,058","-0,086","-0,333","0,320","0,236","-0,202","0,090","-0,266","-0,188","0,162","-0,094","-0,094","-0,395","-0,182","0,093","0,210","-0,187"
77,"-0,209","-0,113","-0,029","-0,088","-0,128","-0,197","-0,468","0,409","0,688","-0,449","0,193","-0,048","-0,003","-0,094","-0,004","-0,177","-0,585","-0,277","-0,034","0,176","-0,221"
78,"-0,247","0,154","-0,069","0,025","-0,069","-0,366","-0,306","0,376","0,479","-0,146","0,246","0,066","0,146","-0,171","0,092","-0,385","-0,969","-0,541","-0,050","0,067","-0,380"
79,"-0,137","-0,276","-0,071","0,081","0,016","-0,475","-0,250","0,293","0,446","0,099","0,332","-0,038","0,038","-0,001","-0,071","-0,290","-1,551","-0,671","0,024","-0,056","-0,420"
80,"-0,190","-0,247","-0,010","-0,053","-0,140","-0,664","-0,152","0,126","0,245","0,223","0,089","-0,125","-0,018","0,009","-0,092","-0,310","-1,866","-0,648","0,179","0,029","-0,213"
81,"-0,065","-0,198","0,014","0,153","0,036","-0,287","-0,182","-0,067","0,003","0,711","0,010","-0,148","0,095","-0,134","-0,109","-0,340","-2,090","-0,523","0,191","-0,029","-0,198"
82,"-0,058","-0,162","0,063","-0,037","0,042","-0,413","-0,103","-0,317","-0,361","0,770","0,089","0,018","0,203","0,034","-0,143","-0,237","-2,028","-0,385","0,212","-0,070","-0,125"
83,"-0,234","-0,016","-0,098","-0,015","0,084","-0,030","0,067","-0,376","-0,488","0,098","0,192","0,095","0,126","-0,003","-0,130","-0,029","-2,141","-0,300","0,279","-0,285","-0,266"
84,"-0,090","0,021","0,009","0,121","0,128","0,210","0,261","-0,325","-0,398","-0,634","0,435","0,038","-0,064","0,104","-0,099","0,215","-1,697","-0,307","0,392","-0,416","-0,118"
85,"-0,128","0,288","-0,030","0,128","0,179","0,320","0,149","-0,158","-0,333","-0,266","0,194","-0,046","-0,265","-0,120","-0,200","0,450","-1,401","-0,402","0,294","-0,459","0,295"
86,"0,016","0,203","0,013","-0,109","0,232","0,445","0,154","-0,076","-0,306","0,100","0,004","-0,019","-0,383","-0,250","-0,120","0,511","-0,898","-0,406","0,302","-0,426","0,670"
87,"0,162","0,406","-0,079","0,014","0,120","0,489","0,264","0,057","-0,456","0,406","-0,020","-0,071","-0,429","-0,278","-0,187","0,708","-0,531","-0,532","0,381","-0,142","0,961"
88,"0,357","0,247","0,165","-0,170","0,233","0,448","-0,260","0,288","-0,238","0,470","-0,124","-0,291","-0,506","-0,560","-0,292","0,710","-0,272","-0,543","0,219","0,237","1,069"
89,"0,160","0,119","0,056","-0,228","0,067","0,528","0,164","0,523","-0,338","0,835","-0,206","-0,180","-0,583","-0,720","-0,339","0,472","0,059","-0,570","-0,216","0,514","0,994"
90,"0,179","-0,015","0,076","-0,170","-0,014","0,494","0,090","0,715","-0,496","0,409","-0,235","-0,239","-0,152","-0,754","-0,455","0,087","0,120","-0,552","-0,188","0,846","0,765"
91,"0,039","-0,060","0,280","-0,001","-0,118","0,263","0,154","0,273","-0,966","0,103","-0,265","-0,162","-0,300","-0,310","-0,373","-0,177","0,301","-0,410","-0,199","0,887","0,434"
92,"-0,132","-0,286","0,240","-0,117","-0,202","0,376","0,122","0,276","-0,689","-0,141","-0,185","-0,135","-0,121","0,205","-0,435","-0,256","0,681","-0,281","-0,212","0,705","0,232"
93,"-0,242","0,024","0,179","0,130","-0,179","0,417","-0,029","0,087","-0,919","-0,020","-0,159","-0,079","0,336","0,306","-0,017","-0,187","0,835","-0,375","-0,268","0,621","0,201"
94,"-0,202","0,043","0,083","0,430","0,040","0,299","0,088","0,002","-0,958","0,039","-0,051","0,006","0,511","0,671","0,042","-0,234","0,758","-0,494","-0,361","0,172","0,025"
95,"-0,137","-0,035","0,056","0,367","-0,040","0,272","-0,035","0,390","-0,454","-0,024","-0,029","0,197","0,382","0,917","-0,028","-0,185","0,597","-0,565","-0,299","0,106","-0,030"
96,"-0,368","-0,267","0,028","0,289","-0,166","-0,001","0,026","0,720","0,059","-0,147","0,133","0,254","0,485","0,690","-0,059","-0,151","0,452","-0,579","-0,236","0,024","-0,402"
97,"-0,149","0,014","0,021","0,212","-0,101","-0,295","0,007","0,969","0,416","-0,330","0,271","0,119","0,737","0,386","0,006","-0,069","0,146","-0,663","-0,268","-0,193","-0,720"
98,"-0,002","0,503","-0,205","-0,115","-0,331","-0,640","-0,089","1,082","0,645","-0,206","0,275","-0,016","0,655","0,414","-0,115","-0,292","0,017","-0,680","-0,194","-0,316","-0,760"
99,"-0,055","0,412","-0,207","-0,277","-0,177","-0,298","-0,061","0,997","0,341","0,162","0,365","-0,255","0,254","0,672","-0,335","-0,123","-0,025","-0,626","-0,196","-0,540","-0,631"
100,"0,123","0,552","-0,182","-0,086","0,008","-0,193","-0,138","0,807","0,240","0,590","0,260","-0,335","0,044","0,394","-0,074","-0,079","0,236","-0,562","-0,081","-0,447","-0,612"
101,"0,115","0,350","-0,032","-0,150","-0,017","-0,245","-0,097","0,532","0,100","0,285","0,258","-0,338","0,018","0,075","0,022","-0,046","0,330","-0,386","-0,057","-0,563","-0,582"
102,"0,147","0,047","-0,042","-0,117","0,045","0,329","0,046","0,417","-0,271","0,041","0,117","-0,208","0,162","0,064","-0,017","-0,084","0,455","-0,171","-0,194","-0,615","-0,674"
103,"0,187","0,067","-0,137","0,193","0,148","0,398","0,079","0,169","-0,492","-0,264","0,005","-0,159","0,203","0,157","-0,084","-0,245","0,644","-0,136","-0,090","-0,763","-0,583"
104,"0,181","0,031","-0,186","0,315","0,339","0,370","-0,044","-0,019","-0,451","-0,510","-0,083","0,082","0,182","0,110","-0,050","-0,203","0,701","0,184","-0,045","-0,920","-0,481"
105,"0,128","0,060","-0,125","0,180","0,239","0,156","-0,106","-0,208","-0,416","-0,692","-0,221","0,076","0,269","0,231","-0,051","-0,313","0,544","0,204","-0,062","-1,011","-0,323"
106,"-0,016","0,144","-0,168","0,159","0,142","-0,202","-0,122","-0,399","-0,523","-0,631","-0,165","0,051","0,352","0,080","0,012","-0,299","0,581","0,392","-0,174","-0,639","-0,284"
107,"0,075","-0,152","-0,190","-0,043","0,183","-0,544","-0,126","-0,481","-0,549","-0,207","-0,140","0,247","0,429","-0,006","-0,060","-0,166","0,425","0,472","-0,476","-0,179","-0,498"
108,"-0,029","0,314","-0,139","-0,419","-0,081","-0,669","-0,541","-0,553","-0,396","-0,266","-0,193","0,136","0,377","0,153","-0,203","-0,127","0,354","0,502","-0,460","0,212","-0,742"
