Index,SegmentAcc/R_foot_X,SegmentAcc/R_foot_Y,SegmentAcc/R_foot_Z,SegmentAcc/R_shank_X,SegmentAcc/R_shank_Y,SegmentAcc/R_shank_Z,SegmentAcc/L_shank_X,SegmentAcc/L_shank_Y,SegmentAcc/L_shank_Z,SegmentAcc/pelvis_X,SegmentAcc/pelvis_Y,SegmentAcc/pelvis_Z,SegmentAcc/L_foot_X,SegmentAcc/L_foot_Y,SegmentAcc/L_foot_Z,SegmentAcc/L_thigh_X,SegmentAcc/L_thigh_Y,SegmentAcc/L_thigh_Z,SegmentAcc/R_thigh_X,SegmentAcc/R_thigh_Y,SegmentAcc/R_thigh_Z
199,"0,002","0,003","0,943","-0,004","-0,005","1,005","0,002","0,001","1,017","0,002","-0,001","1,021","0,001","-0,003","0,961","0,000","-0,003","1,059","0,008","-0,008","1,022"
200,"-0,002","0,006","0,945","0,004","-0,003","1,002","-0,001","0,001","1,017","-0,006","0,000","1,015","0,000","0,001","0,955","0,006","0,004","1,056","0,003","0,001","1,021"
201,"0,000","-0,004","0,945","-0,001","-0,002","1,004","-0,006","-0,005","1,014","-0,006","0,005","1,016","-0,001","-0,003","0,955","0,010","-0,004","1,054","0,003","-0,010","1,024"
202,"0,002","0,004","0,943","0,003","-0,008","1,002","-0,007","-0,007","1,017","0,002","0,001","1,018","0,003","0,005","0,963","0,008","-0,009","1,056","0,005","-0,009","1,027"
203,"-0,003","0,003","0,943","0,002","-0,004","1,002","-0,010","-0,006","1,018","0,004","-0,001","1,015","0,002","-0,001","0,954","0,005","-0,004","1,059","0,008","0,000","1,022"
204,"0,001","0,000","0,946","0,003","-0,002","1,000","0,000","-0,002","1,018","0,003","-0,010","1,015","0,001","-0,001","0,956","0,000","-0,005","1,059","0,008","-0,005","1,029"
205,"0,002","-0,003","0,939","0,006","-0,004","1,006","0,002","-0,006","1,020","0,003","-0,002","1,014","0,001","-0,001","0,959","0,004","-0,003","1,056","0,011","-0,002","1,025"
206,"-0,002","-0,002","0,940","-0,001","0,001","1,002","0,000","-0,004","1,021","0,000","-0,003","1,018","0,000","-0,004","0,961","0,004","-0,001","1,058","0,008","0,000","1,023"
207,"0,000","-0,001","0,945","0,004","0,008","1,002","0,001","-0,005","1,017","0,004","0,000","1,016","0,002","-0,006","0,960","0,005","0,000","1,060","0,011","-0,009","1,022"
208,"-0,002","0,002","0,943","0,006","-0,002","0,997","-0,005","-0,003","1,012","-0,002","-0,004","1,015","-0,002","0,000","0,962","0,004","0,007","1,059","0,010","-0,005","1,025"
209,"0,005","0,006","0,949","-0,003","-0,003","0,999","-0,002","0,000","1,013","0,005","-0,004","1,016","0,001","0,001","0,959","0,001","0,006","1,056","0,006","-0,001","1,023"
210,"-0,001","0,000","0,946","0,003","0,002","1,005","-0,007","-0,005","1,016","0,004","-0,003","1,018","-0,005","-0,001","0,957","-0,002","0,003","1,056","0,003","-0,001","1,024"
211,"0,001","0,005","0,945","-0,003","-0,005","1,004","-0,010","-0,007","1,017","0,000","-0,005","1,020","-0,003","-0,002","0,961","-0,004","0,003","1,056","0,004","-0,001","1,024"
212,"0,000","-0,001","0,949","-0,004","-0,003","1,003","-0,005","0,000","1,014","0,002","-0,004","1,022","0,003","-0,001","0,962","-0,005","0,006","1,056","0,000","0,001","1,024"
213,"-0,003","-0,002","0,944","-0,006","0,000","1,001","0,004","-0,004","1,014","0,004","0,001","1,019","0,001","0,000","0,954","0,000","0,000","1,055","0,002","-0,008","1,025"
214,"-0,003","0,000","0,945","0,003","-0,001","1,004","0,004","-0,004","1,017","0,005","-0,008","1,021","-0,004","0,003","0,965","-0,004","-0,004","1,056","0,005","0,000","1,021"
215,"-0,001","-0,005","0,945","0,002","-0,008","1,005","0,001","-0,002","1,015","0,001","-0,005","1,019","-0,002","-0,003","0,954","-0,002","-0,003","1,054","0,008","-0,001","1,028"
216,"0,000","0,000","0,944","0,001","-0,002","1,000","-0,005","-0,006","1,016","0,003","-0,005","1,018","-0,002","-0,001","0,959","0,004","-0,004","1,056","0,009","-0,005","1,028"
217,"-0,004","-0,001","0,946","0,000","0,001","1,001","-0,005","-0,005","1,014","0,004","-0,009","1,019","0,003","-0,008","0,954","0,001","-0,006","1,056","0,011","-0,004","1,023"
218,"-0,003","-0,001","0,940","0,006","-0,007","1,001","-0,012","-0,004","1,013","0,005","-0,005","1,018","-0,002","0,000","0,962","-0,004","0,002","1,058","0,010","-0,014","1,025"
219,"-0,004","-0,004","0,943","-0,003","-0,010","1,003","-0,003","-0,006","1,014","0,005","-0,005","1,019","0,013","0,001","0,963","-0,002","-0,004","1,058","0,009","-0,002","1,025"
220,"0,000","0,004","0,946","0,006","-0,002","1,002","0,007","0,004","1,011","0,004","-0,005","1,014","-0,002","0,002","0,961","-0,001","0,000","1,056","0,008","-0,005","1,022"
221,"0,003","-0,001","0,942","0,006","-0,006","1,006","0,009","0,002","1,014","0,006","-0,003","1,014","-0,001","-0,006","0,957","0,003","-0,001","1,054","0,011","-0,004","1,024"
222,"0,001","0,003","0,948","-0,001","-0,002","1,007","0,003","-0,005","1,011","0,002","-0,003","1,013","0,003","-0,003","0,961","0,003","0,009","1,052","0,009","-0,010","1,023"
223,"0,002","0,001","0,945","0,000","-0,001","1,005","-0,005","-0,004","1,012","0,001","-0,003","1,011","0,001","0,000","0,958","0,008","0,009","1,058","0,005","-0,006","1,022"
224,"-0,004","0,001","0,948","0,000","0,000","1,003","-0,005","-0,005","1,015","-0,003","-0,007","1,017","0,006","0,004","0,962","0,003","0,006","1,054","0,008","-0,001","1,024"
225,"0,000","-0,003","0,946","-0,001","0,000","1,001","0,000","-0,001","1,014","0,001","-0,010","1,012","0,004","-0,002","0,961","0,001","0,004","1,053","0,008","0,001","1,021"
226,"0,001","0,002","0,947","-0,005","-0,007","1,001","0,003","0,000","1,012","0,005","-0,012","1,013","-0,001","0,001","0,961","-0,003","0,001","1,060","0,003","0,004","1,027"
227,"0,001","-0,004","0,950","0,003","-0,004","1,004","-0,002","-0,004","1,019","0,000","-0,004","1,017","0,003","-0,001","0,960","0,001","0,005","1,059","0,004","-0,001","1,027"
228,"-0,001","0,004","0,946","0,002","0,000","1,010","-0,001","-0,003","1,015","-0,002","-0,005","1,015","0,001","0,001","0,958","0,001","0,010","1,052","0,004","0,001","1,023"
229,"0,001","0,003","0,954","0,006","-0,004","1,006","0,000","0,002","1,015","0,003","-0,006","1,017","0,004","-0,002","0,961","0,004","0,005","1,056","0,009","-0,009","1,025"
230,"0,004","0,004","0,944","-0,002","-0,002","1,001","0,000","-0,005","1,015","0,001","-0,002","1,016","0,003","-0,006","0,960","0,001","-0,003","1,058","0,013","-0,007","1,022"
231,"0,004","0,001","0,944","0,008","-0,004","1,004","-0,007","-0,004","1,013","0,003","-0,001","1,021","0,002","-0,006","0,960","0,002","-0,002","1,057","0,015","-0,004","1,019"
232,"0,002","-0,001","0,950","0,002","-0,003","1,003","-0,010","-0,006","1,015","0,003","-0,003","1,025","0,002","-0,005","0,957","-0,002","0,004","1,052","0,014","-0,010","1,025"
233,"-0,002","0,002","0,943","0,007","-0,001","1,003","-0,005","-0,003","1,016","-0,001","-0,004","1,020","-0,001","0,001","0,960","-0,002","-0,005","1,057","0,014","-0,008","1,023"
234,"0,003","0,000","0,940","0,001","-0,001","1,008","-0,010","-0,001","1,016","0,000","-0,002","1,016","-0,002","-0,005","0,960","-0,007","-0,005","1,056","0,011","-0,003","1,026"
235,"0,003","0,000","0,946","0,005","-0,005","1,001","-0,013","0,001","1,015","0,002","-0,001","1,019","-0,004","-0,003","0,957","-0,010","-0,003","1,054","0,010","-0,006","1,028"
236,"0,000","0,000","0,944","0,008","-0,004","1,000","-0,007","-0,002","1,015","-0,001","-0,002","1,018","-0,003","-0,001","0,959","-0,008","0,006","1,056","0,009","-0,006","1,025"
237,"0,004","0,000","0,948","-0,006","-0,001","0,999","0,004","0,000","1,012","-0,003","-0,005","1,013","0,006","-0,002","0,959","-0,004","0,003","1,053","0,007","-0,007","1,027"
238,"-0,004","-0,001","0,943","0,000","-0,009","1,004","0,005","-0,002","1,018","-0,003","-0,010","1,012","0,004","0,000","0,959","-0,001","0,003","1,056","0,002","-0,009","1,024"
239,"-0,004","-0,001","0,943","0,005","0,000","1,002","0,004","0,000","1,019","0,000","-0,011","1,012","0,006","-0,006","0,961","0,008","0,004","1,062","0,008","-0,009","1,024"
240,"0,003","0,001","0,941","-0,001","-0,007","1,002","0,004","-0,004","1,011","0,000","-0,008","1,010","0,007","-0,005","0,961","0,016","-0,002","1,054","0,010","-0,010","1,019"
241,"0,003","-0,003","0,945","0,003","-0,011","0,998","0,003","-0,004","1,015","0,002","-0,005","1,011","-0,005","0,003","0,964","0,019","-0,009","1,060","0,007","-0,006","1,021"
242,"0,005","0,000","0,946","0,003","-0,009","1,006","0,006","0,001","1,020","0,003","-0,008","1,014","0,005","-0,007","0,956","0,018","-0,003","1,064","0,010","-0,009","1,022"
243,"0,001","-0,001","0,951","-0,001","-0,010","1,002","0,003","-0,007","1,017","0,006","-0,007","1,020","0,001","0,000","0,957","0,013","0,001","1,061","0,010","-0,012","1,025"
244,"0,000","0,007","0,949","0,001","-0,008","1,007","0,000","-0,008","1,010","0,004","-0,005","1,018","0,003","0,000","0,961","0,006","0,002","1,056","0,007","-0,006","1,026"
245,"-0,005","0,000","0,947","-0,004","-0,006","1,001","-0,002","-0,003","1,016","0,005","-0,005","1,021","0,004","-0,002","0,955","0,001","0,003","1,054","0,008","-0,010","1,022"
246,"-0,003","0,005","0,954","0,001","-0,003","0,996","-0,003","-0,014","1,018","0,002","-0,005","1,018","0,000","0,000","0,965","-0,011","0,003","1,054","0,005","-0,006","1,023"
247,"0,000","0,001","0,946","-0,002","-0,004","1,001","-0,004","-0,009","1,020","0,001","-0,003","1,021","-0,001","-0,003","0,959","-0,011","-0,005","1,059","0,006","-0,010","1,027"
248,"0,003","0,000","0,947","-0,004","-0,008","1,003","-0,004","-0,006","1,018","0,002","-0,002","1,023","0,003","-0,004","0,961","-0,017","-0,002","1,054","0,003","-0,008","1,022"
249,"0,001","-0,002","0,944","-0,002","-0,007","1,002","-0,005","-0,008","1,016","-0,005","0,000","1,021","0,003","-0,003","0,963","-0,020","-0,004","1,058","0,006","-0,013","1,024"
250,"0,000","0,003","0,942","-0,007","-0,012","1,004","-0,003","-0,008","1,017","0,000","0,004","1,018","0,004","-0,002","0,958","-0,008","0,001","1,057","0,006","-0,010","1,023"
251,"0,001","-0,001","0,941","-0,002","-0,006","1,007","-0,008","-0,009","1,016","-0,002","-0,010","1,020","0,001","-0,002","0,957","-0,005","0,002","1,055","0,011","-0,015","1,023"
