Index,SegmentQuaternions/Base/R_foot_W,SegmentQuaternions/Base/R_foot_X,SegmentQuaternions/Base/R_foot_Y,SegmentQuaternions/Base/R_foot_Z,SegmentQuaternions/Base/R_shank_W,SegmentQuaternions/Base/R_shank_X,SegmentQuaternions/Base/R_shank_Y,SegmentQuaternions/Base/R_shank_Z,SegmentQuaternions/Base/L_shank_W,SegmentQuaternions/Base/L_shank_X,SegmentQuaternions/Base/L_shank_Y,SegmentQuaternions/Base/L_shank_Z,SegmentQuaternions/Base/pelvis_W,SegmentQuaternions/Base/pelvis_X,SegmentQuaternions/Base/pelvis_Y,SegmentQuaternions/Base/pelvis_Z,SegmentQuaternions/Base/L_foot_W,SegmentQuaternions/Base/L_foot_X,SegmentQuaternions/Base/L_foot_Y,SegmentQuaternions/Base/L_foot_Z,SegmentQuaternions/Base/L_thigh_W,SegmentQuaternions/Base/L_thigh_X,SegmentQuaternions/Base/L_thigh_Y,SegmentQuaternions/Base/L_thigh_Z,SegmentQuaternions/Base/R_thigh_W,SegmentQuaternions/Base/R_thigh_X,SegmentQuaternions/Base/R_thigh_Y,SegmentQuaternions/Base/R_thigh_Z
1368,"1,000","0,010","-0,005","-0,001","0,998","0,064","0,013","0,015","0,997","0,069","-0,016","-0,039","0,997","0,077","0,020","-0,025","0,999","0,035","0,038","0,015","0,749","-0,642","0,148","-0,071","0,771","-0,630","-0,090","0,024"
1369,"1,000","0,010","-0,005","0,000","0,997","0,068","0,013","0,016","0,996","0,073","-0,017","-0,040","0,996","0,080","0,019","-0,025","0,998","0,036","0,039","0,016","0,741","-0,651","0,148","-0,070","0,764","-0,639","-0,088","0,023"
1370,"1,000","0,011","-0,006","0,000","0,997","0,072","0,012","0,017","0,996","0,077","-0,018","-0,041","0,996","0,084","0,019","-0,025","0,998","0,037","0,039","0,016","0,733","-0,660","0,148","-0,069","0,757","-0,648","-0,087","0,023"
1371,"1,000","0,011","-0,007","0,000","0,997","0,076","0,012","0,018","0,996","0,081","-0,018","-0,042","0,996","0,087","0,019","-0,025","0,998","0,037","0,040","0,016","0,725","-0,669","0,148","-0,068","0,749","-0,656","-0,085","0,022"
1372,"1,000","0,012","-0,008","0,000","0,997","0,079","0,011","0,019","0,995","0,086","-0,019","-0,041","0,995","0,091","0,019","-0,025","0,998","0,037","0,039","0,016","0,717","-0,677","0,149","-0,067","0,742","-0,665","-0,084","0,021"
1373,"1,000","0,013","-0,008","0,000","0,996","0,083","0,010","0,018","0,995","0,090","-0,020","-0,040","0,995","0,094","0,019","-0,025","0,998","0,038","0,039","0,016","0,710","-0,684","0,150","-0,067","0,736","-0,672","-0,083","0,021"
1374,"1,000","0,014","-0,008","0,000","0,996","0,086","0,010","0,018","0,995","0,093","-0,020","-0,040","0,995","0,097","0,019","-0,025","0,998","0,038","0,038","0,016","0,704","-0,691","0,152","-0,068","0,729","-0,679","-0,083","0,022"
1375,"1,000","0,014","-0,009","0,000","0,996","0,089","0,010","0,017","0,994","0,096","-0,021","-0,039","0,995","0,100","0,019","-0,024","0,998","0,038","0,038","0,016","0,698","-0,696","0,154","-0,070","0,724","-0,684","-0,084","0,023"
1376,"1,000","0,014","-0,010","0,000","0,996","0,092","0,009","0,017","0,994","0,099","-0,022","-0,040","0,994","0,102","0,018","-0,023","0,998","0,038","0,038","0,016","0,692","-0,701","0,156","-0,074","0,719","-0,689","-0,085","0,026"
1377,"1,000","0,015","-0,010","-0,001","0,995","0,094","0,009","0,017","0,994","0,101","-0,023","-0,040","0,994","0,103","0,018","-0,023","0,998","0,038","0,037","0,016","0,688","-0,704","0,158","-0,078","0,714","-0,694","-0,087","0,028"
