Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
50,"-0,059","0,014","0,047","-0,078","0,152","0,341","-0,542","-0,116","-0,134","-0,127","0,332","-0,368","-0,117","0,056","-0,021","-0,008","-0,183","0,095","-0,017","0,035","-0,179"
51,"0,021","-0,111","0,056","-0,197","0,101","0,383","0,072","-0,146","-0,091","0,179","0,364","-0,442","-0,050","0,008","-0,048","-0,172","-0,065","0,076","-0,166","-0,035","-0,062"
52,"0,140","-0,342","-0,093","-0,275","0,154","0,227","-0,023","0,067","0,287","0,178","0,336","-0,361","0,081","-0,114","0,080","-0,268","-0,344","0,154","-0,035","-0,069","-0,074"
53,"0,146","-0,182","0,016","-0,138","0,089","-0,172","-0,033","0,113","0,121","0,234","0,362","-0,168","0,064","-0,011","-0,007","-0,391","-0,400","0,276","0,403","0,066","-0,003"
54,"0,029","-0,319","-0,018","-0,121","-0,027","-0,529","0,090","0,058","0,143","0,228","0,359","0,104","0,217","-0,059","-0,094","-0,538","-0,589","0,375","0,370","-0,392","0,030"
55,"0,116","-0,529","-0,021","-0,121","-0,027","-0,529","0,014","-0,062","-0,065","0,766","0,389","0,580","0,177","-0,030","0,033","-0,508","-0,915","0,436","0,447","0,133","-0,034"
56,"-0,037","-0,241","0,008","-0,256","-0,081","-0,623","0,002","-0,153","-0,223","0,884","0,361","0,801","0,244","0,045","0,066","-0,500","-0,944","0,583","0,278","0,197","0,105"
57,"0,008","-0,186","-0,040","-0,103","-0,079","-0,366","0,019","-0,085","0,018","0,515","0,410","0,902","-0,060","0,046","-0,001","-0,678","-1,055","0,444","0,288","0,216","0,162"
58,"0,119","-0,087","-0,055","-0,092","0,031","-0,286","0,083","0,134","0,030","0,094","0,244","0,700","-0,164","0,150","-0,029","-0,737","-0,687","0,493","0,316","0,578","0,032"
59,"-0,229","-0,092","0,074","0,045","0,031","-0,165","0,033","0,278","0,162","0,347","0,250","0,297","0,084","0,036","-0,041","-0,602","-0,297","0,384","0,027","1,161","-0,181"
60,"-0,139","0,140","0,038","0,149","0,144","0,178","0,158","0,307","0,207","0,844","0,040","0,006","0,130","0,064","0,026","-0,380","0,183","0,465","-0,398","1,616","-0,262"
61,"0,062","0,471","-0,014","0,221","0,253","0,250","0,220","0,253","0,233","0,603","-0,071","-0,082","0,243","0,167","0,126","-0,265","0,517","0,372","-0,617","1,344","-0,325"
62,"0,024","0,331","0,022","0,226","0,335","0,276","0,153","0,141","0,161","0,234","-0,241","0,126","0,330","0,167","0,066","-0,268","0,622","0,265","-0,623","0,838","-0,477"
63,"0,090","0,131","-0,065","0,150","0,335","0,147","-0,108","0,129","-0,094","-0,189","-0,408","0,061","0,480","0,214","0,219","-0,279","0,755","0,013","-0,593","0,487","-0,361"
64,"0,221","0,342","0,065","0,125","0,358","-0,070","0,197","0,072","-0,084","-0,308","-0,463","-0,052","0,490","0,176","0,173","-0,228","0,914","0,168","-0,475","0,033","-0,226"
65,"0,346","0,393","0,086","0,232","0,299","-0,191","0,008","-0,039","-0,148","-0,366","-0,298","-0,270","0,500","0,260","0,186","-0,224","1,027","-0,141","-0,118","-0,281","-0,052"
66,"0,274","0,189","-0,057","0,163","0,327","-0,266","-0,131","-0,053","-0,411","-0,118","-0,212","-0,509","0,503","0,288","0,005","-0,232","1,056","-0,287","0,200","-0,501","0,032"
67,"0,045","0,076","-0,016","0,381","0,409","0,010","-0,082","0,045","-0,611","0,187","-0,154","-0,529","0,380","0,222","-0,048","-0,002","1,008","-0,410","0,293","-0,918","0,094"
68,"-0,049","0,250","-0,060","0,247","0,546","-0,114","-0,126","0,114","-0,366","-0,121","-0,103","-0,426","0,257","0,034","-0,161","-0,051","1,030","-0,632","0,369","-0,802","-0,026"
69,"-0,299","0,269","-0,041","0,175","0,437","-0,187","-0,195","0,243","-0,505","-0,485","-0,134","-0,489","0,227","0,025","-0,081","0,014","0,919","-0,708","0,523","-0,571","-0,264"
70,"-0,329","-0,078","-0,078","0,217","0,297","-0,327","-0,198","0,349","-0,566","-0,534","-0,185","-1,009","0,103","0,082","-0,075","0,258","0,920","-0,645","0,386","-0,222","-0,294"
71,"-0,436","0,144","-0,158","0,013","0,271","-0,495","-0,258","0,161","-0,524","-0,410","-0,101","-1,114","-0,170","0,215","-0,163","0,269","1,004","-0,807","0,083","0,180","-0,443"
72,"-0,299","0,269","-0,041","-0,064","0,270","-0,623","-0,390","0,019","-0,644","-0,054","0,009","-0,751","-0,371","0,235","-0,143","0,175","0,906","-0,795","-0,166","0,430","-0,484"
73,"-0,488","0,052","-0,157","-0,141","0,079","-0,721","-0,384","-0,057","-0,531","0,243","0,037","-0,417","-0,524","0,283","-0,056","0,275","0,795","-0,594","-0,142","0,869","-0,574"
74,"-0,446","-0,214","-0,112","-0,358","0,060","-0,476","-0,364","0,094","-0,267","0,117","-0,158","-0,121","-0,591","0,208","-0,089","0,136","0,577","-0,349","-0,280","1,045","-0,741"
75,"-0,079","0,025","-0,037","-0,318","0,039","-0,123","-0,406","0,056","0,039","-0,191","-0,217","0,035","-0,401","0,226","-0,063","-0,064","0,298","-0,164","-0,474","1,146","-0,675"
76,"-0,125","-0,030","0,012","-0,363","0,043","0,019","-0,384","0,102","0,363","-0,311","-0,245","-0,022","-0,347","-0,056","0,019","-0,005","0,179","-0,038","-0,487","1,137","-0,473"
77,"-0,031","-0,203","0,056","-0,114","0,065","0,045","-0,253","0,108","0,491","-0,316","-0,110","0,115","-0,383","-0,122","-0,094","-0,181","0,032","0,171","-0,480","0,995","-0,295"
78,"0,028","-0,196","0,043","-0,242","0,040","0,005","-0,243","0,062","0,657","-0,500","-0,031","0,139","-0,062","-0,227","0,060","-0,109","-0,039","0,484","-0,367","0,617","-0,120"
79,"0,125","-0,050","-0,007","-0,150","0,043","0,269","-0,137","-0,060","0,438","-0,682","-0,114","0,107","-0,015","-0,321","0,068","-0,292","-0,444","0,720","-0,282","0,116","0,103"
80,"0,125","-0,050","-0,007","-0,283","-0,065","0,204","-0,142","-0,227","0,393","-0,497","-0,249","0,110","0,118","-0,293","0,074","-0,478","-0,744","0,849","0,017","-0,209","0,292"
81,"0,129","-0,333","0,135","0,034","-0,015","0,276","0,088","-0,403","0,196","-0,438","-0,221","0,166","0,195","-0,379","0,001","-0,506","-0,952","0,785","0,020","-0,513","0,592"
82,"0,381","0,090","0,083","0,126","-0,012","0,540","0,072","-0,524","-0,016","-0,381","-0,250","0,385","0,171","-0,330","0,275","-0,579","-1,348","0,712","-0,058","-0,391","0,629"
83,"0,396","-0,080","0,057","0,091","-0,153","0,272","-0,053","-0,553","-0,061","-0,567","-0,089","0,437","0,221","-0,275","0,161","-0,588","-1,500","0,632","-0,194","-0,280","0,681"
84,"0,306","-0,312","0,094","0,051","-0,067","0,440","0,126","-0,585","-0,125","-0,570","-0,035","0,547","0,098","-0,217","0,168","-0,443","-1,710","1,015","-0,302","-0,216","0,548"
85,"0,239","-0,112","0,181","-0,081","-0,175","0,375","0,206","-0,435","0,135","-0,267","0,050","0,581","0,165","-0,265","0,141","-0,559","-1,759","0,935","-0,240","-0,044","0,412"
86,"0,260","-0,244","0,204","-0,098","-0,367","0,270","0,232","-0,223","0,505","-0,147","-0,032","0,692","0,021","-0,377","0,121","-0,428","-1,731","0,959","-0,099","-0,059","0,457"
87,"0,077","-0,425","0,136","-0,172","-0,422","0,170","0,063","-0,184","0,705","-0,086","0,024","0,667","-0,263","-0,207","0,080","-0,428","-1,731","0,959","-0,074","-0,096","0,531"
88,"0,042","-0,244","0,078","-0,284","-0,445","0,265","0,206","-0,140","1,022","-0,325","-0,059","0,497","-0,140","-0,141","0,133","-0,412","-1,570","0,837","0,013","-0,371","0,414"
89,"0,291","-0,142","0,120","-0,311","-0,368","0,020","0,088","-0,108","1,083","-0,322","-0,058","0,361","0,011","-0,339","0,168","-0,153","-1,409","0,778","0,042","-0,246","0,366"
90,"0,271","-0,131","0,037","-0,118","-0,261","0,078","-0,481","0,042","0,756","-0,137","-0,083","0,310","-0,073","-0,189","0,107","-0,343","-1,319","0,628","-0,158","-0,242","0,335"
91,"0,094","-0,152","0,077","-0,061","-0,155","0,015","-0,012","-0,168","0,490","-0,258","-0,056","0,226","-0,120","-0,094","0,100","-0,311","-1,465","0,623","-0,269","-0,168","0,460"
92,"0,199","-0,212","-0,046","-0,043","-0,016","0,148","0,095","-0,343","0,301","-0,320","-0,030","0,279","-0,083","-0,028","0,213","-0,210","-1,359","0,410","-0,197","0,024","0,381"
93,"0,310","-0,113","-0,060","-0,345","-0,009","0,183","0,084","-0,244","0,105","-0,322","-0,168","0,415","0,090","-0,030","0,093","-0,199","-1,275","0,248","-0,222","0,061","0,307"
94,"0,146","-0,182","0,016","-0,164","-0,013","0,162","0,016","-0,168","-0,004","-0,133","-0,163","0,146","0,107","-0,133","0,181","-0,071","-1,142","0,165","-0,144","-0,061","0,270"
95,"0,226","-0,186","0,085","-0,217","0,016","0,223","-0,230","-0,248","-0,011","-0,009","-0,188","0,094","0,004","-0,029","0,153","-0,167","-0,954","0,004","-0,101","0,007","0,239"
96,"0,125","0,073","0,054","-0,250","-0,179","-0,018","-0,033","-0,077","0,158","-0,133","-0,108","0,119","-0,063","0,019","0,180","0,149","-0,558","0,140","-0,102","-0,166","0,102"
97,"0,028","-0,074","0,103","0,002","-0,020","0,006","0,028","-0,077","0,154","-0,194","0,001","0,064","-0,137","0,009","0,012","0,129","-0,613","0,156","-0,015","-0,030","0,040"
98,"-0,007","0,106","0,046","-0,004","-0,048","-0,048","0,039","0,013","0,313","-0,072","0,057","0,040","-0,099","-0,170","0,006","0,085","-0,515","-0,026","-0,065","0,044","-0,108"
99,"-0,190","-0,074","-0,022","-0,020","-0,050","-0,184","-0,088","0,038","0,238","0,108","0,003","0,207","0,024","-0,105","0,060","0,061","-0,647","-0,050","-0,007","0,293","-0,204"
100,"-0,197","0,011","-0,010","0,058","-0,103","-0,027","0,139","-0,033","-0,020","0,295","-0,130","0,074","-0,297","0,000","-0,095","0,006","-0,919","0,103","-0,047","0,387","-0,294"
101,"-0,271","0,174","0,029","-0,069","0,062","-0,097","-0,108","-0,061","-0,057","0,292","-0,241","0,264","-0,390","0,066","-0,169","0,113","-1,023","0,102","-0,062","0,443","-0,311"
102,"-0,180","0,161","-0,129","0,023","0,065","0,166","0,001","-0,100","-0,253","0,111","-0,380","0,259","-0,383","0,000","-0,035","0,032","-1,322","0,125","0,023","0,351","-0,033"
103,"0,045","0,076","-0,016","-0,031","0,094","0,227","0,247","-0,208","-0,209","0,234","-0,295","0,153","-0,137","0,131","0,072","0,297","-1,371","0,278","0,147","0,231","0,117"
104,"-0,125","0,092","0,073","0,151","0,090","0,206","0,196","-0,064","-0,076","0,295","-0,295","0,154","-0,127","0,094","0,025","-0,055","-1,448","0,282","0,334","-0,020","0,431"
105,"-0,014","0,191","0,058","0,398","0,167","0,204","0,148","-0,026","0,116","0,236","-0,322","0,098","-0,080","0,122","0,092","-0,002","-1,357","0,196","0,677","-0,277","0,589"
106,"0,031","0,246","0,010","0,209","0,143","0,171","0,217","0,034","0,218","-0,003","-0,241","-0,152","0,081","-0,114","0,080","-0,010","-1,080","0,225","0,885","-0,434","0,540"
107,"0,010","0,257","-0,074","0,198","0,033","0,092","0,097","0,119","0,248","-0,185","-0,050","-0,318","0,090","-0,030","0,093","-0,069","-0,712","0,274","0,826","-0,207","0,472"
108,"-0,007","0,106","0,046","0,256","0,085","0,057","0,037","0,119","0,252","-0,067","0,086","-0,178","0,054","0,027","0,039","-0,037","-0,391","0,030","0,344","0,238","0,406"
109,"0,214","0,305","0,017","0,239","0,137","-0,107","0,085","0,081","0,060","0,173","-0,022","0,018","0,081","-0,114","0,080","0,027","0,034","-0,043","0,196","0,805","0,238"
