Index,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z
1650,"-0,020","0,705","-0,126","-1,591","1,540","-2,088","-1,952","0,919","-6,815","0,568","2,799","-0,062","2,536","3,045","0,734","-1,808","3,572","-5,941","-0,044","2,201","-3,881"
1651,"0,045","0,626","-0,153","-1,719","1,394","-2,555","-1,714","1,387","-6,197","-0,528","2,072","-0,183","2,916","3,356","0,722","-1,893","3,377","-6,024","-0,202","2,370","-4,302"
1652,"0,386","1,613","-0,146","-2,088","1,349","-2,798","-1,742","2,097","-4,962","-0,955","1,829","-0,205","3,031","2,942","0,755","-1,540","3,030","-6,151","-0,288","2,383","-4,424"
1653,"0,579","1,941","0,048","-2,210","1,047","-2,726","-1,581","2,520","-4,028","-1,561","2,200","-0,327","3,224","2,262","1,011","-1,401","2,954","-6,026","-0,342","2,470","-4,315"
1654,"0,464","1,831","0,366","-2,025","0,901","-2,460","-1,559","3,136","-3,240","-1,795","1,729","-0,720","3,299","2,452","0,878","-1,135","2,832","-5,921","-0,394","2,451","-3,915"
1655,"0,431","2,219","0,394","-1,957","0,906","-1,860","-1,517","3,203","-2,585","-2,340","1,065","-0,885","2,805","2,129","1,032","-0,970","3,146","-5,795","-0,164","2,403","-3,349"
1656,"0,218","2,457","0,702","-2,129","1,014","-1,036","-1,965","3,568","-1,583","-2,586","0,697","-0,846","2,716","0,221","1,722","-1,177","3,064","-5,615","-0,222","2,259","-2,713"
1657,"0,015","2,405","0,915","-2,050","1,289","0,446","-1,933","4,031","-0,298","-2,648","0,573","-0,792","2,767","-6,325","6,373","-1,359","2,674","-5,322","0,037","1,838","-1,902"
1658,"-0,266","2,242","0,991","-2,029","1,750","2,045","-1,371","4,624","1,592","-2,714","0,504","-0,613","2,059","-15,309","12,700","-1,377","2,598","-4,902","-0,189","1,366","-1,397"
1659,"-0,210","1,875","1,096","-1,955","1,933","3,033","-0,354","3,770","0,399","-2,530","0,628","-0,664","3,511","-9,967","7,407","-1,618","2,651","-4,513","-0,288","1,483","-1,163"
1660,"-0,286","2,003","1,089","-2,012","2,141","3,342","-1,291","1,810","-3,565","-1,938","1,573","0,064","11,330","-0,022","2,668","-2,180","2,380","-3,753","-0,731","1,697","-1,043"
1661,"-0,088","2,140","0,892","-2,014","2,287","3,074","-6,877","-0,437","-8,376","-0,199","6,398","1,416","13,417","5,936","-3,061","-2,195","2,123","-3,269","-1,223","2,153","-1,383"
1662,"-0,063","2,294","0,779","-2,333","2,054","1,978","-7,752","-1,360","-12,200","0,335","6,678","1,992","9,202","2,077","-3,461","-2,351","1,684","-2,885","-1,661","2,769","-1,652"
1663,"0,269","2,068","0,447","-2,466","1,756","1,177","-4,944","-2,882","-14,820","1,070","6,743","1,892","8,166","5,152","-0,116","-2,324","1,215","-3,111","-2,044","3,297","-2,029"
1664,"0,197","1,991","0,360","-2,654","1,746","0,715","-5,311","-3,367","-13,873","1,080","4,627","1,435","8,596","12,322","-7,509","-1,714","1,987","-3,441","-1,738","3,661","-2,510"
1665,"-0,010","1,340","0,248","-2,606","1,315","-0,228","-4,235","-2,456","-11,542","2,536","5,163","1,740","9,413","-0,706","-1,951","-0,846","3,441","-3,885","-1,468","3,796","-2,654"
1666,"0,186","0,526","0,203","-2,490","1,112","-0,673","-2,961","-1,621","-9,904","1,261","2,248","1,398","8,695","-6,104","3,453","-0,065","4,861","-4,073","-1,362","3,421","-2,677"
1667,"0,288","0,552","0,096","-2,438","0,611","-1,183","-2,031","-1,142","-7,599","2,587","2,467","1,991","4,163","0,265","-0,298","0,572","5,832","-4,136","-0,859","2,690","-2,832"
1668,"0,311","0,453","0,164","-2,324","-0,026","-1,698","-1,503","-0,897","-5,449","2,231","2,239","1,606","1,200","5,785","-2,922","1,026","6,156","-3,881","-0,569","1,632","-2,659"
1669,"0,432","0,718","-0,040","-1,966","-0,669","-2,080","-0,779","-0,431","-4,079","1,383","0,847","1,341","-0,067","4,551","-1,267","1,386","5,684","-3,499","-0,144","0,072","-2,084"
1670,"0,432","0,718","-0,040","-1,546","-1,367","-2,437","-0,317","-0,201","-2,746","1,688","0,847","1,348","-1,166","1,805","0,895","1,154","4,505","-3,004","0,149","-1,092","-1,618"
1671,"0,627","0,481","-0,121","-1,366","-1,858","-2,484","0,477","0,355","-0,946","2,425","2,927","1,213","-1,830","1,451","1,354","0,709","2,920","-2,548","0,708","-2,600","-0,949"
