Index,JointAngle/R_ankle_X,JointAngle/R_ankle_Y,JointAngle/R_ankle_Z,JointAngle/R_knee_X,JointAngle/R_knee_Y,JointAngle/R_knee_Z,JointAngle/L_knee_X,JointAngle/L_knee_Y,JointAngle/L_knee_Z,JointAngle/pelvis_X,JointAngle/pelvis_Y,JointAngle/pelvis_Z,JointAngle/L_ankle_X,JointAngle/L_ankle_Y,JointAngle/L_ankle_Z,JointAngle/L_hip_X,JointAngle/L_hip_Y,JointAngle/L_hip_Z,JointAngle/R_hip_X,JointAngle/R_hip_Y,JointAngle/R_hip_Z
51,"0,310","-0,041","0,002","0,241","-0,160","-0,001","-0,111","0,211","-0,004","-0,347","-0,011","-0,030","-0,436","-0,038","0,004","-0,226","-0,282","0,000","-0,184","0,003","0,000"
52,"0,201","0,428","0,001","0,214","-0,721","-0,003","0,545","0,222","-0,003","-0,531","-0,304","-0,033","-0,419","0,197","0,009","-0,083","-0,095","-0,001","-0,579","-0,017","0,000"
53,"0,083","-0,250","0,003","0,431","-0,165","-0,003","0,344","0,322","-0,005","-0,217","-0,421","-0,035","-0,027","-0,129","0,006","-0,019","0,260","-0,003","0,001","-0,348","0,006"
54,"-0,176","0,046","0,006","0,189","-0,454","0,000","0,348","0,056","-0,005","-0,481","-0,192","-0,034","-0,003","-0,053","0,003","0,036","0,159","-0,001","-0,162","0,211","0,000"
55,"-0,005","0,595","0,010","0,452","-0,330","-0,002","0,141","-0,159","0,001","-0,195","-0,015","-0,033","-0,081","0,545","-0,003","-0,003","-0,124","0,003","0,120","0,047","-0,001"
56,"0,258","-0,037","0,013","0,262","-0,028","0,001","-0,034","0,312","0,006","-0,132","0,321","-0,035","0,117","-0,118","-0,013","-0,248","-0,608","0,005","-0,161","0,390","-0,005"
57,"0,233","-0,383","0,017","0,006","-0,218","0,003","-0,489","0,324","0,009","0,188","0,203","-0,039","-0,454","0,188","-0,018","-0,150","-0,749","0,004","0,212","0,616","-0,009"
58,"0,284","-0,482","0,018","0,622","-0,515","0,004","0,077","-0,065","0,018","-0,143","0,096","-0,043","0,162","0,437","-0,027","-0,190","-0,457","0,003","0,170","0,696","-0,012"
59,"-0,172","-0,475","0,015","0,050","-0,245","0,016","0,549","-0,366","0,022","-0,098","-0,243","-0,046","0,540","0,516","-0,035","0,197","-0,132","0,000","-0,126","0,342","-0,013"
60,"0,497","-0,341","0,016","0,097","-0,448","0,021","0,053","-0,168","0,020","-0,085","0,101","-0,045","0,545","0,515","-0,035","-0,121","-0,372","0,000","-0,410","0,862","-0,015"
61,"-0,159","-0,151","0,011","0,081","-0,410","0,026","-0,220","0,444","0,020","-0,337","0,344","-0,043","0,146","0,071","-0,031","-0,576","-0,888","-0,007","-0,363","0,929","-0,018"
62,"-0,105","-0,081","0,010","-0,148","-0,301","0,031","0,066","0,118","0,022","-0,012","0,256","-0,042","0,258","0,314","-0,032","-0,311","-0,457","-0,007","-0,023","0,492","-0,022"
63,"0,288","-0,286","0,009","-0,322","0,277","0,034","-0,066","-0,145","0,022","-0,280","0,033","-0,041","0,050","-0,006","-0,033","-0,367","0,041","-0,007","-0,542","0,026","-0,024"
64,"0,288","-0,301","0,008","0,338","0,449","0,038","0,006","-0,113","0,024","0,010","0,201","-0,039","0,515","0,478","-0,038","-0,185","-0,450","-0,010","0,065","0,062","-0,027"
65,"0,165","-0,231","0,007","0,521","-0,212","0,033","-0,223","-0,080","0,024","-0,340","0,152","-0,036","0,120","0,031","-0,037","-0,694","-0,094","-0,011","-0,209","0,345","-0,027"
66,"0,188","-0,293","0,006","-0,119","0,036","0,033","0,070","0,031","0,026","-0,010","0,099","-0,033","0,042","0,172","-0,036","-0,327","-0,379","-0,013","-0,205","0,178","-0,026"
67,"0,180","-0,202","0,007","-0,014","-0,322","0,025","-0,124","-0,061","0,027","-0,192","-0,194","-0,030","0,145","-0,084","-0,038","-0,464","0,258","-0,010","-0,615","0,144","-0,023"
68,"0,190","0,055","0,006","-0,010","-0,584","0,018","-0,095","0,041","0,032","-0,366","0,106","-0,028","-0,481","-0,093","-0,043","-0,299","0,007","-0,014","-0,470","0,564","-0,014"
69,"0,476","-0,384","0,007","-0,021","-0,431","0,012","-0,166","-0,382","0,042","-0,334","-0,235","-0,028","0,040","0,344","-0,048","-0,568","0,521","-0,017","-0,778","0,165","-0,010"
70,"0,138","0,169","0,008","-0,463","-0,347","0,007","-0,204","0,122","0,051","-0,135","-0,515","-0,029","-0,122","-0,227","-0,056","-0,154","0,540","-0,023","-0,753","-0,418","-0,008"
71,"0,123","0,113","0,012","-0,454","-0,326","-0,002","-0,186","0,129","0,060","-0,118","-0,486","-0,030","-0,132","-0,189","-0,064","-0,141","0,483","-0,029","-0,703","-0,391","0,000"
72,"0,114","0,097","0,016","-0,455","-0,323","-0,012","-0,164","0,095","0,070","-0,107","-0,453","-0,029","-0,106","-0,159","-0,071","-0,142","0,489","-0,032","-0,659","-0,375","0,005"
73,"0,105","0,077","0,023","-0,399","-0,285","-0,023","-0,163","0,062","0,075","-0,130","-0,424","-0,026","-0,054","-0,119","-0,075","-0,195","0,484","-0,031","-0,649","-0,364","0,008"
74,"0,159","0,037","0,029","-0,346","-0,238","-0,034","-0,163","0,057","0,077","-0,156","-0,396","-0,024","-0,005","-0,079","-0,076","-0,254","0,452","-0,031","-0,645","-0,362","0,011"
75,"0,210","0,054","0,032","-0,304","-0,243","-0,040","-0,192","0,040","0,077","-0,166","-0,361","-0,022","-0,015","-0,014","-0,075","-0,294","0,401","-0,030","-0,631","-0,357","0,011"
76,"0,174","0,011","0,035","-0,307","-0,218","-0,042","-0,206","-0,004","0,075","-0,167","-0,326","-0,020","0,015","0,047","-0,071","-0,322","0,379","-0,029","-0,602","-0,338","0,011"
77,"0,169","0,008","0,034","-0,308","-0,218","-0,039","-0,174","0,035","0,072","-0,179","-0,294","-0,018","0,012","0,043","-0,068","-0,334","0,311","-0,027","-0,591","-0,334","0,008"
78,"0,162","0,011","0,030","-0,290","-0,235","-0,033","-0,188","0,038","0,070","-0,194","-0,261","-0,017","-0,031","0,087","-0,066","-0,351","0,242","-0,027","-0,574","-0,318","0,006"
79,"0,156","0,024","0,026","-0,231","-0,256","-0,025","-0,142","0,071","0,066","-0,222","-0,236","-0,015","-0,010","0,052","-0,063","-0,366","0,184","-0,024","-0,567","-0,297","0,002"
80,"0,180","0,033","0,026","-0,213","-0,327","-0,019","-0,141","0,065","0,063","-0,263","-0,220","-0,011","-0,073","0,060","-0,061","-0,374","0,158","-0,019","-0,603","-0,243","-0,004"
81,"0,165","0,052","0,039","-0,210","-0,417","-0,021","-0,111","0,015","0,060","-0,250","-0,194","-0,007","-0,045","0,034","-0,057","-0,363","0,174","-0,014","-0,590","-0,173","-0,007"
82,"0,146","0,092","0,044","-0,220","-0,440","-0,015","-0,140","-0,058","0,061","-0,232","-0,227","-0,001","-0,040","0,038","-0,056","-0,355","0,249","-0,007","-0,574","-0,166","-0,007"
83,"0,140","0,115","0,032","-0,192","-0,437","0,014","-0,201","-0,101","0,067","-0,237","-0,198","0,006","-0,028","0,051","-0,061","-0,399","0,238","0,004","-0,556","-0,116","-0,010"
84,"0,135","0,120","0,000","-0,148","-0,389","0,068","-0,253","-0,126","0,078","-0,250","-0,170","0,008","-0,013","0,098","-0,069","-0,445","0,209","0,008","-0,537","-0,102","-0,012"
85,"0,132","0,117","-0,045","-0,120","-0,317","0,137","-0,248","-0,087","0,090","-0,277","-0,150","0,006","0,009","0,114","-0,079","-0,497","0,171","0,008","-0,539","-0,112","-0,015"
86,"0,099","0,093","-0,092","-0,106","-0,239","0,206","-0,247","-0,017","0,102","-0,272","-0,120","0,001","0,024","0,111","-0,086","-0,502","0,109","0,002","-0,511","-0,113","-0,014"
87,"0,097","0,083","-0,136","-0,100","-0,165","0,262","-0,179","-0,014","0,111","-0,296","-0,104","-0,004","0,079","0,133","-0,092","-0,489","0,089","-0,005","-0,508","-0,129","-0,008"
88,"0,122","0,099","-0,170","-0,047","-0,110","0,301","-0,152","-0,040","0,121","-0,267","-0,083","-0,009","0,045","0,180","-0,098","-0,426","0,069","-0,014","-0,461","-0,150","-0,001"
89,"0,130","0,085","-0,185","0,008","-0,099","0,321","-0,155","-0,025","0,132","-0,298","-0,076","-0,012","-0,019","0,159","-0,102","-0,425","0,051","-0,023","-0,459","-0,178","0,005"
90,"0,141","0,088","-0,182","0,007","-0,089","0,316","-0,148","-0,086","0,143","-0,320","-0,049","-0,012","-0,036","0,189","-0,104","-0,456","0,060","-0,031","-0,482","-0,200","0,010"
91,"0,167","0,142","-0,161","0,000","-0,091","0,294","-0,143","-0,116","0,147","-0,360","-0,045","-0,008","-0,063","0,175","-0,105","-0,467","0,065","-0,032","-0,518","-0,236","0,011"
92,"0,142","0,154","-0,129","-0,002","-0,040","0,261","-0,106","-0,114","0,152","-0,375","-0,075","-0,002","-0,041","0,178","-0,103","-0,463","0,128","-0,032","-0,525","-0,300","0,007"
93,"0,142","0,170","-0,095","-0,032","-0,003","0,227","-0,040","-0,099","0,151","-0,364","-0,041","0,005","0,018","0,190","-0,099","-0,417","0,090","-0,030","-0,524","-0,290","0,003"
94,"0,126","0,131","-0,067","0,008","-0,009","0,196","-0,021","-0,085","0,146","-0,398","-0,037","0,011","-0,025","0,178","-0,093","-0,417","0,104","-0,027","-0,529","-0,261","-0,001"
95,"0,165","0,080","-0,048","0,036","-0,023","0,171","0,027","-0,131","0,142","-0,372","-0,009","0,014","0,010","0,219","-0,086","-0,377","0,114","-0,029","-0,484","-0,195","0,000"
96,"0,196","0,041","-0,036","0,046","-0,032","0,155","0,033","-0,134","0,139","-0,341","0,006","0,013","0,030","0,179","-0,079","-0,328","0,135","-0,034","-0,440","-0,141","0,005"
97,"0,229","-0,020","-0,030","0,065","-0,045","0,145","-0,011","-0,188","0,139","-0,378","0,010","0,011","-0,029","0,212","-0,074","-0,379","0,169","-0,040","-0,481","-0,100","0,011"
98,"0,259","-0,081","-0,031","0,070","-0,045","0,141","0,000","-0,255","0,139","-0,349","0,017","0,007","0,017","0,226","-0,073","-0,354","0,200","-0,049","-0,454","-0,060","0,020"
99,"0,245","-0,130","-0,039","0,073","-0,043","0,142","0,006","-0,259","0,141","-0,368","-0,016","0,004","0,012","0,219","-0,073","-0,390","0,263","-0,056","-0,484","-0,064","0,030"
100,"0,220","-0,197","-0,050","0,034","-0,018","0,149","-0,019","-0,259","0,145","-0,368","-0,049","0,001","0,027","0,177","-0,074","-0,397","0,328","-0,062","-0,513","-0,086","0,040"
101,"0,226","-0,152","-0,063","0,030","-0,057","0,159","-0,021","-0,255","0,151","-0,366","-0,083","0,000","0,007","0,140","-0,077","-0,411","0,390","-0,066","-0,493","-0,104","0,045"
102,"0,199","-0,094","-0,075","0,035","-0,043","0,172","-0,037","-0,261","0,159","-0,355","-0,115","0,001","-0,028","0,078","-0,084","-0,394","0,455","-0,066","-0,464","-0,178","0,044"
103,"0,173","-0,036","-0,083","-0,007","-0,040","0,179","-0,033","-0,254","0,166","-0,359","-0,148","0,002","0,032","0,037","-0,092","-0,425","0,500","-0,063","-0,495","-0,243","0,044"
104,"0,210","0,008","-0,085","0,039","-0,009","0,179","-0,019","-0,227","0,170","-0,368","-0,114","0,003","0,043","0,018","-0,101","-0,453","0,431","-0,059","-0,491","-0,251","0,042"
105,"0,266","0,030","-0,080","0,055","0,002","0,169","-0,004","-0,215","0,172","-0,360","-0,080","0,004","0,052","0,076","-0,107","-0,449","0,356","-0,056","-0,484","-0,258","0,042"
106,"0,230","0,082","-0,067","0,039","0,000","0,154","-0,022","-0,208","0,169","-0,395","-0,058","0,004","0,038","0,140","-0,108","-0,495","0,293","-0,053","-0,525","-0,272","0,040"
107,"0,200","0,074","-0,036","0,013","0,053","0,122","0,002","-0,207","0,162","-0,400","-0,021","0,003","0,067","0,144","-0,107","-0,484","0,218","-0,052","-0,549","-0,262","0,038"
108,"0,223","0,066","-0,022","0,011","0,063","0,102","0,033","-0,201","0,151","-0,394","-0,051","0,002","0,085","0,138","-0,102","-0,465","0,210","-0,049","-0,559","-0,322","0,037"
109,"0,259","0,074","-0,026","0,026","0,050","0,092","0,012","-0,145","0,138","-0,429","-0,059","0,000","0,090","0,073","-0,095","-0,521","0,190","-0,048","-0,590","-0,286","0,036"
110,"0,244","0,080","-0,076","0,052","0,038","0,116","0,007","-0,162","0,124","-0,408","-0,033","-0,002","0,085","0,082","-0,087","-0,529","0,151","-0,046","-0,573","-0,218","0,037"
111,"0,244","0,041","-0,176","0,070","0,060","0,180","-0,049","-0,151","0,115","-0,448","-0,020","-0,005","0,017","0,088","-0,080","-0,592","0,119","-0,048","-0,619","-0,166","0,043"
112,"0,281","0,069","-0,284","0,112","0,072","0,246","-0,070","-0,164","0,109","-0,486","-0,035","-0,006","0,005","0,093","-0,075","-0,637","0,173","-0,049","-0,657","-0,151","0,043"
113,"0,328","0,173","-0,384","0,146","0,057","0,312","-0,117","-0,151","0,105","-0,515","-0,005","-0,005","-0,046","0,137","-0,072","-0,679","0,116","-0,049","-0,689","-0,097","0,038"
114,"0,373","0,321","-0,454","0,174","0,017","0,365","-0,126","-0,146","0,107","-0,489","0,017","-0,004","-0,093","0,184","-0,072","-0,640","0,066","-0,052","-0,668","-0,049","0,028"
115,"0,414","0,455","-0,476","0,175","-0,059","0,383","-0,096","-0,157","0,111","-0,520","0,031","-0,001","-0,063","0,194","-0,073","-0,644","0,031","-0,055","-0,722","0,001","0,019"
116,"0,471","0,615","-0,466","0,152","-0,136","0,371","-0,061","-0,179","0,115","-0,551","0,015","-0,001","-0,079","0,194","-0,074","-0,643","0,039","-0,061","-0,780","0,004","0,012"
117,"0,496","0,787","-0,446","0,094","-0,115","0,355","-0,063","-0,148","0,119","-0,589","-0,001","0,001","-0,075","0,164","-0,075","-0,653","0,044","-0,066","-0,855","-0,044","0,006"
118,"0,520","0,893","-0,445","0,085","-0,038","0,353","-0,032","-0,099","0,123","-0,590","-0,029","0,005","-0,040","0,114","-0,074","-0,626","0,063","-0,068","-0,855","-0,133","-0,002"
119,"0,531","0,936","-0,464","0,088","0,052","0,373","-0,024","-0,094","0,130","-0,598","-0,061","0,012","-0,028","0,095","-0,077","-0,605","0,117","-0,067","-0,851","-0,218","-0,012"
120,"0,546","0,923","-0,513","0,098","0,152","0,418","-0,060","-0,047","0,137","-0,635","-0,044","0,016","-0,028","0,025","-0,082","-0,674","0,092","-0,066","-0,873","-0,240","-0,019"
121,"0,575","0,873","-0,572","0,127","0,236","0,475","-0,094","0,002","0,148","-0,609","-0,030","0,019","-0,010","0,007","-0,089","-0,678","0,071","-0,066","-0,829","-0,239","-0,029"
122,"0,605","0,817","-0,624","0,141","0,238","0,531","-0,082","-0,011","0,158","-0,591","-0,004","0,021","-0,006","-0,011","-0,098","-0,689","0,063","-0,067","-0,831","-0,158","-0,041"
123,"0,676","0,762","-0,673","0,141","0,184","0,586","-0,082","-0,028","0,165","-0,575","-0,023","0,019","0,002","0,030","-0,103","-0,706","0,087","-0,070","-0,845","-0,113","-0,055"
124,"0,738","0,678","-0,702","0,138","0,121","0,630","-0,066","-0,036","0,170","-0,563","0,008","0,019","-0,041","0,040","-0,105","-0,669","0,037","-0,075","-0,872","-0,013","-0,073"
125,"0,760","0,608","-0,722","0,135","0,026","0,668","-0,048","-0,067","0,173","-0,543","-0,012","0,018","-0,037","0,046","-0,103","-0,669","0,095","-0,081","-0,878","0,049","-0,093"
126,"0,780","0,543","-0,740","0,150","-0,056","0,700","-0,008","-0,098","0,172","-0,523","0,016","0,018","0,024","0,013","-0,098","-0,644","0,113","-0,088","-0,879","0,157","-0,108"
127,"0,783","0,474","-0,760","0,153","-0,091","0,726","0,014","-0,133","0,173","-0,491","0,021","0,018","0,075","0,034","-0,093","-0,625","0,152","-0,097","-0,876","0,230","-0,118"
128,"0,800","0,475","-0,774","0,176","-0,150","0,738","0,002","-0,134","0,174","-0,464","0,037","0,017","0,098","-0,033","-0,089","-0,623","0,172","-0,104","-0,864","0,302","-0,118"
129,"0,826","0,428","-0,787","0,211","-0,187","0,745","-0,002","-0,136","0,178","-0,435","0,044","0,017","0,121","-0,097","-0,086","-0,612","0,201","-0,110","-0,842","0,348","-0,112"
130,"0,859","0,392","-0,797","0,239","-0,216","0,747","-0,061","-0,106","0,179","-0,460","0,070","0,018","0,132","-0,122","-0,086","-0,674","0,171","-0,112","-0,878","0,391","-0,104"
131,"0,900","0,430","-0,802","0,234","-0,240","0,742","-0,131","-0,112","0,180","-0,425","0,070","0,019","0,111","-0,079","-0,088","-0,676","0,167","-0,110","-0,856","0,384","-0,093"
