Frame,ms,footscan Z_L,footscan Z_R
373.0,1474.06,340.32,388.3
374.0,1478.01,343.36,392.55
375.0,1481.96,346.8,397.41
376.0,1485.92,349.83,401.05
377.0,1489.87,355.7,406.11
378.0,1493.82,361.37,411.38
379.0,1497.77,364.61,416.24
380.0,1501.72,370.48,421.7
381.0,1505.68,374.33,426.16
382.0,1509.63,377.16,429.4
383.0,1513.58,379.59,434.26
384.0,1517.53,383.44,435.47
385.0,1521.48,386.07,436.89
386.0,1525.43,386.68,440.94
387.0,1529.39,388.7,443.77
388.0,1533.34,390.32,444.18
389.0,1537.29,392.55,445.19
390.0,1541.24,392.35,446.2
391.0,1545.19,391.34,445.8
392.0,1549.15,391.13,448.02
393.0,1553.1,390.53,448.43
394.0,1557.05,392.15,450.45
395.0,1561.0,392.35,449.44
396.0,1564.95,391.13,446.6
397.0,1568.91,389.72,444.38
398.0,1572.86,388.7,443.37
399.0,1576.81,385.67,443.16
400.0,1580.76,384.45,442.35
401.0,1584.71,382.23,440.33
402.0,1588.67,380.2,440.33
403.0,1592.62,377.97,438.3
404.0,1596.57,375.34,436.28
405.0,1600.52,372.91,432.23
406.0,1604.47,370.28,431.83
407.0,1608.42,367.85,427.37
408.0,1612.38,366.03,427.17
409.0,1616.33,366.43,426.16
410.0,1620.28,367.04,422.92
411.0,1624.23,363.2,421.5
412.0,1628.18,360.97,418.67
413.0,1632.14,359.55,417.65
414.0,1636.09,358.74,418.26
415.0,1640.04,359.75,417.45
416.0,1643.99,358.74,418.06
417.0,1647.94,359.75,419.07
418.0,1651.9,361.78,419.07
419.0,1655.85,362.39,420.49
420.0,1659.8,363.4,421.1
421.0,1663.75,364.01,422.92
422.0,1667.7,366.64,422.72
423.0,1671.66,367.65,423.93
424.0,1675.61,369.47,425.35
425.0,1679.56,370.89,426.97
426.0,1683.51,372.71,428.59
427.0,1687.46,374.13,431.22
428.0,1691.41,375.54,433.45
429.0,1695.37,376.96,436.08
430.0,1699.32,377.77,436.68
431.0,1703.27,379.8,436.48
432.0,1707.22,381.21,436.28
433.0,1711.17,382.23,436.68
434.0,1715.13,382.83,436.89
435.0,1719.08,382.63,435.67
436.0,1723.03,383.44,436.08
437.0,1726.98,385.06,436.68
438.0,1730.93,384.86,437.09
439.0,1734.89,385.26,437.9
440.0,1738.84,385.46,438.3
441.0,1742.79,385.67,437.9
442.0,1746.74,386.48,438.3
443.0,1750.69,386.68,438.91
444.0,1754.65,387.29,439.11
445.0,1758.6,388.91,439.11
446.0,1762.55,387.69,438.91
447.0,1766.5,386.68,437.49
448.0,1770.45,387.08,437.09
449.0,1774.4,388.1,435.47
450.0,1778.36,388.1,434.66
451.0,1782.31,388.7,436.08
452.0,1786.26,388.3,435.07
453.0,1790.21,388.3,434.05
454.0,1794.16,389.31,433.85
455.0,1798.12,389.31,432.64
456.0,1802.07,389.92,432.23
457.0,1806.02,390.32,429.6
