Frame,ms,footscan Z_L,footscan Z_R
261.0,1031.45,629.73,478.05
262.0,1035.4,635.28,481.74
263.0,1039.35,639.79,483.8
264.0,1043.3,644.51,487.08
265.0,1047.25,649.03,488.93
266.0,1051.21,652.93,489.13
267.0,1055.16,655.39,491.8
268.0,1059.11,657.03,492.83
269.0,1063.06,657.65,493.85
270.0,1067.01,663.4,494.88
271.0,1070.97,666.48,494.88
272.0,1074.92,666.27,496.11
273.0,1078.87,666.89,497.14
274.0,1082.82,667.3,497.55
275.0,1086.77,670.38,497.96
276.0,1090.73,670.58,497.55
277.0,1094.68,670.17,498.37
278.0,1098.63,669.96,498.78
279.0,1102.58,671.61,496.93
280.0,1106.53,671.2,496.73
281.0,1110.48,671.81,495.91
282.0,1114.44,672.43,495.7
283.0,1118.39,673.86,495.7
284.0,1122.34,670.58,495.29
285.0,1126.29,666.89,494.26
286.0,1130.24,664.42,494.06
287.0,1134.2,663.81,493.24
288.0,1138.15,663.6,490.77
289.0,1142.1,668.94,486.87
290.0,1146.05,665.24,479.69
291.0,1150.0,657.44,472.71
292.0,1153.96,648.41,464.71
293.0,1157.91,631.38,455.47
294.0,1161.86,620.5,447.46
295.0,1165.81,607.77,439.05
296.0,1169.76,592.58,425.5
297.0,1173.72,578.42,414.83
298.0,1177.67,560.56,401.08
299.0,1181.62,543.32,389.38
300.0,1185.57,528.75,376.44
301.0,1189.52,509.86,363.92
302.0,1193.47,492.83,352.43
303.0,1197.43,478.05,338.47
304.0,1201.38,462.24,325.75
305.0,1205.33,447.87,312.61
306.0,1209.28,430.02,299.47
307.0,1213.23,414.62,285.72
308.0,1217.19,400.05,275.25
309.0,1221.14,383.42,264.17
310.0,1225.09,370.29,254.52
311.0,1229.04,356.12,243.03
312.0,1232.99,340.73,233.38
313.0,1236.95,323.69,222.3
314.0,1240.9,309.53,215.52
315.0,1244.85,296.39,206.9
316.0,1248.8,280.79,197.87
317.0,1252.75,267.45,189.86
318.0,1256.71,253.7,181.65
