Frame,ms,footscan Z_L,footscan Z_R
316.0,1248.8,312.59,310.17
317.0,1252.75,316.86,311.1
318.0,1256.71,318.91,312.96
319.0,1260.66,321.51,315.19
320.0,1264.61,322.25,315.37
321.0,1268.56,326.15,315.0
322.0,1272.51,328.01,316.3
323.0,1276.46,329.68,317.79
324.0,1280.42,329.5,319.09
325.0,1284.37,329.87,318.91
326.0,1288.32,330.06,320.02
327.0,1292.27,329.68,318.72
328.0,1296.22,329.31,319.28
329.0,1300.18,330.43,318.53
330.0,1304.13,330.43,318.72
331.0,1308.08,331.91,318.72
332.0,1312.03,330.61,317.05
333.0,1315.98,330.61,315.37
334.0,1319.94,331.91,315.37
335.0,1323.89,331.73,316.86
336.0,1327.84,332.47,316.3
337.0,1331.79,332.29,315.56
338.0,1335.74,334.14,314.63
339.0,1339.7,334.33,314.26
340.0,1343.65,333.4,313.52
341.0,1347.6,331.36,311.84
342.0,1351.55,329.68,311.1
343.0,1355.5,328.38,310.73
344.0,1359.45,327.08,310.73
345.0,1363.41,325.04,310.73
346.0,1367.36,323.55,310.36
347.0,1371.31,323.18,310.73
348.0,1375.26,321.88,310.91
349.0,1379.21,321.51,311.1
350.0,1383.17,321.32,310.91
351.0,1387.12,320.95,312.96
352.0,1391.07,320.02,313.33
353.0,1395.02,320.02,314.26
354.0,1398.97,319.09,314.26
355.0,1402.93,318.72,314.82
356.0,1406.88,318.72,315.19
357.0,1410.83,319.46,315.19
358.0,1414.78,319.65,314.63
359.0,1418.73,318.35,313.89
360.0,1422.69,317.98,313.14
361.0,1426.64,316.86,310.54
362.0,1430.59,316.49,309.43
363.0,1434.54,316.86,306.83
364.0,1438.49,315.56,303.85
365.0,1442.44,313.52,301.44
366.0,1446.4,314.63,296.42
367.0,1450.35,315.56,293.45
368.0,1454.3,314.63,289.91
369.0,1458.25,314.82,287.31
370.0,1462.2,316.49,282.85
371.0,1466.16,317.05,280.62
372.0,1470.11,319.09,277.09
373.0,1474.06,319.83,275.05
374.0,1478.01,322.25,272.82
375.0,1481.96,323.37,272.26
376.0,1485.92,327.08,270.59
377.0,1489.87,328.57,270.21
378.0,1493.82,329.68,270.21
379.0,1497.77,329.87,270.96
380.0,1501.72,331.73,272.26
381.0,1505.68,334.7,273.19
382.0,1509.63,336.56,275.23
383.0,1513.58,337.86,278.58
384.0,1517.53,340.84,282.48
385.0,1521.48,341.95,286.38
386.0,1525.43,344.92,290.47
387.0,1529.39,347.71,293.82
388.0,1533.34,349.01,298.65
389.0,1537.29,350.68,304.78
390.0,1541.24,350.87,308.5
391.0,1545.19,351.61,310.17
392.0,1549.15,353.1,313.33
393.0,1553.1,353.1,316.12
394.0,1557.05,352.54,318.53
395.0,1561.0,351.61,321.14
396.0,1564.95,351.06,322.06
397.0,1568.91,349.76,324.3
398.0,1572.86,348.27,325.04
399.0,1576.81,346.6,325.41
400.0,1580.76,346.6,327.45
401.0,1584.71,345.48,329.68
402.0,1588.67,344.37,330.99
403.0,1592.62,342.88,332.66
404.0,1596.57,340.09,332.29
405.0,1600.52,339.16,336.0
406.0,1604.47,337.86,339.16
407.0,1608.42,337.86,340.09
408.0,1612.38,338.6,342.51
409.0,1616.33,338.42,344.92
410.0,1620.28,337.68,345.48
411.0,1624.23,337.86,345.67
412.0,1628.18,337.12,346.97
413.0,1632.14,335.63,348.83
414.0,1636.09,334.52,348.45
415.0,1640.04,334.7,349.38
416.0,1643.99,334.33,348.83
417.0,1647.94,333.03,350.31
418.0,1651.9,332.29,350.31
419.0,1655.85,331.17,351.99
420.0,1659.8,330.61,352.91
421.0,1663.75,328.01,353.66
422.0,1667.7,326.15,354.22
423.0,1671.66,324.85,354.22
424.0,1675.61,324.11,354.03
425.0,1679.56,321.69,353.84
426.0,1683.51,320.58,353.84
427.0,1687.46,319.83,353.84
428.0,1691.41,319.09,354.4
429.0,1695.37,317.79,354.22
430.0,1699.32,317.42,352.36
431.0,1703.27,317.05,353.84
432.0,1707.22,314.26,353.47
433.0,1711.17,314.63,352.91
434.0,1715.13,312.96,352.54
435.0,1719.08,312.59,352.17
436.0,1723.03,311.66,352.73
437.0,1726.98,310.17,353.1
438.0,1730.93,308.5,354.4
439.0,1734.89,307.2,354.4
440.0,1738.84,304.97,354.4
441.0,1742.79,303.85,355.14
442.0,1746.74,303.48,355.7
443.0,1750.69,302.55,355.52
444.0,1754.65,301.44,356.07
445.0,1758.6,299.02,356.26
446.0,1762.55,297.72,356.63
447.0,1766.5,297.53,357.0
448.0,1770.45,295.86,356.82
449.0,1774.4,295.49,356.07
450.0,1778.36,295.12,356.82
451.0,1782.31,293.63,356.82
452.0,1786.26,291.59,356.26
453.0,1790.21,289.36,355.89
454.0,1794.16,290.1,355.14
455.0,1798.12,289.91,354.77
456.0,1802.07,289.91,354.59
457.0,1806.02,291.22,354.4
458.0,1809.97,290.66,354.59
459.0,1813.92,291.22,353.66
460.0,1817.88,291.03,352.54
461.0,1821.83,293.26,352.73
462.0,1825.78,296.6,354.03
463.0,1829.73,299.21,353.84
464.0,1833.68,299.95,352.91
465.0,1837.64,301.06,352.36
466.0,1841.59,302.37,352.91
467.0,1845.54,303.85,353.29
468.0,1849.49,309.06,352.73
469.0,1853.44,311.66,351.43
470.0,1857.39,315.0,352.17
471.0,1861.35,317.42,352.54
472.0,1865.3,318.35,352.73
473.0,1869.25,321.69,351.8
474.0,1873.2,325.04,351.61
475.0,1877.15,328.01,351.06
476.0,1881.11,330.8,351.99
477.0,1885.06,332.66,354.03
478.0,1889.01,333.96,354.59
479.0,1892.96,336.0,354.77
480.0,1896.91,336.56,356.07
481.0,1900.87,338.05,357.38
482.0,1904.82,340.28,357.38
483.0,1908.77,341.76,360.35
484.0,1912.72,344.92,360.91
485.0,1916.67,346.97,362.39
486.0,1920.63,347.34,362.95
487.0,1924.58,348.83,364.81
488.0,1928.53,350.31,365.55
489.0,1932.48,351.8,367.78
490.0,1936.43,353.47,369.27
491.0,1940.38,355.7,370.2
492.0,1944.34,356.07,370.01
493.0,1948.29,358.86,370.2
494.0,1952.24,362.21,371.13
495.0,1956.19,365.37,372.06
496.0,1960.14,365.74,372.99
497.0,1964.1,366.3,374.1
498.0,1968.05,368.34,375.77
