Frame,ms,footscan Z_L,footscan Z_R
453.0,1790.21,416.24,377.57
454.0,1794.16,415.83,376.35
455.0,1798.12,415.63,376.96
456.0,1802.07,416.24,377.57
457.0,1806.02,417.86,377.57
458.0,1809.97,419.07,377.97
459.0,1813.92,420.29,378.99
460.0,1817.88,420.89,379.39
461.0,1821.83,421.5,379.39
462.0,1825.78,422.11,379.59
463.0,1829.73,422.92,381.01
464.0,1833.68,423.93,381.01
465.0,1837.64,423.73,380.61
466.0,1841.59,424.34,380.61
467.0,1845.54,424.34,380.2
468.0,1849.49,425.35,380.4
469.0,1853.44,425.55,381.21
470.0,1857.39,425.35,381.21
471.0,1861.35,424.74,381.82
472.0,1865.3,425.55,380.61
473.0,1869.25,425.75,380.4
474.0,1873.2,425.75,381.21
475.0,1877.15,425.75,382.43
476.0,1881.11,425.75,382.02
477.0,1885.06,425.95,382.02
478.0,1889.01,425.95,382.02
479.0,1892.96,426.16,382.23
480.0,1896.91,427.17,383.24
481.0,1900.87,426.97,385.46
482.0,1904.82,427.78,385.06
483.0,1908.77,427.57,386.07
484.0,1912.72,427.57,385.06
485.0,1916.67,428.18,384.66
486.0,1920.63,428.79,384.25
487.0,1924.58,428.59,384.45
488.0,1928.53,429.19,384.45
489.0,1932.48,429.8,383.64
490.0,1936.43,430.41,383.85
491.0,1940.38,430.41,384.25
492.0,1944.34,430.81,385.87
493.0,1948.29,430.41,385.87
494.0,1952.24,431.42,385.87
495.0,1956.19,431.42,386.07
496.0,1960.14,431.62,386.07
497.0,1964.1,433.24,388.3
498.0,1968.05,433.65,388.3
