feature,iraf_score,spearman_rho,p_value
hip_backward_displacement,iraf_rörelsestart,-0.11396057645963793,0.7539236059777022
shoulder_asym,iraf_utgångsposition,-0.10334394242561099,0.7763340602409097
fas1_delta_knee_forward,iraf_utgångsposition,-0.09118583155200968,0.8021812915092663
trunk_hip_correlation,iraf_total,0.09090909090909088,0.8027717312071619
fas1_knee_asym,iraf_utgångsposition,0.08510677611520905,0.8151715445415288
fas1_ROM_hip,iraf_utgångsposition,-0.08510677611520905,0.8151715445415288
ROM_hip,iraf_rörelseutförande,-0.08077027359793643,0.8244631856221349
mean_trunk_angular_velocity,iraf_total,-0.07878787878787878,0.8287173946974606
hip_descent,iraf_total,0.07878787878787878,0.8287173946974606
fas2_hip_asym,iraf_utgångsposition,-0.06686960980480709,0.8543750609172778
fas2_rms_wrist_acceleration,iraf_total,0.06666666666666665,0.8548130882487427
mean_right_knee_angle,iraf_rörelseutförande,0.05591788172164829,0.8780613891997648
trunk_hip_correlation,iraf_utgångsposition,0.05471149893120582,0.8806762012346145
mean_head_trunk_angle,iraf_total,0.05454545454545454,0.8810361811618526
ROM_knee,iraf_total,0.05454545454545454,0.8810361811618526
fas1_delta_trunk_angle,iraf_rörelseutförande,0.04349168578350423,0.9050416893941632
fas1_ROM_hip,iraf_rörelseutförande,-0.04349168578350423,0.9050416893941632
delta_knee_angle,iraf_rörelseutförande,-0.04349168578350423,0.9050416893941632
mean_head_trunk_angle,iraf_rörelseutförande,0.04349168578350423,0.9050416893941632
fas1_peak_pelvis_velocity_y,iraf_total,0.04242424242424241,0.9073638178128159
fas1_delta_trunk_angle,iraf_total,0.04242424242424241,0.9073638178128159
stance_to_hip_ratio,iraf_total,-0.04242424242424241,0.9073638178128159
shoulder_asym,iraf_rörelsestart,0.037986858819879316,0.9170235505646718
delta_hip_angle,iraf_rörelsestart,0.037986858819879316,0.9170235505646718
stance_to_hip_ratio,iraf_rörelsestart,-0.037986858819879316,0.9170235505646718
fas1_ROM_hip,iraf_rörelsestart,0.037986858819879316,0.9170235505646718
peak_trunk_angular_velocity,iraf_rörelsestart,-0.037986858819879316,0.9170235505646718
ROM_hip,iraf_rörelsestart,0.037986858819879316,0.9170235505646718
trunk_hip_correlation,iraf_rörelsestart,0.037986858819879316,0.9170235505646718
knee_asym,iraf_rörelsestart,-0.037986858819879316,0.9170235505646718
rms_trunk_acceleration,iraf_utgångsposition,-0.03039527718400323,0.9335717251179998
ROM_hip,iraf_total,-0.0303030303030303,0.9337729580941466
fas1_delta_trunk_angle,iraf_utgångsposition,0.024316221747202584,0.9468397049085097
fas2_phase_duration,iraf_utgångsposition,-0.01829268292682927,0.9599981434003172
delta_knee_angle,iraf_total,0.01818181818181818,0.9602404181286242
stance_width,iraf_total,-0.01818181818181818,0.9602404181286242
mean_right_knee_angle,iraf_total,-0.01818181818181818,0.9602404181286242
fas1_ROM_hip,iraf_total,0.01818181818181818,0.9602404181286242
hip_backward_displacement,iraf_total,0.01818181818181818,0.9602404181286242
delta_knee_angle,iraf_utgångsposition,0.012158110873601292,0.9734080635074243
mean_trunk_angular_velocity,iraf_rörelseutförande,-0.006213097969072032,0.9864093728341148
