frame,time,nose_x,nose_y,nose_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
27,0,0.47871724,0.48530555,0.7503061,0.52286047,0.54586226,0.6466921,0.48047525,0.5405518,0.7498631,0.52206606,0.6434256,0.7568652,0.47792536,0.6204631,0.5880047,0.48329163,0.6950275,0.635729,0.47269022,0.68941325,0.57187283,0.5218338,0.6849022,0.629179,0.49196187,0.6766612,0.57406664,0.46950498,0.75322074,0.42248994,0.44116533,0.7283262,0.73081225,0.48375598,0.8712266,0.7417911,0.4659893,0.841376,0.68929756
28,0,0.47832766,0.484811,0.59915745,0.52287155,0.5467211,0.6794658,0.48065534,0.54061776,0.77880645,0.5210822,0.6437438,0.79239285,0.4781111,0.619385,0.6065786,0.4829878,0.6948994,0.49706835,0.47241205,0.68867505,0.5629398,0.520954,0.68430966,0.64522326,0.49094898,0.6756701,0.5541907,0.46939272,0.7511289,0.4848605,0.4406077,0.72899497,0.6479338,0.48427188,0.8683883,0.81062007,0.46720895,0.8425955,0.68112385
29,0,0.47887024,0.48395318,0.57605267,0.5232145,0.5437673,0.6548037,0.47985584,0.54053026,0.6938934,0.5213216,0.64426273,0.8965692,0.47836939,0.619097,0.49920225,0.48174292,0.69680303,0.6059372,0.47279304,0.68856746,0.777182,0.52373654,0.6820031,0.77786875,0.49302012,0.67566997,0.7292593,0.46784106,0.75131047,0.7393052,0.4394722,0.7282711,0.8919247,0.48468018,0.87015057,0.87469536,0.46676356,0.84260285,0.84606856
30,0,0.47837642,0.48461926,0.7616357,0.523288,0.5448748,0.7686093,0.47984573,0.54076445,0.76019037,0.5217809,0.6446412,0.7947477,0.47693154,0.61887527,0.47902232,0.48190868,0.6971135,0.507698,0.47347677,0.6879492,0.68045974,0.5231731,0.68512064,0.85239005,0.49193108,0.6774863,0.520072,0.46890944,0.7514885,0.6747315,0.43966013,0.7277934,0.71007216,0.4841565,0.8703307,0.8326821,0.46622646,0.8437653,0.67057836
31,0,0.47805446,0.48530963,0.7377937,0.5234263,0.54572695,0.8152374,0.48005593,0.5408931,0.7789263,0.5215766,0.6437841,0.8064193,0.4781254,0.6197355,0.7153863,0.4826554,0.69575256,0.6384313,0.47262987,0.69024676,0.70092607,0.52314585,0.68762356,0.81226045,0.49190846,0.67851776,0.6929454,0.4686271,0.75299877,0.5456391,0.44020632,0.7278199,0.8372288,0.4832638,0.8705319,0.780096,0.46620852,0.8424053,0.76500696
32,0,0.4781179,0.48491895,0.688332,0.5230287,0.5449998,0.7899555,0.4803978,0.5403947,0.76026964,0.5213922,0.64424574,0.7707384,0.47799397,0.61910874,0.6409031,0.48258296,0.6962752,0.6567177,0.47150108,0.690194,0.6315518,0.5223882,0.6840877,0.6032707,0.49102184,0.6765317,0.58478826,0.4698045,0.75392485,0.46947816,0.4404395,0.72813463,0.7794821,0.48353162,0.86990535,0.7935641,0.4662129,0.8427671,0.6844253
33,0,0.47804698,0.48595926,0.7251869,0.52441,0.54180527,0.77541924,0.47884387,0.5397405,0.6394487,0.5209823,0.6441064,0.9042165,0.47810736,0.6189065,0.8387657,0.48178568,0.6975753,0.59891665,0.47253135,0.6888406,0.7977841,0.5243313,0.68214786,0.79592186,0.4929983,0.6758409,0.7627882,0.46820152,0.75168085,0.7526993,0.43945605,0.7282391,0.9089432,0.48480102,0.8698906,0.8834827,0.46699795,0.8420568,0.8195806
34,0,0.47880557,0.48456421,0.7471276,0.52413696,0.5452337,0.7842032,0.4795626,0.54023767,0.7711752,0.5218448,0.6438884,0.77273214,0.4772665,0.6173192,0.47978795,0.48232377,0.6961879,0.48188683,0.47378948,0.6878496,0.65278107,0.5221708,0.6871764,0.822001,0.4911598,0.67834324,0.50093544,0.4693196,0.75171256,0.57555884,0.44091526,0.72788954,0.7812666,0.4838831,0.87139666,0.80013484,0.4654036,0.8440033,0.6199573
35,0,0.47922197,0.48465633,0.6446838,0.52315724,0.5450397,0.81498647,0.48055524,0.5406598,0.6917342,0.5215786,0.6436864,0.83003724,0.47871894,0.6197574,0.6238567,0.48320115,0.694674,0.6852445,0.47343025,0.6885193,0.7524421,0.52340055,0.68237746,0.8385401,0.49307767,0.6765138,0.58276135,0.46936545,0.7515317,0.53540766,0.44004187,0.72708064,0.7675712,0.48358956,0.8708979,0.86601526,0.46597946,0.8430432,0.7404706
36,0,0.47855046,0.48502022,0.75858814,0.52315426,0.54419804,0.7720658,0.48047066,0.5403012,0.7434495,0.5218198,0.6431692,0.8287025,0.47774944,0.62044895,0.663411,0.48223725,0.69687897,0.54172695,0.47365156,0.68848276,0.68945265,0.52300864,0.6839268,0.78913623,0.49176544,0.6763056,0.6669573,0.46921593,0.7521964,0.6446794,0.44051182,0.72795224,0.8254369,0.48389637,0.871685,0.8443348,0.4651914,0.84600794,0.7349
