frame,time,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
37,0,0.5728817,0.5411583,0.5680237,0.5381864,0.5422626,0.8089451,0.5310999,0.59549195,0.5704843,0.52788514,0.5967321,0.6973418,0.5309096,0.5414762,0.42012942,0.52925974,0.54261464,0.5070621,0.5554472,0.67123765,0.8302406,0.5308448,0.6647541,0.81184924,0.48951092,0.7182665,0.683049,0.47142947,0.70995617,0.7576893,0.49686405,0.8624227,0.7837439,0.47640464,0.8411515,0.8999562
38,0,0.5715033,0.5392925,0.69105643,0.53872937,0.54118484,0.6898684,0.53145444,0.59700316,0.67090464,0.52729934,0.5960358,0.71618223,0.53199047,0.5378365,0.42127195,0.5308374,0.5374395,0.40768084,0.5542599,0.67285556,0.7547691,0.5292518,0.6670712,0.7096256,0.49062335,0.72023904,0.75304735,0.4712519,0.7099484,0.853906,0.4966102,0.8648962,0.89278823,0.47620657,0.844593,0.87988603
39,0,0.57236034,0.540444,0.6819037,0.53888446,0.54125863,0.7841487,0.5312014,0.5951917,0.55709255,0.52815765,0.5961722,0.6488376,0.530874,0.5428441,0.5431469,0.5300687,0.54177094,0.5714846,0.55459625,0.6706659,0.80379075,0.53130376,0.66350716,0.80458426,0.4897123,0.7181132,0.7025608,0.47137287,0.7065866,0.81443554,0.49685675,0.8638723,0.9269001,0.4766332,0.8427281,0.88224524
40,0,0.57324487,0.5393254,0.6539405,0.5382692,0.54161096,0.7659861,0.5311813,0.5972138,0.6796675,0.5265121,0.59674686,0.769815,0.5316078,0.5413475,0.49397677,0.53022933,0.54141647,0.42570776,0.5531327,0.67115027,0.7513882,0.5292633,0.6647037,0.7378836,0.49000204,0.72033185,0.7342362,0.4712859,0.7093917,0.8871195,0.49681205,0.86527044,0.8674649,0.47608772,0.84433246,0.88414717
41,0,0.57295674,0.5402759,0.62640184,0.538495,0.54333603,0.8138934,0.5309695,0.5973424,0.60700524,0.5267866,0.59702003,0.7521987,0.53076273,0.54342026,0.6566398,0.52946913,0.53819853,0.46817726,0.5559487,0.66942,0.8368486,0.53123486,0.66385597,0.80906796,0.48925748,0.7182557,0.6598279,0.47114027,0.71020055,0.7700152,0.4969743,0.86348087,0.8127239,0.4763315,0.8435523,0.9332061
42,0,0.5732571,0.5388935,0.66409194,0.5391199,0.54102045,0.7302083,0.53143424,0.5968733,0.65988594,0.5270434,0.5965149,0.7026358,0.5314576,0.53977793,0.47890702,0.53049433,0.5396162,0.4369468,0.55390394,0.6713233,0.72963774,0.52895516,0.6639045,0.6838126,0.49068156,0.71916074,0.69450516,0.47106034,0.70952445,0.8505668,0.496366,0.8645781,0.8683117,0.47681537,0.84313524,0.8842646
43,0,0.5731811,0.54006755,0.6442969,0.53835684,0.54217947,0.8041553,0.53121156,0.5971308,0.58847994,0.52663267,0.59725106,0.74077743,0.53104633,0.54324377,0.6411542,0.52972305,0.538124,0.4839272,0.5545286,0.6687766,0.822064,0.5312294,0.66207576,0.80469716,0.48947474,0.7183355,0.6632027,0.47133306,0.7103273,0.7589771,0.49715522,0.86269605,0.8205003,0.47666436,0.8419139,0.747487
44,0,0.5733222,0.53925747,0.64894325,0.5380233,0.5417644,0.7980716,0.5312727,0.5969647,0.67719007,0.52796215,0.59747756,0.730258,0.5313878,0.5407268,0.53286594,0.5302763,0.5407667,0.43289915,0.55363095,0.67048824,0.7971105,0.5287438,0.6640253,0.79944205,0.49006912,0.72048825,0.68653214,0.47120568,0.7101563,0.8591787,0.49697787,0.8626578,0.8210059,0.47647816,0.8445619,0.90322125
45,0,0.5732976,0.54060227,0.5885841,0.5383924,0.54212236,0.81092465,0.53095347,0.59710383,0.58698165,0.52652055,0.5968154,0.7215923,0.53069246,0.54322624,0.62234855,0.529611,0.5377367,0.4776648,0.5557941,0.6708059,0.82078725,0.5304185,0.6642989,0.73501587,0.48952898,0.7179169,0.65428233,0.47130153,0.7101662,0.7264495,0.49712166,0.8626116,0.7242628,0.47636834,0.84186625,0.9263718
46,0,0.5730398,0.53865254,0.6652827,0.53840846,0.5414571,0.7705611,0.5326037,0.5940445,0.5443608,0.52709025,0.59568834,0.7762522,0.5317918,0.53840095,0.49409863,0.5305437,0.53806514,0.40633672,0.55436295,0.67125773,0.85826033,0.52947587,0.66472936,0.8075826,0.49048883,0.7202546,0.75706375,0.4713519,0.7096164,0.6039285,0.4967162,0.86508495,0.89562213,0.47618017,0.8436447,0.9085441
