Video,Movement,Joint,Mean Displacement,Std Displacement
DJI_20250425093100_0030_D,stand-to-sit,left_knee,0.0041,0.0053
DJI_20250425093100_0030_D,stand-to-sit,right_knee,0.0041,0.0054
DJI_20250425093100_0030_D,stand-to-sit,left_ankle,0.0043,0.0049
DJI_20250425093100_0030_D,stand-to-sit,right_ankle,0.0043,0.0051
DJI_20250425093100_0030_D,stand-to-sit,left_heel,0.0045,0.0049
DJI_20250425093100_0030_D,stand-to-sit,right_heel,0.0044,0.0051
DJI_20250425093100_0030_D,stand-to-sit,left_foot_index,0.0047,0.0048
DJI_20250425093100_0030_D,stand-to-sit,right_foot_index,0.0044,0.005
DJI_20250425104507_0045_D,stand-to-sit,nose,0.0041,0.0027
DJI_20250425104507_0045_D,stand-to-sit,left_shoulder,0.0032,0.0023
DJI_20250425104507_0045_D,stand-to-sit,right_shoulder,0.0032,0.0023
DJI_20250425104507_0045_D,stand-to-sit,left_elbow,0.0047,0.0031
DJI_20250425104507_0045_D,stand-to-sit,right_elbow,0.0059,0.0044
DJI_20250425104507_0045_D,stand-to-sit,left_wrist,0.0046,0.0037
DJI_20250425104507_0045_D,stand-to-sit,right_wrist,0.0362,0.0498
DJI_20250425104507_0045_D,stand-to-sit,left_hip,0.0066,0.005
DJI_20250425104507_0045_D,stand-to-sit,right_hip,0.0065,0.0049
DJI_20250425104507_0045_D,stand-to-sit,left_knee,0.0108,0.0075
DJI_20250425104507_0045_D,stand-to-sit,right_knee,0.0109,0.0066
DJI_20250425104507_0045_D,stand-to-sit,left_ankle,0.0114,0.007
DJI_20250425104507_0045_D,stand-to-sit,right_ankle,0.0112,0.0061
DJI_20250425104507_0045_D,stand-to-sit,left_heel,0.0114,0.0069
DJI_20250425104507_0045_D,stand-to-sit,right_heel,0.0113,0.0063
DJI_20250425104507_0045_D,stand-to-sit,left_foot_index,0.0116,0.0067
DJI_20250425104507_0045_D,stand-to-sit,right_foot_index,0.0112,0.0063
DJI_20250425104804_0047_D,stand-to-sit,nose,0.0018,0.0019
DJI_20250425104804_0047_D,stand-to-sit,left_shoulder,0.001,0.0009
DJI_20250425104804_0047_D,stand-to-sit,right_shoulder,0.001,0.0009
DJI_20250425104804_0047_D,stand-to-sit,left_elbow,0.002,0.002
DJI_20250425104804_0047_D,stand-to-sit,right_elbow,0.0396,0.1409
DJI_20250425104804_0047_D,stand-to-sit,left_wrist,0.0026,0.0026
DJI_20250425104804_0047_D,stand-to-sit,right_wrist,0.0027,0.0023
DJI_20250425104804_0047_D,stand-to-sit,left_hip,0.0037,0.0046
DJI_20250425104804_0047_D,stand-to-sit,right_hip,0.0037,0.0046
DJI_20250425104804_0047_D,stand-to-sit,left_knee,0.0054,0.0056
DJI_20250425104804_0047_D,stand-to-sit,right_knee,0.005,0.0053
DJI_20250425104804_0047_D,stand-to-sit,left_ankle,0.0059,0.0057
DJI_20250425104804_0047_D,stand-to-sit,right_ankle,0.0054,0.006
DJI_20250425104804_0047_D,stand-to-sit,left_heel,0.006,0.0057
DJI_20250425104804_0047_D,stand-to-sit,right_heel,0.0055,0.006
DJI_20250425104804_0047_D,stand-to-sit,left_foot_index,0.0059,0.0052
DJI_20250425104804_0047_D,stand-to-sit,right_foot_index,0.0054,0.0059
DJI_20250425112502_0059_D,stand-to-sit,nose,0.0024,0.0016
DJI_20250425112502_0059_D,stand-to-sit,left_shoulder,0.0018,0.0013
DJI_20250425112502_0059_D,stand-to-sit,right_shoulder,0.0018,0.0013
DJI_20250425112502_0059_D,stand-to-sit,left_elbow,0.0043,0.0027
DJI_20250425112502_0059_D,stand-to-sit,right_elbow,0.0312,0.1512
DJI_20250425112502_0059_D,stand-to-sit,left_wrist,0.0042,0.0036
DJI_20250425112502_0059_D,stand-to-sit,right_wrist,0.0199,0.1116
DJI_20250425112502_0059_D,stand-to-sit,left_hip,0.0055,0.0047
DJI_20250425112502_0059_D,stand-to-sit,right_hip,0.0054,0.0046
DJI_20250425112502_0059_D,stand-to-sit,left_knee,0.0081,0.006
DJI_20250425112502_0059_D,stand-to-sit,right_knee,0.0225,0.1091
DJI_20250425112502_0059_D,stand-to-sit,left_ankle,0.0085,0.0065
DJI_20250425112502_0059_D,stand-to-sit,right_ankle,0.0353,0.1318
DJI_20250425112502_0059_D,stand-to-sit,left_heel,0.0086,0.0066
DJI_20250425112502_0059_D,stand-to-sit,right_heel,0.008,0.0057
DJI_20250425112502_0059_D,stand-to-sit,left_foot_index,0.0089,0.0065
DJI_20250425112502_0059_D,stand-to-sit,right_foot_index,0.0082,0.0057
DJI_20250425112749_0061_D,stand-to-sit,nose,0.0019,0.0017
DJI_20250425112749_0061_D,stand-to-sit,left_shoulder,0.0011,0.001
