Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
27.0,270.0,255.428,231.188,624.0,0.125,112.072,226.484,379.0,0.294,99.644,238.482,245.0,0.209,253.279,74.095,593.0,0.360,294.725,124.619,30.0,3.020,108.229,131.131,23.0,0.804,112.283,70.177,356.0,0.294,99.285,79.962,237.0,0.075,111.626,103.828,7.0,0.200
28.0,280.0,255.380,231.543,621.0,0.358,112.270,227.346,377.0,0.885,99.642,238.031,244.0,0.451,253.718,74.007,593.0,0.447,287.032,125.684,27.0,7.767,110.322,134.253,20.0,3.758,112.338,70.154,356.0,0.060,99.241,79.816,236.0,0.152,112.051,103.349,8.0,0.641
29.0,290.0,255.646,231.708,620.0,0.313,112.549,227.760,376.0,0.499,99.636,237.822,243.0,0.209,254.282,73.862,593.0,0.582,283.325,126.684,26.0,3.839,111.708,136.676,18.0,2.792,112.565,70.017,357.0,0.265,99.226,79.702,235.0,0.115,112.088,102.993,8.0,0.358
30.0,300.0,255.313,232.015,615.0,0.453,112.812,228.343,373.0,0.639,99.594,237.658,242.0,0.170,254.361,73.693,591.0,0.187,275.303,126.836,23.0,8.024,113.071,138.758,15.0,2.488,112.776,69.838,356.0,0.276,99.182,79.543,235.0,0.164,112.088,102.993,8.0,0.000
31.0,310.0,255.518,232.133,616.0,0.237,113.207,228.580,373.0,0.460,99.566,237.591,243.0,0.073,254.768,73.525,593.0,0.441,271.403,127.755,22.0,4.007,114.974,141.341,14.0,3.209,113.113,69.621,358.0,0.401,99.153,79.470,235.0,0.079,112.088,102.993,8.0,0.000
32.0,320.0,255.742,232.206,614.0,0.235,113.496,228.769,372.0,0.346,99.521,237.490,242.0,0.111,255.075,73.455,592.0,0.315,269.135,128.683,21.0,2.451,116.294,143.569,13.0,2.590,113.363,69.576,358.0,0.254,99.105,79.380,234.0,0.102,112.088,102.993,8.0,0.000
33.0,330.0,255.579,232.413,612.0,0.264,113.791,229.211,370.0,0.531,99.524,237.310,242.0,0.180,255.243,73.372,592.0,0.188,260.008,129.117,19.0,9.137,119.021,147.707,11.0,4.955,113.594,69.453,358.0,0.262,99.093,79.360,234.0,0.023,112.157,102.394,8.0,0.603
34.0,340.0,255.677,232.103,613.0,0.325,114.030,229.104,370.0,0.262,99.543,236.686,242.0,0.624,255.557,73.245,592.0,0.339,253.657,127.966,20.0,6.454,119.021,147.707,11.0,0.000,113.842,69.341,358.0,0.272,99.064,79.228,234.0,0.135,112.154,102.387,9.0,0.007
35.0,350.0,255.924,232.138,612.0,0.249,114.408,229.125,370.0,0.379,99.587,236.742,242.0,0.071,255.859,73.186,591.0,0.307,252.174,128.873,20.0,1.738,120.036,150.003,11.0,2.511,114.202,69.206,358.0,0.384,99.109,79.291,233.0,0.077,112.154,102.387,9.0,0.000
36.0,360.0,255.940,232.094,611.0,0.046,114.612,229.193,369.0,0.215,99.552,236.520,242.0,0.224,256.037,73.080,591.0,0.207,247.237,128.812,20.0,4.937,120.922,151.493,10.0,1.734,114.396,69.095,358.0,0.224,99.064,79.201,233.0,0.101,112.004,102.713,9.0,0.359
37.0,370.0,255.569,232.073,611.0,0.371,114.916,229.171,368.0,0.305,99.596,236.459,243.0,0.076,255.805,72.949,591.0,0.266,241.418,128.480,19.0,5.829,122.118,153.258,10.0,2.132,114.689,68.862,357.0,0.375,99.113,79.183,234.0,0.052,111.829,102.698,9.0,0.176
38.0,380.0,255.281,231.974,610.0,0.305,115.163,229.125,366.0,0.251,99.618,236.250,244.0,0.210,255.607,72.908,590.0,0.202,238.411,128.062,19.0,3.035,122.421,153.737,9.0,0.567,114.932,68.780,356.0,0.256,99.101,79.171,234.0,0.018,112.222,102.722,10.0,0.394
39.0,390.0,255.341,231.845,611.0,0.142,115.383,229.092,367.0,0.223,99.570,235.973,244.0,0.281,255.752,72.813,591.0,0.173,235.973,127.462,19.0,2.512,122.530,153.890,9.0,0.188,115.159,68.713,356.0,0.236,99.040,79.036,235.0,0.147,112.178,102.372,10.0,0.353
40.0,400.0,254.966,231.630,611.0,0.432,115.759,229.052,365.0,0.377,99.560,235.458,246.0,0.516,255.637,72.675,590.0,0.180,227.965,126.349,19.0,8.085,122.671,154.475,9.0,0.602,115.550,68.559,355.0,0.421,98.987,78.890,235.0,0.156,112.238,102.855,11.0,0.487
41.0,410.0,254.675,231.614,608.0,0.291,115.971,229.066,363.0,0.212,99.618,235.372,246.0,0.104,255.510,72.657,588.0,0.129,223.979,125.230,19.0,4.140,123.153,154.492,8.0,0.482,115.764,68.460,353.0,0.236,99.036,78.967,235.0,0.091,112.198,102.359,11.0,0.498
42.0,420.0,254.356,231.468,606.0,0.351,116.292,228.976,360.0,0.333,99.586,235.114,246.0,0.259,255.263,72.505,586.0,0.290,221.326,124.988,19.0,2.664,123.190,155.017,8.0,0.527,116.096,68.314,351.0,0.363,99.003,78.760,235.0,0.209,112.049,102.466,11.0,0.184
43.0,430.0,254.209,231.194,607.0,0.311,116.543,228.943,360.0,0.254,99.623,234.472,247.0,0.644,255.370,72.437,586.0,0.127,215.253,123.403,20.0,6.277,123.210,155.214,8.0,0.198,116.356,68.251,351.0,0.267,98.967,78.683,235.0,0.085,112.474,101.865,12.0,0.737
44.0,440.0,253.768,231.101,605.0,0.451,116.851,228.934,357.0,0.307,99.690,234.223,248.0,0.258,255.038,72.459,584.0,0.333,211.873,122.725,20.0,3.447,123.349,155.337,8.0,0.186,116.670,68.247,348.0,0.314,99.011,78.689,235.0,0.045,112.471,101.854,12.0,0.011
45.0,450.0,253.331,230.838,604.0,0.510,117.182,228.777,355.0,0.366,99.718,233.777,249.0,0.447,254.912,72.314,582.0,0.192,202.664,121.216,21.0,9.332,123.728,155.586,7.0,0.454,117.013,67.983,346.0,0.433,99.036,78.686,235.0,0.024,111.736,102.265,13.0,0.842
46.0,460.0,252.457,230.615,603.0,0.901,117.487,228.824,352.0,0.309,99.812,233.126,251.0,0.658,254.486,72.288,580.0,0.426,193.143,119.718,22.0,9.639,124.275,155.817,7.0,0.594,117.321,67.886,344.0,0.323,99.076,78.701,236.0,0.043,111.588,102.892,15.0,0.644
47.0,470.0,251.899,230.211,601.0,0.689,117.849,228.665,349.0,0.395,99.868,232.350,252.0,0.778,254.314,72.149,578.0,0.221,186.564,118.124,23.0,6.769,124.220,156.042,7.0,0.231,117.700,67.653,342.0,0.445,99.040,78.659,236.0,0.055,111.996,102.545,16.0,0.536
48.0,480.0,251.216,230.019,600.0,0.709,118.105,228.521,347.0,0.293,99.905,232.066,254.0,0.287,253.753,72.067,577.0,0.567,183.992,117.224,23.0,2.725,124.265,155.917,6.0,0.133,117.961,67.491,339.0,0.307,99.056,78.618,237.0,0.044,112.008,102.097,17.0,0.449
49.0,490.0,249.935,229.937,599.0,1.284,118.263,228.750,343.0,0.278,99.940,231.524,256.0,0.543,252.854,72.098,575.0,0.900,173.826,115.174,23.0,10.371,123.952,156.803,6.0,0.939,118.151,67.534,337.0,0.194,99.056,78.529,239.0,0.089,111.922,101.888,18.0,0.225
50.0,500.0,249.371,229.801,598.0,0.580,118.381,228.792,340.0,0.126,100.000,231.138,257.0,0.391,252.516,72.051,574.0,0.341,169.342,114.138,23.0,4.602,124.641,156.754,5.0,0.691,118.265,67.482,335.0,0.125,99.080,78.448,239.0,0.084,112.056,101.878,18.0,0.134
51.0,510.0,248.226,229.572,597.0,1.168,118.668,228.830,337.0,0.290,100.010,230.534,260.0,0.604,251.725,71.946,572.0,0.798,161.815,112.664,24.0,7.670,124.803,157.480,5.0,0.744,118.572,67.361,332.0,0.330,99.040,78.270,240.0,0.182,112.123,101.897,19.0,0.070
52.0,520.0,247.228,229.399,594.0,1.012,118.855,228.871,333.0,0.191,100.034,230.071,261.0,0.463,251.053,71.938,569.0,0.671,154.364,111.367,24.0,7.563,125.016,157.480,4.0,0.212,118.772,67.301,328.0,0.208,99.028,78.256,241.0,0.018,111.995,102.259,20.0,0.384
53.0,530.0,246.236,229.146,593.0,1.024,119.038,228.944,330.0,0.196,100.033,229.398,263.0,0.673,250.471,71.980,567.0,0.583,148.534,110.058,25.0,5.975,125.073,158.006,4.0,0.529,118.962,67.295,326.0,0.191,98.973,78.300,242.0,0.070,111.804,102.067,22.0,0.271
54.0,540.0,244.581,229.019,594.0,1.660,119.286,229.122,326.0,0.305,100.124,228.894,268.0,0.512,249.289,72.012,567.0,1.183,138.927,108.496,26.0,9.733,125.730,158.865,3.0,1.082,119.221,67.259,323.0,0.261,99.048,78.288,244.0,0.076,111.499,102.506,23.0,0.534
55.0,550.0,243.347,228.690,592.0,1.277,119.499,229.117,322.0,0.214,100.169,228.181,270.0,0.715,248.401,71.978,564.0,0.889,135.431,107.691,27.0,3.587,125.730,159.258,2.0,0.393,119.441,67.205,319.0,0.227,99.033,78.183,245.0,0.106,111.540,102.429,24.0,0.087
56.0,560.0,241.745,228.405,589.0,1.628,119.701,229.145,317.0,0.203,100.106,227.544,272.0,0.640,247.187,71.849,561.0,1.221,128.951,106.749,27.0,6.548,125.476,159.512,2.0,0.359,119.661,67.078,314.0,0.254,98.936,77.929,247.0,0.272,111.364,102.889,26.0,0.492
57.0,570.0,240.147,228.261,587.0,1.604,119.873,229.325,312.0,0.249,100.068,227.055,275.0,0.490,245.893,71.940,558.0,1.297,121.612,105.063,28.0,7.530,126.153,160.302,1.0,1.041,119.836,67.173,310.0,0.200,98.872,77.891,248.0,0.075,111.167,102.739,27.0,0.247
58.0,580.0,238.261,228.116,585.0,1.892,119.936,229.633,307.0,0.314,100.014,226.445,278.0,0.612,244.424,72.017,556.0,1.471,117.797,104.547,29.0,3.851,125.730,160.867,1.0,0.706,119.907,67.322,306.0,0.165,98.771,77.747,250.0,0.176,111.083,103.045,28.0,0.317
59.0,590.0,235.937,227.732,581.0,2.356,120.192,229.608,299.0,0.258,99.948,225.740,282.0,0.708,242.531,72.009,551.0,1.894,114.770,104.548,30.0,3.026,125.730,161.290,0.0,0.423,120.178,67.242,298.0,0.283,98.697,77.653,252.0,0.119,110.506,103.598,30.0,0.799
60.0,600.0,234.318,227.738,577.0,1.618,120.315,229.865,294.0,0.285,99.906,225.536,284.0,0.208,241.121,72.104,547.0,1.413,112.309,104.358,31.0,2.468,125.730,162.560,0.0,1.270,120.306,67.391,293.0,0.197,98.673,77.561,253.0,0.096,110.192,103.879,30.0,0.421
61.0,610.0,232.705,227.735,575.0,1.614,120.453,230.008,289.0,0.200,99.852,225.439,286.0,0.111,239.535,72.222,544.0,1.589,112.272,104.283,31.0,0.083,125.730,162.560,0.0,0.000,120.448,67.534,289.0,0.202,98.609,77.517,255.0,0.077,110.180,103.810,31.0,0.070
62.0,620.0,230.717,227.426,571.0,2.012,120.697,230.150,283.0,0.282,99.792,224.760,289.0,0.682,237.878,72.266,539.0,1.658,110.946,104.444,32.0,1.336,129.540,162.560,0.0,3.810,120.689,67.648,282.0,0.266,98.518,77.348,257.0,0.192,109.929,104.219,32.0,0.480
63.0,630.0,228.642,227.084,568.0,2.103,120.762,230.298,276.0,0.161,99.847,224.040,292.0,0.722,236.152,72.339,534.0,1.727,110.195,103.831,34.0,0.970,,,0.0,,120.762,67.738,276.0,0.116,98.487,77.271,258.0,0.083,110.195,103.831,34.0,0.470
64.0,640.0,226.952,226.831,568.0,1.709,120.826,230.652,273.0,0.360,99.844,223.305,295.0,0.735,234.831,72.538,532.0,1.336,110.078,104.220,36.0,0.406,,,0.0,,120.826,68.092,273.0,0.360,98.429,77.208,259.0,0.086,110.078,104.220,36.0,0.406
65.0,650.0,224.710,226.587,567.0,2.255,120.876,230.878,267.0,0.231,99.722,222.757,299.0,0.562,232.831,72.635,529.0,2.002,109.861,104.234,37.0,0.218,,,0.0,,120.876,68.318,267.0,0.231,98.304,77.038,262.0,0.211,109.861,104.234,37.0,0.218
66.0,660.0,222.739,226.172,564.0,2.015,121.007,230.924,262.0,0.139,99.605,222.054,302.0,0.712,231.162,72.615,525.0,1.669,109.458,104.501,39.0,0.484,,,0.0,,121.007,68.364,262.0,0.139,98.174,76.844,263.0,0.234,109.458,104.501,39.0,0.484
67.0,670.0,220.397,225.621,562.0,2.405,120.994,231.145,256.0,0.221,99.542,220.999,306.0,1.057,229.223,72.655,521.0,1.939,109.413,104.410,41.0,0.101,,,0.0,,120.994,68.585,256.0,0.221,98.028,76.593,265.0,0.290,109.413,104.410,41.0,0.101
68.0,680.0,218.467,225.174,563.0,1.982,120.977,231.511,253.0,0.366,99.443,220.020,311.0,0.983,227.780,72.756,519.0,1.447,108.748,105.141,44.0,0.988,,,0.0,,120.977,68.951,253.0,0.366,97.938,76.362,267.0,0.248,108.748,105.141,44.0,0.988
69.0,690.0,216.301,224.913,560.0,2.181,120.905,231.679,247.0,0.183,99.358,219.583,313.0,0.446,225.687,72.778,515.0,2.093,108.596,105.020,45.0,0.195,,,0.0,,120.905,69.119,247.0,0.183,97.829,76.143,268.0,0.244,108.596,105.020,45.0,0.195
70.0,700.0,213.648,224.745,559.0,2.658,120.817,232.053,241.0,0.385,99.174,219.205,318.0,0.420,223.196,72.967,512.0,2.498,108.353,105.331,46.0,0.395,,,0.0,,120.817,69.493,241.0,0.385,97.635,76.050,271.0,0.215,108.353,105.331,46.0,0.395
71.0,710.0,211.556,224.350,559.0,2.129,120.862,232.250,237.0,0.202,99.087,218.548,322.0,0.663,221.353,72.992,511.0,1.844,108.307,105.622,48.0,0.294,,,0.0,,120.862,69.690,237.0,0.202,97.492,75.845,274.0,0.250,108.307,105.622,48.0,0.294
72.0,720.0,209.454,223.754,558.0,2.185,120.853,232.492,232.0,0.242,99.104,217.543,326.0,1.005,219.584,73.062,507.0,1.771,108.585,104.932,50.0,0.743,,,0.0,,120.853,69.932,232.0,0.242,97.387,75.698,275.0,0.182,108.585,104.932,50.0,0.743
73.0,730.0,206.822,223.318,553.0,2.667,120.864,232.789,224.0,0.297,99.089,216.855,329.0,0.688,217.239,73.200,501.0,2.348,108.367,105.096,52.0,0.272,,,0.0,,120.864,70.229,224.0,0.297,97.346,75.616,276.0,0.091,108.367,105.096,52.0,0.272
74.0,740.0,204.535,222.776,552.0,2.351,120.831,233.020,219.0,0.234,98.980,216.024,333.0,0.839,215.219,73.170,497.0,2.021,108.058,105.204,55.0,0.328,,,0.0,,120.831,70.460,219.0,0.234,97.217,75.309,278.0,0.333,108.058,105.204,55.0,0.328
