Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
37.0,370.0,250.155,164.625,1754.0,2.221,56.669,164.292,1179.0,0.163,146.957,165.308,575.0,2.633,250.452,66.471,911.0,1.093,250.222,94.720,839.0,3.167,47.168,91.152,580.0,0.017,65.845,72.577,598.0,0.375,137.031,54.780,313.0,0.208,159.169,102.684,260.0,1.017
38.0,380.0,252.479,165.365,1737.0,2.438,56.528,164.012,1197.0,0.314,146.281,168.364,540.0,3.130,251.752,66.786,910.0,1.337,253.659,94.641,823.0,3.438,47.137,91.001,591.0,0.154,65.673,72.768,605.0,0.257,137.092,54.911,305.0,0.144,158.619,103.911,232.0,1.344
39.0,390.0,254.570,165.819,1725.0,2.140,56.367,163.739,1216.0,0.316,145.536,170.787,509.0,2.535,252.974,67.031,909.0,1.247,256.669,94.557,813.0,3.011,47.125,90.944,603.0,0.059,65.440,72.932,612.0,0.285,136.832,54.859,297.0,0.265,158.100,104.941,210.0,1.154
40.0,400.0,256.472,165.936,1720.0,1.906,56.276,163.207,1237.0,0.541,144.835,172.917,483.0,2.243,254.192,67.149,907.0,1.224,259.410,94.452,809.0,2.743,47.164,90.828,618.0,0.122,65.343,72.959,618.0,0.100,136.578,54.723,289.0,0.288,157.591,106.129,192.0,1.292
41.0,410.0,259.046,166.258,1709.0,2.594,56.208,163.011,1259.0,0.207,144.283,175.345,450.0,2.490,256.017,67.441,905.0,1.847,262.755,94.157,800.0,3.359,47.214,90.794,631.0,0.060,65.206,73.065,627.0,0.173,136.396,54.754,278.0,0.185,157.505,106.664,170.0,0.542
42.0,420.0,261.030,166.248,1703.0,1.984,56.091,162.604,1280.0,0.423,143.573,177.249,424.0,2.032,257.642,67.637,902.0,1.638,265.144,94.024,798.0,2.392,47.169,90.690,645.0,0.113,65.119,73.176,634.0,0.142,136.216,54.531,268.0,0.286,156.685,108.006,154.0,1.573
43.0,430.0,263.061,166.210,1702.0,2.032,56.007,162.101,1303.0,0.510,142.973,179.624,399.0,2.450,259.031,67.840,901.0,1.403,267.774,93.819,799.0,2.638,47.226,90.639,661.0,0.076,64.994,73.194,641.0,0.125,136.095,54.624,260.0,0.152,156.150,109.059,138.0,1.181
44.0,440.0,265.423,165.985,1694.0,2.372,55.958,161.622,1324.0,0.481,142.345,181.605,370.0,2.078,261.106,68.060,894.0,2.087,270.473,93.501,797.0,2.718,47.271,90.551,675.0,0.099,64.962,73.231,647.0,0.049,135.903,54.486,247.0,0.237,155.695,109.906,121.0,0.962
45.0,450.0,267.832,165.663,1683.0,2.431,55.884,161.009,1344.0,0.618,141.394,184.112,339.0,2.682,263.023,68.223,885.0,1.924,273.421,93.151,795.0,2.969,47.344,90.464,691.0,0.113,64.893,73.291,652.0,0.092,135.530,54.088,234.0,0.546,154.868,111.080,104.0,1.436
46.0,460.0,269.887,165.403,1680.0,2.071,55.802,160.454,1366.0,0.561,140.412,186.936,314.0,2.990,264.606,68.435,880.0,1.597,275.970,93.033,798.0,2.551,47.414,90.537,709.0,0.101,64.809,73.359,657.0,0.108,135.138,53.960,223.0,0.412,153.980,112.960,89.0,2.079
47.0,470.0,272.030,165.216,1675.0,2.151,55.703,159.852,1388.0,0.610,138.995,191.155,287.0,4.451,265.971,68.575,876.0,1.372,278.907,92.674,796.0,2.959,47.422,90.405,726.0,0.133,64.747,73.454,662.0,0.114,134.721,53.547,215.0,0.587,152.204,115.950,71.0,3.478
48.0,480.0,274.344,164.586,1671.0,2.398,55.630,159.140,1412.0,0.716,137.663,194.211,259.0,3.333,268.127,68.787,867.0,2.167,281.217,92.358,802.0,2.331,47.462,90.294,744.0,0.117,64.715,73.463,666.0,0.033,134.041,53.275,201.0,0.732,150.537,119.114,57.0,3.576
