Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
57.0,570.0,202.817,144.622,986.0,3.857,97.633,176.534,417.0,3.639,101.256,121.247,569.0,0.696,265.795,74.229,342.0,2.205,168.989,95.472,643.0,5.662,83.612,110.545,189.0,0.920,109.231,69.041,227.0,0.030,94.667,84.401,116.0,0.529,102.936,89.189,454.0,0.008
58.0,580.0,199.504,145.755,977.0,3.502,98.488,180.282,398.0,3.845,101.303,122.015,579.0,0.769,263.786,74.546,347.0,2.033,163.698,95.235,629.0,5.296,84.066,111.582,170.0,1.132,109.178,69.129,227.0,0.103,95.081,84.786,120.0,0.565,102.932,89.186,459.0,0.005
59.0,590.0,195.798,146.828,963.0,3.858,99.507,184.767,376.0,4.600,101.302,122.530,587.0,0.515,262.235,74.818,350.0,1.575,157.349,94.845,611.0,6.361,84.418,112.590,148.0,1.067,109.229,69.256,227.0,0.137,95.303,85.040,123.0,0.337,102.901,89.192,463.0,0.032
60.0,600.0,191.329,147.799,951.0,4.573,100.564,189.694,352.0,5.039,101.262,123.149,599.0,0.620,260.019,75.152,354.0,2.240,150.209,94.297,596.0,7.161,84.794,113.460,125.0,0.948,109.199,69.307,226.0,0.059,95.385,85.496,128.0,0.463,102.859,89.212,471.0,0.047
61.0,610.0,186.223,149.076,938.0,5.263,101.910,195.503,326.0,5.963,101.172,124.324,612.0,1.179,256.183,75.727,358.0,3.880,142.519,93.787,578.0,7.707,85.502,115.006,101.0,1.700,109.291,69.671,223.0,0.375,95.502,85.764,135.0,0.293,102.775,89.274,477.0,0.104
62.0,620.0,181.061,149.786,925.0,5.211,103.307,201.761,301.0,6.411,101.080,124.758,624.0,0.443,253.622,75.970,360.0,2.572,134.545,93.182,564.0,7.998,86.310,116.920,79.0,2.078,109.344,69.722,221.0,0.074,95.533,85.891,139.0,0.131,102.670,89.314,485.0,0.113
63.0,630.0,175.676,150.517,915.0,5.435,104.663,208.179,276.0,6.560,100.954,125.587,639.0,0.839,249.744,76.477,362.0,3.911,126.790,92.390,552.0,7.795,87.161,118.348,59.0,1.662,109.343,70.038,217.0,0.316,95.533,86.076,145.0,0.185,102.552,89.309,493.0,0.118
64.0,640.0,170.514,151.159,904.0,5.201,105.902,215.689,253.0,7.612,100.858,126.079,651.0,0.501,246.769,77.103,363.0,3.041,119.159,91.733,540.0,7.659,88.404,121.535,39.0,3.421,109.103,70.590,213.0,0.602,95.505,86.381,150.0,0.307,102.456,89.397,501.0,0.130
65.0,650.0,165.383,151.843,895.0,5.177,107.382,223.685,231.0,8.132,100.720,126.846,664.0,0.779,243.158,77.684,365.0,3.658,111.521,90.806,529.0,7.694,89.677,124.650,21.0,3.364,109.138,71.169,210.0,0.580,95.369,86.452,156.0,0.154,102.360,89.409,508.0,0.097
66.0,660.0,160.742,151.929,887.0,4.641,108.532,230.829,212.0,7.235,100.597,127.165,675.0,0.342,240.010,78.467,363.0,3.243,105.506,90.031,523.0,6.065,91.764,128.513,7.0,4.391,109.123,72.110,204.0,0.940,95.325,86.610,159.0,0.164,102.225,89.483,516.0,0.153
