Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
37.0,370.0,228.796,131.210,956.0,0.991,77.965,130.759,489.0,0.398,131.124,131.682,466.0,0.949,230.210,45.310,362.0,0.049,227.807,84.276,592.0,1.543,71.458,84.707,301.0,0.205,88.278,42.026,187.0,0.009,120.862,48.833,175.0,0.060,137.311,83.830,291.0,0.266
38.0,380.0,228.360,131.353,954.0,0.459,78.111,131.232,486.0,0.495,131.170,131.479,468.0,0.209,230.233,45.320,362.0,0.025,227.062,84.328,590.0,0.747,71.580,84.932,297.0,0.256,88.329,41.979,187.0,0.070,120.933,48.903,175.0,0.100,137.310,83.715,293.0,0.115
39.0,390.0,227.951,131.536,953.0,0.448,78.251,131.704,483.0,0.492,131.232,131.364,470.0,0.131,230.224,45.312,362.0,0.013,226.402,84.461,589.0,0.674,71.726,85.173,294.0,0.282,88.341,41.964,187.0,0.019,120.984,48.899,175.0,0.051,137.351,83.750,295.0,0.054
40.0,400.0,227.680,131.738,951.0,0.338,78.415,132.220,480.0,0.541,131.223,131.247,471.0,0.118,230.545,45.280,363.0,0.323,225.753,84.504,586.0,0.650,71.799,85.306,291.0,0.151,88.482,41.904,188.0,0.153,120.989,48.913,175.0,0.016,137.311,83.716,296.0,0.052
41.0,410.0,227.260,131.927,948.0,0.460,78.539,132.658,476.0,0.455,131.235,131.189,472.0,0.059,230.491,45.307,363.0,0.061,225.097,84.588,584.0,0.662,71.909,85.502,287.0,0.225,88.514,41.906,188.0,0.032,121.066,48.962,175.0,0.091,137.272,83.702,296.0,0.041
42.0,420.0,226.598,132.080,946.0,0.680,78.683,133.174,471.0,0.535,131.253,130.993,474.0,0.197,230.345,45.300,363.0,0.146,224.101,84.660,581.0,0.999,71.981,85.731,283.0,0.239,88.633,41.885,188.0,0.121,121.084,48.953,175.0,0.019,137.259,83.646,298.0,0.058
43.0,430.0,225.909,132.360,940.0,0.743,78.868,133.833,465.0,0.684,131.273,130.920,475.0,0.076,230.144,45.293,363.0,0.201,223.083,84.742,576.0,1.021,72.168,85.972,277.0,0.305,88.625,41.834,187.0,0.052,121.123,48.978,176.0,0.046,137.255,83.606,299.0,0.040
44.0,440.0,225.392,132.612,936.0,0.575,78.993,134.555,460.0,0.733,131.302,130.736,476.0,0.186,230.285,45.284,362.0,0.141,222.131,84.867,572.0,0.960,72.232,86.297,271.0,0.331,88.656,41.828,187.0,0.031,121.148,48.974,175.0,0.026,137.255,83.575,300.0,0.031
45.0,450.0,224.551,132.913,932.0,0.893,79.264,135.476,453.0,0.960,131.324,130.489,479.0,0.248,230.343,45.292,362.0,0.058,220.692,85.020,568.0,1.447,72.469,86.643,265.0,0.420,88.732,41.828,187.0,0.076,121.186,48.992,175.0,0.042,137.213,83.602,303.0,0.050
46.0,460.0,223.714,133.144,928.0,0.868,79.392,136.327,447.0,0.860,131.331,130.189,481.0,0.300,230.368,45.320,362.0,0.037,219.277,85.107,564.0,1.417,72.488,86.939,259.0,0.297,88.796,41.896,187.0,0.094,121.164,48.976,175.0,0.027,137.185,83.556,306.0,0.054
47.0,470.0,222.697,133.483,923.0,1.072,79.659,137.503,439.0,1.206,131.340,129.840,484.0,0.349,230.510,45.299,362.0,0.144,217.493,85.243,559.0,1.790,72.717,87.336,250.0,0.458,88.805,41.888,187.0,0.012,121.147,48.952,175.0,0.030,137.151,83.546,309.0,0.036
