Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
34.0,340.0,282.178,167.453,1239.0,1.479,115.414,160.268,785.0,0.656,149.080,179.862,454.0,1.816,264.509,46.199,759.0,0.743,309.972,101.556,476.0,2.516,106.306,102.820,372.0,0.194,123.571,49.962,409.0,0.151,144.307,41.804,350.0,0.015,165.297,97.004,103.0,0.739
35.0,350.0,282.995,168.444,1230.0,1.284,115.519,160.975,784.0,0.715,148.753,181.573,446.0,1.742,264.910,46.298,763.0,0.413,312.379,101.890,463.0,2.431,106.412,103.002,368.0,0.210,123.512,50.128,412.0,0.176,144.284,41.789,350.0,0.027,165.314,97.576,95.0,0.572
36.0,360.0,283.801,169.264,1226.0,1.150,115.585,161.625,786.0,0.654,148.449,182.935,439.0,1.395,265.470,46.445,768.0,0.578,314.344,102.151,454.0,1.982,106.484,103.141,366.0,0.156,123.445,50.365,417.0,0.247,144.280,41.779,350.0,0.010,165.070,98.044,88.0,0.528
37.0,370.0,284.701,170.005,1219.0,1.166,115.572,162.026,788.0,0.400,148.053,184.600,431.0,1.712,265.833,46.575,770.0,0.386,316.934,102.405,445.0,2.602,106.513,103.224,365.0,0.088,123.338,50.582,420.0,0.242,144.231,41.769,350.0,0.051,164.795,98.677,80.0,0.690
38.0,380.0,285.692,170.633,1217.0,1.172,115.720,162.322,793.0,0.331,147.706,186.157,424.0,1.595,266.421,46.566,775.0,0.588,319.284,102.717,439.0,2.371,106.599,103.321,365.0,0.129,123.449,50.530,424.0,0.122,144.222,41.765,350.0,0.009,164.383,99.713,73.0,1.115
39.0,390.0,286.996,171.352,1210.0,1.490,115.836,162.552,796.0,0.258,147.291,188.267,414.0,2.151,266.927,46.548,778.0,0.506,323.030,102.807,428.0,3.747,106.659,103.379,365.0,0.083,123.546,50.464,428.0,0.117,144.222,41.765,350.0,0.000,164.374,99.505,63.0,0.208
40.0,400.0,288.135,171.906,1208.0,1.266,115.860,162.699,802.0,0.149,146.992,190.063,406.0,1.820,267.362,46.651,781.0,0.447,325.956,103.076,423.0,2.938,106.671,103.459,367.0,0.081,123.563,50.594,431.0,0.132,144.231,41.798,350.0,0.034,164.362,100.554,56.0,1.049
41.0,410.0,289.162,172.359,1202.0,1.122,115.845,162.717,804.0,0.023,146.661,191.841,398.0,1.808,267.833,46.695,781.0,0.472,328.555,103.351,417.0,2.613,106.663,103.468,368.0,0.012,123.535,50.569,433.0,0.038,144.269,41.887,349.0,0.097,163.718,102.471,49.0,2.023
42.0,420.0,290.236,172.824,1200.0,1.171,115.920,162.896,809.0,0.194,146.372,193.368,391.0,1.554,268.410,46.757,784.0,0.580,331.199,103.512,412.0,2.648,106.731,103.558,370.0,0.112,123.580,50.616,436.0,0.065,144.281,41.920,348.0,0.035,163.464,103.114,43.0,0.691
43.0,430.0,291.332,173.250,1195.0,1.175,115.948,162.908,812.0,0.030,145.974,195.209,382.0,1.884,268.816,46.883,784.0,0.425,334.257,103.526,406.0,3.058,106.705,103.496,371.0,0.067,123.657,50.745,437.0,0.150,144.252,42.009,347.0,0.093,162.944,103.845,35.0,0.896
