Frame,Time (ms),Entire plate COF X (mm),Entire plate COF Y (mm),Entire plate Force (N),Entire plate COF Frame distance (mm),Left Selection COF X (mm),Left Selection COF Y (mm),Left Selection Force (N),Left Selection COF Frame distance (mm),Right Selection COF X (mm),Right Selection COF Y (mm),Right Selection Force (N),Right Selection COF Frame distance (mm),Top Selection COF X (mm),Top Selection COF Y (mm),Top Selection Force (N),Top Selection COF Frame distance (mm),Bottom Selection COF X (mm),Bottom Selection COF Y (mm),Bottom Selection Force (N),Bottom Selection COF Frame distance (mm),Left Bottom Selection COF X (mm),Left  Bottom Selection COF Y (mm),Left Bottom Selection Force (N),Left Bottom Selection COF Frame distance (mm),Left Top Selection COF X (mm),Left Top Selection COF Y (mm),Left Top Selection Force (N),Left Top Selection COF Frame distance (mm),Right Top Selection COF X (mm),Right Top Selection COF Y (mm),Right Top Selection Force (N),Right Top Selection COF Frame distance (mm),Right Bottom Selection COF X (mm),Right Bottom Selection COF Y (mm),Right Bottom Selection Force (N),Right Bottom Selection COF Frame distance (mm)
39.0,390.0,259.458,221.891,922.0,0.725,113.341,241.634,561.0,0.125,107.533,191.198,361.0,0.796,278.774,78.397,811.0,0.241,118.277,82.541,111.0,0.434,129.540,162.560,0.0,2.540,113.337,79.096,561.0,0.082,102.932,76.829,250.0,0.196,117.916,82.428,111.0,0.183
40.0,400.0,258.814,221.406,920.0,0.806,113.435,241.662,557.0,0.098,107.770,190.331,363.0,0.899,278.576,78.370,807.0,0.199,118.325,82.604,113.0,0.080,129.540,162.560,0.0,0.000,113.430,79.124,557.0,0.098,103.142,76.690,250.0,0.252,117.973,82.494,113.0,0.087
41.0,410.0,258.117,221.251,918.0,0.714,113.536,241.736,553.0,0.125,107.846,190.238,365.0,0.120,278.002,78.399,804.0,0.575,118.021,82.402,114.0,0.365,,,0.0,,113.536,79.176,553.0,0.118,103.222,76.688,251.0,0.079,118.021,82.402,114.0,0.104
42.0,420.0,256.864,220.371,917.0,1.531,113.678,241.591,547.0,0.203,108.034,188.994,370.0,1.258,277.485,78.297,798.0,0.528,117.944,82.354,118.0,0.091,,,0.0,,113.678,79.031,547.0,0.203,103.363,76.700,251.0,0.142,117.944,82.354,118.0,0.091
43.0,430.0,255.483,219.686,917.0,1.542,113.840,241.673,542.0,0.181,108.150,187.988,376.0,1.013,276.722,78.359,794.0,0.765,117.974,82.213,123.0,0.144,,,0.0,,113.840,79.113,542.0,0.181,103.384,76.744,253.0,0.049,117.974,82.213,123.0,0.144
44.0,440.0,254.070,218.508,921.0,1.839,113.952,241.619,538.0,0.125,108.343,186.038,383.0,1.959,276.360,78.282,791.0,0.370,117.935,82.102,130.0,0.118,,,0.0,,113.952,79.059,538.0,0.125,103.437,76.633,253.0,0.123,117.935,82.102,130.0,0.118
45.0,450.0,252.182,217.748,922.0,2.035,114.091,241.800,531.0,0.228,108.472,185.062,391.0,0.984,275.221,78.445,787.0,1.151,117.854,82.146,135.0,0.093,,,0.0,,114.091,79.240,531.0,0.228,103.523,76.794,256.0,0.182,117.854,82.146,135.0,0.093
46.0,460.0,249.998,216.382,923.0,2.576,114.263,241.787,523.0,0.173,108.734,183.186,400.0,1.894,274.149,78.369,780.0,1.074,117.847,82.066,143.0,0.080,,,0.0,,114.263,79.227,523.0,0.173,103.688,76.626,257.0,0.235,117.847,82.066,143.0,0.080
47.0,470.0,247.610,214.987,922.0,2.766,114.460,241.746,513.0,0.201,108.898,181.454,409.0,1.740,272.885,78.324,772.0,1.265,117.761,81.941,150.0,0.151,,,0.0,,114.460,79.186,513.0,0.201,103.756,76.617,259.0,0.069,117.761,81.941,150.0,0.151
48.0,480.0,244.839,213.431,924.0,3.177,114.696,241.761,502.0,0.236,109.214,179.639,421.0,1.843,271.405,78.392,764.0,1.482,117.867,81.892,160.0,0.118,,,0.0,,114.696,79.201,502.0,0.236,103.924,76.839,261.0,0.278,117.867,81.892,160.0,0.118
