Index,SegmentGyro/R_shank_X,SegmentGyro/R_shank_Y,SegmentGyro/R_shank_Z,SegmentGyro/pelvis_X,SegmentGyro/pelvis_Y,SegmentGyro/pelvis_Z,SegmentGyro/R_foot_X,SegmentGyro/R_foot_Y,SegmentGyro/R_foot_Z,SegmentGyro/L_foot_X,SegmentGyro/L_foot_Y,SegmentGyro/L_foot_Z,SegmentGyro/L_thigh_X,SegmentGyro/L_thigh_Y,SegmentGyro/L_thigh_Z,SegmentGyro/R_thigh_X,SegmentGyro/R_thigh_Y,SegmentGyro/R_thigh_Z,SegmentGyro/L_shank_X,SegmentGyro/L_shank_Y,SegmentGyro/L_shank_Z
205,"-0,203","-0,228","-0,118","0,507","0,330","-0,181","-0,663","-0,038","0,340","0,227","-0,462","0,165","-0,419","-0,266","-0,337","-0,012","1,018","-0,435","-0,992","0,557","0,157"
206,"-0,316","0,203","0,131","0,395","0,148","-0,048","-0,336","-0,145","0,111","0,420","-0,489","0,084","-0,415","-0,705","-0,269","-0,181","1,036","-0,588","-1,069","0,159","-0,319"
207,"-0,274","0,451","0,558","0,400","0,149","0,013","-0,370","-0,199","0,169","0,414","-0,615","0,387","-0,169","-0,869","-0,193","-0,058","1,214","-0,460","-0,801","0,045","-0,586"
208,"-0,052","0,472","0,427","0,386","0,147","-0,170","-0,447","-0,348","0,241","-0,062","-0,407","-0,173","-0,231","-0,814","-0,219","-0,172","1,171","-0,582","-0,453","-0,391","-0,997"
209,"-0,054","0,457","0,706","0,400","0,088","0,013","-0,429","-0,324","0,467","0,194","0,028","0,196","-0,234","-0,490","-0,099","-0,336","1,350","-0,673","-0,212","-0,484","-0,911"
210,"-0,039","0,192","0,546","0,269","0,087","-0,098","-0,493","-0,318","0,307","0,161","-0,798","0,123","-0,175","-0,217","-0,090","-0,315","0,933","-0,549","-0,793","-0,074","-0,652"
211,"-0,221","0,023","0,322","0,218","0,088","0,028","-0,102","-0,064","0,066","0,594","-0,740","0,400","-0,238","0,020","0,136","-0,201","0,020","-0,462","-0,455","-0,043","-0,272"
212,"-0,329","0,108","0,379","0,106","0,089","0,160","-0,102","-0,064","0,066","0,247","-1,049","0,229","-0,482","0,064","0,384","0,124","-0,524","-0,396","-0,645","-0,165","-0,132"
213,"-0,332","0,002","-0,187","0,218","-0,034","0,029","-0,136","0,065","0,038","0,053","-0,756","0,310","-0,479","-0,213","0,511","0,091","-0,881","-0,303","-0,345","-0,122","-0,060"
214,"0,012","-0,342","-0,256","0,162","-0,156","0,096","-0,045","0,003","-0,094","0,044","-0,588","0,048","-0,352","-0,659","0,851","0,027","-0,958","-0,339","-0,062","-0,076","0,232"
215,"-0,030","-0,124","-0,204","0,284","-0,095","0,085","-0,046","0,129","-0,042","0,228","-0,336","0,217","-0,226","-1,097","0,918","0,029","-0,666","-0,136","-0,063","0,109","0,179"
216,"0,093","-0,023","0,335","0,395","-0,035","-0,047","0,176","0,111","0,007","0,018","-0,784","0,236","-0,348","-1,144","0,671","0,083","-0,513","0,066","-0,154","-0,185","-0,147"
217,"-0,057","-0,024","0,507","0,274","-0,035","-0,037","0,467","0,076","-0,112","0,015","-1,036","0,132","-0,409","-1,162","0,343","0,175","0,051","0,150","-0,384","-0,060","-0,402"
218,"0,078","0,171","0,799","0,269","0,087","-0,098","0,467","0,076","-0,112","1,065","-0,515","0,342","-0,712","-1,428","0,063","0,037","0,849","0,248","-0,292","-0,349","-0,715"
219,"0,300","-0,112","0,732","0,082","0,086","-0,144","0,645","-0,036","-0,049","0,623","-0,950","0,264","-0,771","-1,692","-0,219","0,015","1,372","0,210","0,075","-0,237","-0,757"
220,"0,347","-0,138","0,664","0,031","-0,034","-0,017","0,365","-0,326","0,286","0,564","-0,377","0,023","-0,708","-1,990","-0,283","-0,176","1,354","0,274","-0,040","-0,175","-0,885"
